,event_source,ONNET_OUTGOING_Usage,ONNET_INCOMING,OFFNET_OUTGOING_Usage,OFFNET_INCOMING_Usage,IDD_INCOMING_Usage,Peo_TV_Package,PEO_TV_Usage,Location_Identifier
0,112053582,LOW,LOW,MEDIUM,LOW,NO,PEO_SILVER,LOW,MSAG5200-ISLWI-NWT-NODE485201
1,112053623,MEDIUM,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLWI-NWT-NODE485201
2,112053643,LOW,LOW,HIGH,HIGH,LOW,PEO_SILVER_PLUS,MEDIUM,MSAG5200-ISLWI-NWT-NODE485201
3,112054356,LOW,LOW,LOW,LOW,NO,PEO_SILVER,MEDIUM,MSAG5200-ISLWI-NWT-NODE485201
4,112055452,MEDIUM,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLHK-OCC-NODE506561
5,112055691,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,NO,NO,MSAG5200-ISLHK-OCC-NODE506561
6,112055692,MEDIUM,LOW,MEDIUM,LOW,LOW,NO,NO,MSAG5200-ISLHK-OCC-NODE506561
7,112055693,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,NO,NO,MSAG5200-ISLHK-OCC-NODE506561
8,112055695,MEDIUM,LOW,MEDIUM,LOW,NO,NO,NO,MSAG5200-ISLHK-OCC-NODE506561
9,112055853,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLHK-OCC-NODE506561
10,112058059,LOW,LOW,LOW,LOW,LOW,PEO_SILVER,NO,MSAG5200-ISLHK-OCC-NODE506561
11,112058317,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,PEO_SILVER,HIGH,MSAG5200-ISLHK-OCC-NODE506561
12,112058391,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLHK-OCC-NODE506561
13,112058617,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,NO,NO,MSAG5200-ISLHK-OCC-NODE506561
14,112073003,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,NO,NO,MSAG5200-ISLND-PHG-NODE500241
15,112073055,LOW,LOW,LOW,MEDIUM,NO,PEO_SILVER,NO,MSAG5200-ISLWI-NWT-NODE485201
16,112073096,LOW,LOW,LOW,LOW,LOW,PEO_SILVER,LOW,MSAG5200-ISLIDH-KGW-NODE6194491
17,112073131,LOW,LOW,MEDIUM,LOW,LOW,PEO_SILVER,HIGH,MSAG5200-ISLIDH-KGW-NODE6194491
18,112073480,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,PEO_SILVER,HIGH,MSAG5200-ISLIDH-KGW-NODE6194491
19,112073671,LOW,LOW,MEDIUM,MEDIUM,NO,NO,NO,MSAG5200-ISLWI-NWT-NODE485201
20,112074189,MEDIUM,MEDIUM,LOW,MEDIUM,NO,PEO_SILVER,HIGH,MSAG5200-ISLHC-NAP-NODE478721
21,112074655,LOW,LOW,LOW,LOW,NO,PEO_SILVER,NO,MSAG5200-ISLWI-NWT-NODE485201
22,112074723,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
23,112074735,MEDIUM,MEDIUM,LOW,LOW,LOW,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
24,112074768,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
25,112074772,LOW,MEDIUM,MEDIUM,LOW,NO,NO,NO,MSAG5200-ISLWI-NWT-NODE485201
26,112074949,LOW,LOW,LOW,LOW,NO,PEO_SILVER,HIGH,C300MIDH-IDJ-NODE11065541
27,112075671,MEDIUM,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
28,112076293,MEDIUM,LOW,MEDIUM,MEDIUM,NO,NO,NO,MSAG5200-ISLHC-NAP-NODE478721
29,112077372,LOW,MEDIUM,MEDIUM,MEDIUM,NO,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
30,112077465,MEDIUM,LOW,MEDIUM,LOW,NO,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
31,112077910,MEDIUM,LOW,MEDIUM,MEDIUM,NO,PEO_SILVER,MEDIUM,MSAG5200-ISLHC-NAP-NODE478721
32,112078569,LOW,LOW,MEDIUM,LOW,NO,NO,NO,MSAG5200-ISLHC-NAP-NODE478721
33,112078688,MEDIUM,LOW,LOW,LOW,NO,PEO_SILVER,MEDIUM,MSAG5200-ISLHC-NAP-NODE478721
34,112078736,LOW,LOW,NO,LOW,NO,PEO_RELIGIOUS_PACKAGE,MEDIUM,MSAG5200-ISLWI-NWT-NODE485201
35,112080492,MEDIUM,NO,LOW,NO,NO,NO,NO,C300MIDH-IDJ-NODE11065541
36,112080493,MEDIUM,LOW,HIGH,LOW,LOW,NO,NO,C300MIDH-IDJ-NODE11065541
37,112080824,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,NO,NO,MSAG5200-ISLIDH-KGW-NODE6194491
38,112085327,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200PK-NODE438641
39,112086690,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLND-PHG-NODE500241
40,112087014,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200-ISLPK-PNU-NODE6136021
41,112087962,LOW,LOW,LOW,MEDIUM,NO,NO,NO,MSAG5200PK-NODE438641
42,112144029,LOW,LOW,LOW,LOW,NO,NO,NO,MSAG5200WLI-NODE422581
43,112156295,MEDIUM,LOW,MEDIUM,MEDIUM,NO,PEO_SILVER,HIGH,MSAG5200-ISLHC-NAP-NODE478721
44,112156394,LOW,LOW,LOW,LOW,NO,PEO_SILVER_PLUS,MEDIUM,MSAG5200-ISLHC-NAP-NODE478721
45,112184006,LOW,LOW,MEDIUM,MEDIUM,NO,NO,NO,MSAG5200PK-NODE438641
46,112184288,LOW,LOW,MEDIUM,MEDIUM,NO,PEO_SILVER,LOW,MSAG5200-ISLPK-PNU-NODE6136021
47,112184325,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,NO,NO,MSAG5200PK-NODE438641
48,112185804,LOW,LOW,MEDIUM,LOW,NO,NO,NO,MSAG5200-ISLHC-NAP-NODE478721
49,112193813,HIGH,MEDIUM,HIGH,MEDIUM,NO,PEO_UTHAYAM,MEDIUM,MSAG5200-ISLHC-NAP-NODE478721
50,112199000,LOW,MEDIUM,LOW,MEDIUM,LOW,NO,NO,MSAG5200-ISLND-PHG-NODE500241
51,112199017,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,NO,NO,MSAG5200-ISLND-PHG-NODE500241
