Product_DB_ID,Product_ID,Base_Type,Pricing_Type,Package_Type,VAS,Title,Description,BB_Data_Standard,BB_Data_Free,BB_Data_Anytime,BB_Data_Unlimited,BB_Connection_Type,BB_Connection_Speed,Included_Packages,Price,Monthly_Rental,VOICE_Home_SLT_Instrument_Rental,VOICE_Home_Customer_Instrument_Rental,VOICE_Charge_Active_Hours,VOICE_Charge_Leisure_Hours,VOICE_Free_Minutes,VOICE_Telehelth_Insurance_Benefits,VOICE_Tele_Life_Insurance_Benefits,PEOTV_No_of_Channels,PEOTV_Foreign_Channels,PEOTV_Local_Channels,PEOTV_Movie_Channels,PEOTV_Kids_Channels,PEOTV_Religious_Channels,PEOTV_Tamil_Channels,PEOTV_Educational_Channels,PEOTV_Music_Channels,PEOTV_Sports_Channels,PEOTV_News_Channels,PEOTV_HD_Pack,Subscription_Type,Minimum_Subscription_Period,Recidence_Type,Tax_Status,Conditions,Available_Regions,Dependent_Packages,Transfer_Medium,TARIFF_NAME,TARIFF_DESC
STUDENT PACKAGE 1,BB_Higher_Education,BB,PAID,ADSL,,HIGHER EDUCATION,,4,6,,,Time-based,"21Mbps,512Kbps",,450-1000,390,,,,,,,,,,,,,,,,,,,,"DOUBLE_PLAY, TRIPLE_PLAY",,Home,EXCLUDED,"Speeds may vary depending on the line distance and condition.Download and upload speed will be reduced to 64 Kbps after reaching either maximum anytime download volume (Standard quota) or the total usage volume. Additional volume can be requested with same speed. Please refer Extra GB tab for details.
For Entrée package
Extra usage charge - 25 cents per MB up to a maximum limit of Rs. 3,500. Download and upload speed will be reduced to 64 Kbps after reaching 21 GB threshold.
Off-peak time for download volume is from 00.00 to 08.00 hrs.
Package migrations between Anytime and Time-based packages are possible. Package upgrades and downgrades will be decided based on monthly rental difference between previous package and new package. LKR.250/- will be charged for downgrades only.
Broadband loyalty data will be reduced by 50% for each package downgrade.
Equipment configuration support fee is Rs.500. (Optional).
Minimum 60% service quality will be maintained with respect to line speed supported.
All charges above are exclusive of Government taxes and will be applicable at the time of purchase.",,,,,
WEB LITE,BB_Web_Lite,BB,PAID,ADSL,,WEB LITE,,6,9,,,Time-based,"21Mbps,512Kbps",,450-1000,450,,,,,,,,,,,,,,,,,,,,"DOUBLE_PLAY, TRIPLE_PLAY",,Home,EXCLUDED,"Speeds may vary depending on the line distance and condition.Download and upload speed will be reduced to 64 Kbps after reaching either maximum anytime download volume (Standard quota) or the total usage volume. Additional volume can be requested with same speed. Please refer Extra GB tab for details.
For Entrée package
Extra usage charge - 25 cents per MB up to a maximum limit of Rs. 3,500. Download and upload speed will be reduced to 64 Kbps after reaching 21 GB threshold.
Off-peak time for download volume is from 00.00 to 08.00 hrs.
Package migrations between Anytime and Time-based packages are possible. Package upgrades and downgrades will be decided based on monthly rental difference between previous package and new package. LKR.250/- will be charged for downgrades only.
Broadband loyalty data will be reduced by 50% for each package downgrade.
Equipment configuration support fee is Rs.500. (Optional).
Minimum 60% service quality will be maintained with respect to line speed supported.
All charges above are exclusive of Government taxes and will be applicable at the time of purchase.",,,,,
,BB_Entree,BB,PAID,ADSL,,ENTREE,,,,7,,Anytime,"21Mbps,512Kbps",,450-1000,499,,,,,,,,,,,,,,,,,,,,"DOUBLE_PLAY, TRIPLE_PLAY",,Home,EXCLUDED,"Speeds may vary depending on the line distance and condition.
Download and upload speed will be reduced to 64 Kbps after reaching either maximum anytime download volume. Additional volume can be requested with same speed. Please refer Extra GB tab for details.
Package migrations between Anytime and Time-based are possible. Package upgrade and downgrades will be decided based on monthly rental values of two packages. Rs.250- will be charged for downgrades only.
Broadband loyalty data will be reduced by 50% for each package downgrade.
Equipment configuration support fee is Rs.500(Optional).
Minimum 60% service quality will be maintained with respect to line speed supported.
All charges above are exclusive of Government taxes and will be applicable at the time of purchase.",,,,,
LTE_WEB STARTER,BB_Web_Starter_4G,BB,PAID,4G,,WEB STARTER 4G,,11,17,,,Time-based,"8Mbps,1024Kbps",,450-1000,740,,,,,,,,,,,,,,,,,,,,"DOUBLE_PLAY, TRIPLE_PLAY",,Home,EXCLUDED,"Download and upload speed will be reduced to 64 Kbps after reaching either maximum anytime download volume (Standard quota) or the total usage volume. Additional volume can be requested with standard package speed. Please refer Extra GB tab for details.
Package migrations between Anytime and Time-based packages are possible. Package upgrades and downgrades will be decided based on monthly rental difference between previous package and new package. Rs.250 will be charged for downgrades only.
Broadband loyalty data will be reduced by 50% for each package downgrade.
Off-peak time for download time band is from 00.00 to 08.00 hrs.
All charges above are exclusive of government taxes and will be applicable at the time of purchase.",,,,,
WEB STARTER,BB_Web_Starter_ADSL,BB,PAID,ADSL,,WEB STARTER ADSL,,11,17,,,Time-based,"21Mbps,512Kbps",,450-1000,740,,,,,,,,,,,,,,,,,,,,"DOUBLE_PLAY, TRIPLE_PLAY",,Home,EXCLUDED,"Speeds may vary depending on the line distance and condition.Download and upload speed will be reduced to 64 Kbps after reaching either maximum anytime download volume (Standard quota) or the total usage volume. Additional volume can be requested with same speed. Please refer Extra GB tab for details.
For Entrée package
Extra usage charge - 25 cents per MB up to a maximum limit of Rs. 3,500. Download and upload speed will be reduced to 64 Kbps after reaching 21 GB threshold.
Off-peak time for download volume is from 00.00 to 08.00 hrs.
Package migrations between Anytime and Time-based packages are possible. Package upgrades and downgrades will be decided based on monthly rental difference between previous package and new package. LKR.250/- will be charged for downgrades only.
Broadband loyalty data will be reduced by 50% for each package downgrade.
Equipment configuration support fee is Rs.500. (Optional).
Minimum 60% service quality will be maintained with respect to line speed supported.
All charges above are exclusive of Government taxes and will be applicable at the time of purchase.",,,,,
STUDENT PACKAGE 1,BB_Higher_Education_2,BB,PAID,ADSL,,HIGHER EDUCATION 2,,12,18,,,Time-based,"21Mbps,512Kbps",,450-1000,790,,,,,,,,,,,,,,,,,,,,"DOUBLE_PLAY, TRIPLE_PLAY",,Home,EXCLUDED,"Speeds may vary depending on the line distance and condition.Download and upload speed will be reduced to 64 Kbps after reaching either maximum anytime download volume (Standard quota) or the total usage volume. Additional volume can be requested with same speed. Please refer Extra GB tab for details.
For Entrée package
Extra usage charge - 25 cents per MB up to a maximum limit of Rs. 3,500. Download and upload speed will be reduced to 64 Kbps after reaching 21 GB threshold.
Off-peak time for download volume is from 00.00 to 08.00 hrs.
Package migrations between Anytime and Time-based packages are possible. Package upgrades and downgrades will be decided based on monthly rental difference between previous package and new package. LKR.250/- will be charged for downgrades only.
Broadband loyalty data will be reduced by 50% for each package downgrade.
Equipment configuration support fee is Rs.500. (Optional).
Minimum 60% service quality will be maintained with respect to line speed supported.
All charges above are exclusive of Government taxes and will be applicable at the time of purchase.",,,,,
LTE_ANY JOY,BB_Any_Joy_4G,BB,PAID,4G,,ANY JOY 4G,,,,22,,Anytime,"8Mbps,1024Kbps",,450-1000,890,,,,,,,,,,,,,,,,,,,,"DOUBLE_PLAY, TRIPLE_PLAY",,Home,EXCLUDED,"Download and upload speed will be reduced to 64 Kbps after reaching either maximum anytime download volume. Additional volume can be requested with the standard package speed. Please refer Extra GB tab for details.
Package migrations between Anytime and Time-based are possible. Package upgrade and downgrades will be decided based on monthly rental values of two packages. Rs.250 will be charged for downgrades only.
Broadband loyalty data will be reduced by 50% for each package downgrade.
All charges above are exclusive of government taxes and will be applicable at the time of purchase.",,,,,
ANY JOY,BB_Any_Joy_ADSL,BB,PAID,ADSL,,ANY JOY ADSL,,,,22,,Anytime,"21Mbps,512Kbps",,450-1000,890,,,,,,,,,,,,,,,,,,,,"DOUBLE_PLAY, TRIPLE_PLAY",,Home,EXCLUDED,"Speeds may vary depending on the line distance and condition.
Download and upload speed will be reduced to 64 Kbps after reaching either maximum anytime download volume. Additional volume can be requested with same speed. Please refer Extra GB tab for details.
Package migrations between Anytime and Time-based are possible. Package upgrade and downgrades will be decided based on monthly rental values of two packages. Rs.250- will be charged for downgrades only.
Broadband loyalty data will be reduced by 50% for each package downgrade.
Equipment configuration support fee is Rs.500(Optional).
Minimum 60% service quality will be maintained with respect to line speed supported.
All charges above are exclusive of Government taxes and will be applicable at the time of purchase.",,,,,
LTE_WEB PAL,BB_Web_Pal_4G,BB,PAID,4G,,WEB PAL 4G,,18,27,,,Time-based,"8Mbps,1024Kbps",,450-1000,990,,,,,,,,,,,,,,,,,,,,"DOUBLE_PLAY, TRIPLE_PLAY",,Home,EXCLUDED,"Download and upload speed will be reduced to 64 Kbps after reaching either maximum anytime download volume (Standard quota) or the total usage volume. Additional volume can be requested with standard package speed. Please refer Extra GB tab for details.
Package migrations between Anytime and Time-based packages are possible. Package upgrades and downgrades will be decided based on monthly rental difference between previous package and new package. Rs.250 will be charged for downgrades only.
Broadband loyalty data will be reduced by 50% for each package downgrade.
Off-peak time for download time band is from 00.00 to 08.00 hrs.
All charges above are exclusive of government taxes and will be applicable at the time of purchase.",,,,,
WEB PAL,BB_Web_Pal_ADSL,BB,PAID,ADSL,,WEB PAL ADSL,,18,27,,,Time-based,"21Mbps,512Kbps",,450-1000,990,,,,,,,,,,,,,,,,,,,,"DOUBLE_PLAY, TRIPLE_PLAY",,Home,EXCLUDED,"Speeds may vary depending on the line distance and condition.Download and upload speed will be reduced to 64 Kbps after reaching either maximum anytime download volume (Standard quota) or the total usage volume. Additional volume can be requested with same speed. Please refer Extra GB tab for details.
For Entrée package
Extra usage charge - 25 cents per MB up to a maximum limit of Rs. 3,500. Download and upload speed will be reduced to 64 Kbps after reaching 21 GB threshold.
Off-peak time for download volume is from 00.00 to 08.00 hrs.
Package migrations between Anytime and Time-based packages are possible. Package upgrades and downgrades will be decided based on monthly rental difference between previous package and new package. LKR.250/- will be charged for downgrades only.
Broadband loyalty data will be reduced by 50% for each package downgrade.
Equipment configuration support fee is Rs.500. (Optional).
Minimum 60% service quality will be maintained with respect to line speed supported.
All charges above are exclusive of Government taxes and will be applicable at the time of purchase.",,,,,
