ACCOUNT_NUM.hash,OFFNET_INCOMING_Scaled,OFFNET_INCOMING_Outlier,OFFNET_OUTGOING_Scaled,OFFNET_OUTGOING_Outlier,ONNET_INCOMING_Scaled,ONNET_INCOMING_Outlier,ONNET_OUTGOING_Scaled,ONNET_OUTGOING_Outlier,IDD_INCOMING_Scaled,IDD_INCOMING_Outlier,IDD_incoming_country,IDD_OUTGOING_Scaled,IDD_OUTGOING_Outlier,IDD_outgoing_country,BB_Scaled,BB_Package,TARIFF_NAME,BB_Medium,Location_Identifier,GENDER,Sub_Type,Megaline_Package,Package_Type,FTTH_Package,VAS_Package,Product_Type,Sub_Update,BB_Extra_GB_Usage_Times,BB_Extra_GB_Purchased_Scaled,BB_Extra_GB_Amount,Having_Insurance,Having_Senior_Citizen_Scaled,Having_Kids_at_Home_Scaled,SMEs_Scaled,Having_Teenagers_Students_Scaled,Having_Working_Professionals_Scaled,Having_Family_Member_Abroad_Scaled,Tamil_Customer
729e0a0a75015a8908d0989386f4454e,0.948717949,YES,0.575549451,YES,0.593406593,YES,0.249950942,NO,0.687666667,YES,"['TIS/Italy Incoming II', 'HGC/HK Incoming II', 'IVY Incoming II', 'CTGL/China Incoming II', 'Orange/France Incoming II', 'Lycatel Incoming II', 'BICS/Belgium Incoming II', 'Dhiraagu/Maldives Incoming II', 'DU/UAE Incoming II', 'Ooredoo/Qatar incoming II', 'CYTA/Cyprus Incoming II', 'Optus/AU Incoming II', 'PTCL/Pakistan Incoming II', 'Etisalat/UAE Incoming II', 'Maxis/ MY Incoming II', 'Platinum Incoming II', 'TM/ Malaysia Incoming II', 'Saif Incoming II', 'PCCW Incoming  II', 'Telstra/Australia Incoming II', 'Skype/LUX Incoming II', 'GTS Incoming II', 'Singtel/ SP Incoming II', 'STC/Saudi Arabia Incoming II']",0.019230769,NO,['Australia - Mobile'],0.372947913,Web Family Xtra,Web Family Xtra,COPPER,MSAG5200-ISLND-PHG-NODE500241,,DOUBLE_PLAY_PV,"['SLT PeoTV Service', 'AB Megaline', 'AB Copper Access Bearer', 'BB SLT BroadBand Service', 'SLT Voice Service', 'AB WireLess Access']","['PeoTV', 'Other', 'Other', 'BB', 'Voice', 'Other']",['AB Fiber Access Bearer'],"['BB Detailed Reports ', 'Hotline Time Delayed', 'Video on Demand', 'BB Report Subscription Charge', 'Meet Max']",['Megaline'],DOUBLE_PLAY_PV -> SINGLE_PLAY,36,0.050071531,1800,,0.2,0,0.3,0.3,0.35,2.55,
2f1d8e2ad12e57fce4419845e23ddcbd,0.137231816,NO,0.172880691,NO,0.163804945,NO,0.171899529,NO,0,,,0,,,0.175347222,Web Starter,Web Starter,COPPER,C300MTP-NODE8700911,,TRIPLE_PLAY,"['BB SLT BroadBand Service', 'AB Copper Access Bearer', 'SLT Voice Service']","['BB', 'Other', 'Voice']",,,,,1,0.01,6,,0.1,0,0.1,0.1,0.1,0,
0d4098a262a8bed6ac4253f42dfc5769,0.040799974,NO,0.054454474,NO,0.014938187,NO,0.021610086,NO,0.041833333,NO,"['PTCL/Pakistan Incoming II', 'Orange/France Incoming II', 'DU/UAE Incoming II']",0.032051282,NO,['India'],0.072916667,Web LITE,Web Lite,COPPER,MSAG5200BG-NODE431391,F,TRIPLE_PLAY,"['SLT PeoTV Service', 'SLT Voice Service', 'AB Copper Access Bearer', 'BB SLT BroadBand Service']","['PeoTV', 'Voice', 'Other', 'BB']",,,,,0,0,0,,0.3,0.2,0,0.1,0.1,0.85,
fac45c3800fe3b9a28cc124f692a9f4a,0.026376897,NO,0.117592229,NO,0.066792582,NO,0.074102237,NO,0,,,0,,,0.372947913,Student Package 1,Student Package 1,COPPER,MSAG5200-ISLMT-AVR-NODE467161,M,TRIPLE_PLAY,"['BB SLT BroadBand Service', 'AB Copper Access Bearer', 'SLT Voice Service', 'SLT PeoTV Service']","['BB', 'Other', 'Voice', 'PeoTV']",,,,,1,0.01,0,,0,0.45,0.1,0.3,0.4,0,
f53c729fa6b9ce93c6b4bb190efe41b3,0.030432365,NO,0.046408948,NO,0.023695055,NO,0.118941327,NO,0,,,0,,,0.372947913,Student Package 2,Student Package 2,COPPER,MSAG5200-ISLMT-AVR-NODE467161,M,DOUBLE_PLAY_PV,"['AB Copper Access Bearer', 'SLT Voice Service', 'SLT PeoTV Service', 'BB SLT BroadBand Service']","['Other', 'Voice', 'PeoTV', 'BB']",,,,TRIPLE_PLAY -> DOUBLE_PLAY_PV,1,0.01,0,,0.3,0.45,0.1,0.3,0.2,0,
c689edeb7bb9db36383f01bada12ecce,0.091836735,NO,0.052050628,NO,0.001373626,NO,0.003605769,NO,0,,,0,,,0.372947913,Web LITE,Web Lite,COPPER,C300MNW-MEE-NODE18887751,F,DOUBLE_PLAY_BV,"['SLT Voice Service', 'AB Copper Access Bearer', 'BB SLT BroadBand Service']","['Voice', 'Other', 'BB']",,,,SINGLE_PLAY -> DOUBLE_PLAY_BV,1,0.01,0,,0.3,0.2,0.1,0.1,0.1,0,
3bde4ff74b0a8852847af576b81d4e15,0.222895408,NO,0.277521586,NO,0.184237637,NO,0.111975078,NO,0.0595,NO,"['Orange/France Incoming II', 'Optus/AU Incoming II', 'Telstra/Australia Incoming II', 'GTS Incoming II', 'STC/Saudi Arabia Incoming II']",0.006410256,NO,['Australia - Mobile'],0.145833333,Web Family Plus,Web Family Plus,COPPER,MSAG5200-ISLIDH-KGW-NODE6194491,F,TRIPLE_PLAY,"['AB Copper Access Bearer', 'SLT Voice Service', 'BB SLT BroadBand Service']","['Other', 'Voice', 'BB']",,"['Sisu Connect', 'Basic1 TeleLife', 'Meet Lite']",['Megaline'],,3,0.00286123,124,YES,0.6,0.7,0.1,0.3,0.55,1.1,
bd9ab5150e50824620e1b6d2c2ae972c,0.033653846,NO,0.018028846,NO,0.005494505,NO,0.002403846,NO,0.005833333,NO,"['Maxis/ MY Incoming II', 'CTGL/China Incoming II']",0,,,0.151041667,Web Family Plus,Web Family Plus,COPPER,MSAG5200-ISLHK-OCC-NODE506561,M,DOUBLE_PLAY_BV,"['AB Copper Access Bearer', 'SLT Voice Service', 'SLT PeoTV Service', 'BB SLT BroadBand Service']","['Other', 'Voice', 'PeoTV', 'BB']",,['BB SLT Film Hall Service'],['Megaline'],,1,0.01,0,,0,0.2,0.1,0.1,0.3,0.1,
b45981c573bce0223a1d2f0b97d66db4,0.233810832,NO,0.140894819,NO,0.10885989,NO,0.101648352,NO,0.0025,NO,['Telstra/Australia Incoming II'],0,,,0.105902778,Student Package 1,Student Package 1,COPPER,MSAG5200-ISLMH-POL-NODE491451,M,TRIPLE_PLAY,"['AB Copper Access Bearer', 'SLT Voice Service', 'BB SLT BroadBand Service']","['Other', 'Voice', 'BB']",,"['Plus1 TeleLife', 'Basic1 TeleLife', 'Meet Lite']",[],,1,0.01,69,YES,0.6,0.2,0.1,0.3,0.55,0.35,
e7c47bee636e0a186d00e24dc5e41857,0.010784602,NO,0.012019231,NO,0.011847527,NO,0.016238226,NO,0,,,0,,,0.097222222,Web Starter,Web Starter,COPPER,UA5000(IPMB)IM-NODE391531,M,TRIPLE_PLAY,"['SLT Voice Service', 'BB SLT BroadBand Service', 'AB Copper Access Bearer']","['Voice', 'BB', 'Other']",,['E channeling Registration'],['Megaline'],,1,0.01,0,,0,0.2,0.1,0.1,0.3,0,
