ACCOUNT_NUM.hash,OFFNET_INCOMING_Scaled,OFFNET_INCOMING_Outlier,OFFNET_OUTGOING_Scaled,OFFNET_OUTGOING_Outlier,ONNET_INCOMING_Scaled,ONNET_INCOMING_Outlier,ONNET_OUTGOING_Scaled,ONNET_OUTGOING_Outlier,IDD_INCOMING_Scaled,IDD_INCOMING_Outlier,IDD_incoming_country,IDD_OUTGOING_Scaled,IDD_OUTGOING_Outlier,IDD_outgoing_country,Peo_TV_Package,PEO_TV_Scaled,BB_Package,BB_Scaled,TARIFF_NAME,Location_Identifier,GENDER,Sub_Type,Megaline_Package,Package_Type,VAS_Package,VAS_Rental,VAS_One_Time_Charge,Product_Type,MEDIUM,Sub_Update,BB_Extra_GB_Purchased_Scaled,BB_Extra_GB_Amount,Peo_Extra_Channels_Purchased_Scaled,Having_Insurance,Having_Senior_Citizen_Scaled,SMEs_Scaled,Having_Teenagers_Students_Scaled,Having_Working_Professionals_Scaled,Having_Family_Member_Abroad_Scaled,Tamil_Customer
86562710d6118c9ff1c0426d6d6d4fe4,0.079989207,NO,0.053424254,NO,0.056318681,NO,0.051339286,NO,0.0125,NO,"['PTCL/Pakistan Incoming II', 'DU/UAE Incoming II']",0,,,,0,,0,AB_Copper Access Bearer,MSAG5200-ISLND-PHG-NODE500241,M,TRIPLE_PLAY,"['AB Copper Access Bearer', 'SLT Voice Service']","['Other', 'Voice']",['E channeling Registration'],[],[],['Megaline'],"C, C",,0,0,0,,0.3,0,0,0,0.35,
4cf83d8277f8c1cd95199a342092e808,0.010817308,NO,0.004807692,NO,0.002747253,NO,0.003139717,NO,0,,,0,,,,0,,0.03125,AB_Copper Access Bearer,MSAG5200-ISLMT-AVR-NODE467161,,TRIPLE_PLAY,"['SLT Voice Service', 'AB Copper Access Bearer']","['Voice', 'Other']",['Meet Max'],[],[490.0],[],", ",,0.01,205,0,,0,0.3,0.3,0.35,0,
729e0a0a75015a8908d0989386f4454e,0.948717949,YES,0.575549451,YES,0.593406593,YES,0.249950942,NO,0.687666667,YES,"['TIS/Italy Incoming II', 'HGC/HK Incoming II', 'IVY Incoming II', 'CTGL/China Incoming II', 'Orange/France Incoming II', 'Lycatel Incoming II', 'BICS/Belgium Incoming II', 'Dhiraagu/Maldives Incoming II', 'DU/UAE Incoming II', 'Ooredoo/Qatar incoming II', 'CYTA/Cyprus Incoming II', 'Optus/AU Incoming II', 'PTCL/Pakistan Incoming II', 'Etisalat/UAE Incoming II', 'Maxis/ MY Incoming II', 'Platinum Incoming II', 'TM/ Malaysia Incoming II', 'Saif Incoming II', 'PCCW Incoming  II', 'Telstra/Australia Incoming II', 'Skype/LUX Incoming II', 'GTS Incoming II', 'Singtel/ SP Incoming II', 'STC/Saudi Arabia Incoming II']",0.019230769,NO,['Australia - Mobile'],PEO_SILVER,0,Web Family Xtra,0,Web Family Xtra,MSAG5200-ISLND-PHG-NODE500241,,DOUBLE_PLAY_PV,"['SLT PeoTV Service', 'AB Megaline', 'AB Copper Access Bearer', 'BB SLT BroadBand Service', 'SLT Voice Service', 'AB WireLess Access']","['PeoTV', 'Other', 'Other', 'BB', 'Voice', 'Other']","['BB Detailed Reports ', 'Hotline Time Delayed', 'Video on Demand', 'BB Report Subscription Charge', 'Meet Max']",[40.0],[490.0],['Megaline'],,DOUBLE_PLAY_PV -> SINGLE_PLAY,0.050071531,1800,0,,0.2,0.3,0.3,0.35,2.55,
9fb15a37e248fce31c7d0ed98aaaaaf1,0.123086735,NO,0.07478905,NO,0.050480769,NO,0.048003336,NO,0,,,0,,,PEO_SILVER,0.7125,,0,AB_Copper Access Bearer,C300MNW-MEE-NODE18887751,M,DOUBLE_PLAY_PV,"['AB Copper Access Bearer', 'SLT PeoTV Service']","['Other', 'PeoTV']","['Basic1 TeleLife', 'PEO TV GO OTT A la carte channels']","['60', 100]",[],[],", ",SINGLE_PLAY -> DOUBLE_PLAY_PV,0,0,0.153846154,YES,0.8,0,0.2,0.1,0,
4ddd3dc2b7a3fe4907f9806fc67ab627,0.012730573,NO,0.018396782,NO,0.041552198,NO,0.135326727,NO,0,,,0,,,PEO_SILVER,0.5875,,0.128472222,TR 2016_.Office - Triple Play,MSAG5200-ISLND-PHG-NODE500241,,TRIPLE_PLAY,"['SLT Voice Service', 'AB Copper Access Bearer']","['Voice', 'Other']",['PEO TV GO OTT A la carte channels'],[100],[],[],", ",,0.01,0,0.153846154,,0,0.1,0.2,0.2,0,
3bde4ff74b0a8852847af576b81d4e15,0.222895408,NO,0.277521586,NO,0.184237637,NO,0.111975078,NO,0.0595,NO,"['Orange/France Incoming II', 'Optus/AU Incoming II', 'Telstra/Australia Incoming II', 'GTS Incoming II', 'STC/Saudi Arabia Incoming II']",0.006410256,NO,['Australia - Mobile'],,0,Web Family Plus,0.145833333,Web Family Plus,MSAG5200-ISLIDH-KGW-NODE6194491,F,TRIPLE_PLAY,"['AB Copper Access Bearer', 'SLT Voice Service', 'BB SLT BroadBand Service']","['Other', 'Voice', 'BB']","['Sisu Connect', 'Basic1 TeleLife', 'Meet Lite']","[30.0, '60']",[195.0],['Megaline'],"MC, MC",,0.00286123,124,0,YES,0.6,0.1,0.3,0.55,1.1,
bd9ab5150e50824620e1b6d2c2ae972c,0.033653846,NO,0.018028846,NO,0.005494505,NO,0.002403846,NO,0.005833333,NO,"['Maxis/ MY Incoming II', 'CTGL/China Incoming II']",0,,,PEO_SILVER,0,Web Family Plus,0.151041667,Web Family Plus,MSAG5200-ISLHK-OCC-NODE506561,M,DOUBLE_PLAY_BV,"['AB Copper Access Bearer', 'SLT Voice Service', 'SLT PeoTV Service', 'BB SLT BroadBand Service']","['Other', 'Voice', 'PeoTV', 'BB']",['BB SLT Film Hall Service'],[],[],['Megaline'],"MC, MC",,0.01,0,0,,0,0.1,0.1,0.3,0.1,
b45981c573bce0223a1d2f0b97d66db4,0.233810832,NO,0.140894819,NO,0.10885989,NO,0.101648352,NO,0.0025,NO,['Telstra/Australia Incoming II'],0,,,,0,Student Package 1,0.105902778,Student Package 1,MSAG5200-ISLMH-POL-NODE491451,M,TRIPLE_PLAY,"['AB Copper Access Bearer', 'SLT Voice Service', 'BB SLT BroadBand Service']","['Other', 'Voice', 'BB']","['Plus1 TeleLife', 'Basic1 TeleLife', 'Meet Lite']","['100', '60']",[195.0],[],", ",,0.01,69,0,YES,0.6,0.1,0.3,0.55,0.35,
e7c47bee636e0a186d00e24dc5e41857,0.010784602,NO,0.012019231,NO,0.011847527,NO,0.016238226,NO,0,,,0,,,,0,Web Starter,0.097222222,Web Starter,UA5000(IPMB)IM-NODE391531,M,TRIPLE_PLAY,"['SLT Voice Service', 'BB SLT BroadBand Service', 'AB Copper Access Bearer']","['Voice', 'BB', 'Other']",['E channeling Registration'],[],[],['Megaline'],"C, C",,0.01,0,0,,0,0.1,0.1,0.3,0,
5dca0a71aafae66d0aa373f80d97edeb,0.21823489,NO,0.038461538,NO,0.002575549,NO,0.005347331,NO,0,,,0,,,,0,Any Joy,0,Any Joy,MSAG5200-ISLMH-POL-NODE491451,F,TRIPLE_PLAY,"['SLT PeoTV Service', 'SLT Voice Service', 'AB Copper Access Bearer', 'BB SLT BroadBand Service']","['PeoTV', 'Voice', 'Other', 'BB']",['Meet Lite'],[],[195.0],[],", ",DOUBLE_PLAY_BV -> TRIPLE_PLAY,0.01,4,0,,0,0.1,0.3,0.55,0,
62a613f1489781af6178b5e56512a672,0.131966248,NO,0.118524333,NO,0.240384615,NO,0.070913462,NO,0.317833333,YES,"['Platinum Incoming II', 'Maxis/ MY Incoming II', 'DU/UAE Incoming II', 'CTGL/China Incoming II', 'Orange/France Incoming II', 'Telstra/Australia Incoming II', 'Singtel/ SP Incoming II', 'STC/Saudi Arabia Incoming II']",0.043269231,NO,['Italy - Mobile'],PEO_SILVER_PLUS,0.95,Web LITE,0.197916667,Web Lite,MSAG5200PH-AKG-NODE431631,M,TRIPLE_PLAY,"['SLT PeoTV Service', 'SLT Voice Service', 'AB Copper Access Bearer', 'BB SLT BroadBand Service']","['PeoTV', 'Voice', 'Other', 'BB']",['Basic1 TeleLife'],['60'],[],[],", ",SINGLE_PLAY -> TRIPLE_PLAY,0.01,0,0,YES,0.5,0.1,0.3,0.6,1.35,
9e1731d7cdce3947476dd8106907535e,0.104608189,NO,0.092351845,NO,0.053056319,NO,0.077806122,NO,0,,,0,,,,0,Web Family Plus,0.614583333,Web Family Plus,MSAG5200-ISLMX-NODE5391821,M,TRIPLE_PLAY,"['AB Copper Access Bearer', 'SLT Voice Service', 'BB SLT BroadBand Service']","['Other', 'Voice', 'BB']",['Meet Lite'],[],[195.0],[],", ",,0.01,13,0,,0,0.2,0.4,0.65,0,
