ACCOUNT_NUM.hash,package,ratings
0009e7e4d940c2a539b89342af07e7f1,AB Service Vacation,0
008bca99f0cccb5d07d4f03744709cf8,Installment,0
009ef2d25878cecee8d2c8115d26f4ab,Basic1 TeleLife,0.000909068
009ef2d25878cecee8d2c8115d26f4ab,Basic2 TeleLife,0.002045403
009ef2d25878cecee8d2c8115d26f4ab,Plus1 TeleLife,0.002525189
009fdca163372f7a1a51de8c075bfa72,E channeling Registration,0
0105eba65de307bc8ca366dac37aff7b,Edu Lite,0
0105eba65de307bc8ca366dac37aff7b,Meet Lite,0
0105eba65de307bc8ca366dac37aff7b,Sisu Connect,0.000227267
0173026de099e4e9f62f81b15c9adc59,Sisu Connect,0.000227267
019217a7950072f267ab6dcb0d790969,E channeling Registration,0
019217a7950072f267ab6dcb0d790969,E channeling Subscription,0
01cbc9b050fa000d1de651103cd30fc3,Meet Lite,0
01cbc9b050fa000d1de651103cd30fc3,Video on Demand,0
01f29baefa8fabbd7351cc8260f56323,Basic1 TeleLife,0.000909068
01f29baefa8fabbd7351cc8260f56323,Meet Lite,0
01f29baefa8fabbd7351cc8260f56323,Sisu Connect,0.000227267
02059e815d999bda708149ae263946d3,AB Rental Free,0
02059e815d999bda708149ae263946d3,BB Detailed Reports ,0
02059e815d999bda708149ae263946d3,BB Entertainment Unlimited,1
02059e815d999bda708149ae263946d3,BB Report Subscription Charge,0.00040403
02059e815d999bda708149ae263946d3,BB YouTube Bundle,0.006066766
02059e815d999bda708149ae263946d3,Hotline Immediate,0
02059e815d999bda708149ae263946d3,Hotline Time Delayed,0
02059e815d999bda708149ae263946d3,Meet Lite,0
026368f4bccda09644665c13cbe13079,Basic1 TeleLife,0.000909068
026368f4bccda09644665c13cbe13079,PeoTPackage Transfer,0
026368f4bccda09644665c13cbe13079,Plus1 TeleLife,0.002525189
026368f4bccda09644665c13cbe13079,Telehealth,0.002525189
026368f4bccda09644665c13cbe13079,Video on Demand,0
02efe38e4cc2e4c9856bf37ed0a2ad1b,Meet Lite,0
033bfca5a6ec3efe628326fde56c6e14,Meet Lite,0
033bfca5a6ec3efe628326fde56c6e14,Sisu Connect,0
0343a21cd63098883687b660b665d3ee,IDD,0
03489485bb11b7474395412e1ecd952e,BB Entertainment Unlimited,1
0428ed3b8393d8dfb8ff616d8cad7e15,BB Messenger Bundle,0.000511351
0428ed3b8393d8dfb8ff616d8cad7e15,BB YouTube Bundle,0.006066766
0428ed3b8393d8dfb8ff616d8cad7e15,Meet Lite,0
0461afe42861face4d95019ba70634b0,Meet Lite,0
04b03917b3a4d5e6ed56b3972e493cc5,Video on Demand,0
050fdbb3512b12800826659f16b55eb5,Video on Demand,0
052f85b26b2ff4a46327fb069b8b97f1,Meet Lite,0
0569cbb3fc4a77add1ec6659fd12e4c1,Basic1 TeleLife,0.000909068
0575034fff654e702bfef165510f8492,Basic1 TeleLife,0.000909068
05837c9e58679948f8c0d891fa4a0ccc,Sisu Connect,0.000227267
05b2253899a953b9d07f4c5f31d433c7,E channeling Registration,0
05b8bccc885713712d193dec52f9f099,Basic1 TeleLife,0.000909068
05bab558d9088194d8c2e91ffa1f3917,Meet Lite,0
062885b761569837df396f9bdd67ab24,E channeling Registration,0
06623c7ba64331f615ff83c5664b71bb,Meet Lite,0
066323e15583647d5102a831aa53aba7,BB Detailed Reports ,0
066323e15583647d5102a831aa53aba7,BB Report Subscription Charge,0.00040403
06b0e86e8d218a11ddf948ae6201f260,Basic1 TeleLife,0.000909068
06b0e86e8d218a11ddf948ae6201f260,Plus1 TeleLife,0.002525189
070c11ae598c36e61aea606708d63841,BB Detailed Reports ,0
070c11ae598c36e61aea606708d63841,BB Report Subscription Charge,0.00040403
071d51ec01c8ed8159ac1313dd632c40,Meet Lite,0
0759d0f0ba98657257d82fe0103c220f,Basic1 TeleLife,0.000909068
