,event_source.hash,Sub_Type,User,Recommended Item 1,Recommended Item 2,Recommended Item 3,Recommended Item 4,Recommended Item 5
0,7b40c1d1c84c9a340004769491af7931,DOUBLE_PLAY_BV,7b40c1d1c84c9a340004769491af7931,BB_Report Subscription Charge,BB Personal Storage,,,
1,53098ea32fbe12338600872be6e06fb0,DOUBLE_PLAY_PV,53098ea32fbe12338600872be6e06fb0,,,,,V-Basic2_TeleLife
2,ef32199f0aa596ff8a487da9fe605f2d,TRIPLE_PLAY,ef32199f0aa596ff8a487da9fe605f2d,BB_Report Subscription Charge,,,,
3,68753ced72b8308cf646e05b96e3163f,TRIPLE_PLAY,68753ced72b8308cf646e05b96e3163f,BB_Report Subscription Charge,Package Rental Through ADSL,BB Personal Storage,,
4,13fd5c8f11e2fdc594a900efae407bfa,TRIPLE_PLAY,13fd5c8f11e2fdc594a900efae407bfa,BB_Report Subscription Charge,BB Personal Storage,,PeoTVGo_Channel Package,
5,166fce636a153eb882088cb39c53c54b,DOUBLE_PLAY_BV,166fce636a153eb882088cb39c53c54b,BB_Report Subscription Charge,,BB Personal Storage,,
6,b2c48e091f5d255b3adb80f9f02e45a6,DOUBLE_PLAY_PV,b2c48e091f5d255b3adb80f9f02e45a6,,,,,
7,ca2a6989ef36da6a18d2f28114be3db3,TRIPLE_PLAY,ca2a6989ef36da6a18d2f28114be3db3,BB_Report Subscription Charge,BB Personal Storage,,,
8,ea0164c263ab70d6d0ceb680ac3c6bfb,TRIPLE_PLAY,ea0164c263ab70d6d0ceb680ac3c6bfb,BB_Report Subscription Charge,BB Personal Storage,Package Rental Through ADSL,V_Voice Startup Fee,
9,4f33f7430088151b9de9d8c178958e82,TRIPLE_PLAY,4f33f7430088151b9de9d8c178958e82,BB_Report Subscription Charge,Package Rental Through ADSL,BB Personal Storage,,E_PeoTV_Package Transfer
10,9b6f4230196d969c6bfd15944342ad30,TRIPLE_PLAY,9b6f4230196d969c6bfd15944342ad30,BB_Report Subscription Charge,BB Personal Storage,Package Rental Through ADSL,,
11,62df989f444989ebeb8f468d480db1e0,TRIPLE_PLAY,62df989f444989ebeb8f468d480db1e0,BB_Report Subscription Charge,Package Rental Through ADSL,BB Personal Storage,V-Basic4_TeleLife,
12,9b02ba8166e6a7112b96af394b5606d3,TRIPLE_PLAY,9b02ba8166e6a7112b96af394b5606d3,BB_Report Subscription Charge,Package Rental Through ADSL,BB Personal Storage,,
13,3205f3be0dfb17865b07757ba72879e4,DOUBLE_PLAY_BV,3205f3be0dfb17865b07757ba72879e4,BB_Report Subscription Charge,,BB Personal Storage,,V-Basic2_TeleLife
14,b8cf511820a921f5ea3006bcc7de1e98,DOUBLE_PLAY_BV,b8cf511820a921f5ea3006bcc7de1e98,BB_Report Subscription Charge,BB Personal Storage,V_Voice Startup Fee,,
15,da603ad2b55abf3261d9ce65617c4301,DOUBLE_PLAY_BV,da603ad2b55abf3261d9ce65617c4301,BB_Report Subscription Charge,BB Personal Storage,,,V-Basic2_TeleLife
16,eb5802b1c1bb0f2a7a7b0237e1ac1116,DOUBLE_PLAY_BV,eb5802b1c1bb0f2a7a7b0237e1ac1116,BB_Report Subscription Charge,BB Personal Storage,,,
17,ba70ca929ce0dd170ef0e5838254d460,DOUBLE_PLAY_BV,ba70ca929ce0dd170ef0e5838254d460,BB_Report Subscription Charge,BB Personal Storage,,V-Basic2_TeleLife,
18,f4933f88cb06dfb14c9edcdc6f395f97,DOUBLE_PLAY_BV,f4933f88cb06dfb14c9edcdc6f395f97,BB_Report Subscription Charge,,,BB Personal Storage,V-Basic2_TeleLife
19,b8cad43cb688db21b503781f9a2c3070,DOUBLE_PLAY_BV,b8cad43cb688db21b503781f9a2c3070,BB_Report Subscription Charge,BB Personal Storage,V-Basic2_TeleLife,,
20,3a92b3a8fd65183dd285ccfb7601de41,DOUBLE_PLAY_BV,3a92b3a8fd65183dd285ccfb7601de41,BB_Report Subscription Charge,BB Personal Storage,,,
21,f634379e5c905bae3a8d6e3ae6096aa3,DOUBLE_PLAY_BV,f634379e5c905bae3a8d6e3ae6096aa3,BB_Report Subscription Charge,BB Personal Storage,,,
22,0fc85eaae3955affd0717d5cb55febe5,DOUBLE_PLAY_BV,0fc85eaae3955affd0717d5cb55febe5,BB_Report Subscription Charge,BB Personal Storage,,V-Basic2_TeleLife,
23,0f4e59e6431c96358585717df246ac61,DOUBLE_PLAY_BV,0f4e59e6431c96358585717df246ac61,BB_Report Subscription Charge,BB Personal Storage,V-Basic2_TeleLife,,
24,9ecaf12dc5d8cabb221ff75fd0147ee2,DOUBLE_PLAY_BV,9ecaf12dc5d8cabb221ff75fd0147ee2,BB_Report Subscription Charge,BB Personal Storage,,,
25,be9cd85016eb0b9f6081742dad1ab2dd,DOUBLE_PLAY_BV,be9cd85016eb0b9f6081742dad1ab2dd,BB_Report Subscription Charge,BB Personal Storage,,,
26,875943d05807100563c315ca65d33fc1,DOUBLE_PLAY_BV,875943d05807100563c315ca65d33fc1,BB_Report Subscription Charge,BB Personal Storage,,,
27,f919dafa9ed809ab45ede1b070db3b5f,DOUBLE_PLAY_BV,f919dafa9ed809ab45ede1b070db3b5f,BB_Report Subscription Charge,BB Personal Storage,,,V-Basic2_TeleLife
28,321f652e0ffc8011b09d7cee3027afc2,DOUBLE_PLAY_BV,321f652e0ffc8011b09d7cee3027afc2,BB_Report Subscription Charge,BB Personal Storage,V-Basic2_TeleLife,,
29,87fe5084a951ab2e3567a8286a31b09f,DOUBLE_PLAY_BV,87fe5084a951ab2e3567a8286a31b09f,BB_Report Subscription Charge,,BB Personal Storage,,
30,3fc2b5223e6aa26fe89701cd2833bc1b,DOUBLE_PLAY_BV,3fc2b5223e6aa26fe89701cd2833bc1b,BB_Report Subscription Charge,,,BB Personal Storage,
31,8719c3c860e6c15aee662936db153050,DOUBLE_PLAY_BV,8719c3c860e6c15aee662936db153050,BB_Report Subscription Charge,BB Personal Storage,,,
32,29fdd2f665a7a10cf3489a8e4897576f,DOUBLE_PLAY_BV,29fdd2f665a7a10cf3489a8e4897576f,BB_Report Subscription Charge,BB Personal Storage,V-Basic2_TeleLife,,
33,0637d3ef4a8bf386092f864bed53c320,DOUBLE_PLAY_BV,0637d3ef4a8bf386092f864bed53c320,BB_Report Subscription Charge,,,,BB Personal Storage
34,e8d657bb4561cfa96e3642135ddda807,DOUBLE_PLAY_BV,e8d657bb4561cfa96e3642135ddda807,BB_Report Subscription Charge,BB Personal Storage,,,
35,503818d97f14968a9e64bfc1c1461516,DOUBLE_PLAY_BV,503818d97f14968a9e64bfc1c1461516,BB_Report Subscription Charge,BB Personal Storage,,,
36,666f7b41ade7754fab56f7042c7b2431,DOUBLE_PLAY_BV,666f7b41ade7754fab56f7042c7b2431,BB_Report Subscription Charge,,BB Personal Storage,,
37,4f822d4257c552d5dd83ee5c6f5d42ff,DOUBLE_PLAY_BV,4f822d4257c552d5dd83ee5c6f5d42ff,BB_Report Subscription Charge,V-Basic2_TeleLife,BB Personal Storage,,
38,720af865cd7199f5f7c4f7b6c4ca19b8,DOUBLE_PLAY_BV,720af865cd7199f5f7c4f7b6c4ca19b8,BB_Report Subscription Charge,BB Personal Storage,V-Basic2_TeleLife,,
39,0fd418dfca250cd089fe71d3c155db16,DOUBLE_PLAY_BV,0fd418dfca250cd089fe71d3c155db16,BB_Report Subscription Charge,BB Personal Storage,,,
40,dce96d142741d1345f4a514684ae8686,DOUBLE_PLAY_BV,dce96d142741d1345f4a514684ae8686,BB_Report Subscription Charge,BB Personal Storage,V-Basic2_TeleLife,,
41,3426c42ed7975cac1e4065b4fc77aebb,DOUBLE_PLAY_BV,3426c42ed7975cac1e4065b4fc77aebb,BB_Report Subscription Charge,BB Personal Storage,,V-Basic2_TeleLife,
42,4e23ca47bf18000076e9f5b08edf3878,DOUBLE_PLAY_BV,4e23ca47bf18000076e9f5b08edf3878,BB_Report Subscription Charge,BB Personal Storage,,,
43,8c85e5ed9407e5c9133bbcc319e63aa5,DOUBLE_PLAY_BV,8c85e5ed9407e5c9133bbcc319e63aa5,BB_Report Subscription Charge,BB Personal Storage,,,
44,2ab8436cc34b4f16de3c452300f975c3,TRIPLE_PLAY,2ab8436cc34b4f16de3c452300f975c3,BB_Report Subscription Charge,,,,Package Rental Through ADSL
45,351af0c01d320c5cfa1e025b04607b96,TRIPLE_PLAY,351af0c01d320c5cfa1e025b04607b96,BB_Report Subscription Charge,Package Rental Through ADSL,BB Personal Storage,PeoTVGo_Channel Package,
46,5bec0ca691d3c01adf039e0f0073b97e,DOUBLE_PLAY_BV,5bec0ca691d3c01adf039e0f0073b97e,BB_Report Subscription Charge,,,,BB Personal Storage
47,fb221339a649533127cf58d2046bfe35,DOUBLE_PLAY_BV,fb221339a649533127cf58d2046bfe35,BB_Report Subscription Charge,,V-Basic2_TeleLife,BB Personal Storage,
48,a3f2b822c9af67cdb1a5f0562e9c5273,DOUBLE_PLAY_BV,a3f2b822c9af67cdb1a5f0562e9c5273,BB_Report Subscription Charge,,BB Personal Storage,V-Basic2_TeleLife,
49,228ba91a3d7f37a54245dc427ec76054,DOUBLE_PLAY_BV,228ba91a3d7f37a54245dc427ec76054,BB_Report Subscription Charge,,BB Personal Storage,,V-Basic2_TeleLife
50,34b7146b6bbf673ac932aeacbbacabb6,DOUBLE_PLAY_BV,34b7146b6bbf673ac932aeacbbacabb6,BB_Report Subscription Charge,,BB Personal Storage,V-Basic2_TeleLife,
51,6d6678da1b0a2bcdfeed94589ec9a506,DOUBLE_PLAY_BV,6d6678da1b0a2bcdfeed94589ec9a506,BB_Report Subscription Charge,,BB Personal Storage,,
52,649a636c7dfbf54c7080e33613dd9e26,DOUBLE_PLAY_BV,649a636c7dfbf54c7080e33613dd9e26,BB_Report Subscription Charge,BB Personal Storage,,,
53,fde1c196f37ac5690e9ea1d6fa9f5fc0,DOUBLE_PLAY_BV,fde1c196f37ac5690e9ea1d6fa9f5fc0,BB_Report Subscription Charge,BB Personal Storage,,,
