,event_source.hash,ACCOUNT_NUM.hash,CUSTOMER_REF.hash,VAS,Month_Subscribed,Rental
0,154adca91f53bf8af4618544147bdab9,668291ed17c638aaed94f99f7fdf33a5,6100520dec9c009ee526b1c518626349,BB EXTRA GB,2017-04,250.0
1,d285cd403f0bcedf0072777ef9a724d7,59322724d5029e5667d19ae164cdc16d,efeab37d377b0f32b7f70b159f824652,BB EXTRA GB,2018-01,750.0
2,2e9071894a55e63338baaf062b9f2ae7,0e1fe0d01f3a2e9619999a1a634ec427,cd3b840fb0da1abcc5bfdebaca6cd761,BB EXTRA GB,2018-01,1500.0
3,5693fe3496dd2588d52cabe07469af1f,0e3e3cabb8b653645ad4268f318a80b8,ea80ab897faee5c372d67f28e5b47c54,BB EXTRA GB,2017-08,750.0
4,95d08da5227bc513d6c3433a51b68c5c,130a75d8233d72dc5dce070522818bea,dd9255113bd2889330fd040a0b3f2a6c,BB EXTRA GB,2020-06,850.0
5,dec03d41335fcf18e545c928b186869d,ca36fc61e31226884796fb29d1ac795f,13c4e095667c0854cf78140455e47390,BB EXTRA GB,2017-08,3750.0
6,fbfeb5f9c94ceed16035be418aadb06c,5bacfb2cce2c7b3de15a2a6abed7ab81,aff590723ef5dfc5825c3f83baa8a72e,BB EXTRA GB,2020-07,400.0
7,d285cd403f0bcedf0072777ef9a724d7,59322724d5029e5667d19ae164cdc16d,efeab37d377b0f32b7f70b159f824652,BB EXTRA GB,2020-04,1450.0
8,8c63a9b013f6c1ef5546d5c67402a0ff,02c47c646ce82016d2f5172114410cce,f5ca7bb2c6b8c1376e6aa49813c1cc5a,BB EXTRA GB,2017-04,750.0
9,15094d516ea903fce925fc97624f86cd,214cbb1651fa329cf02ef1821fc0e44e,5852e0a1ad6e7205aa85b0857cc29311,BB EXTRA GB,2018-02,500.0
10,6708d890136d1a491349a38fee0d9c90,bf24bb4d16276ef6161e3e8f3435f975,20c01068f7dc1a6a31ebc638437a0780,BB EXTRA GB,2020-06,300.0
11,fa05b28af3d1339f6777444696743db6,f7e5d90e8464194308301a8f63a4678f,2a52b62c36a87cfe108b4c1f79060dc4,BB EXTRA GB,2016-11,500.0
12,55c43202b3af59d34bce8554e1589c5d,7217b86f207517a6376ba22c8d6ead47,037ea3d6208bbb9d777326202661c909,BB EXTRA GB,2020-07,625.0
13,41042ac3c02255e76f028a507ea224b7,e600b4fc2b156fd93fdaeead7b2c2fba,45b57f995abc1efe0fc1a22ecdab55e7,BB EXTRA GB,2017-06,750.0
14,d285cd403f0bcedf0072777ef9a724d7,59322724d5029e5667d19ae164cdc16d,efeab37d377b0f32b7f70b159f824652,BB EXTRA GB,2017-12,750.0
15,5fd93fb44c41e57e2e073e2f733bbda9,c7c5bdd3b8d6748a15006eedb6d7e72f,0f1767cecb2a3b6f57e3e61b4c645f03,BB EXTRA GB,2017-08,2250.0
16,8eb331012e734d80ff7d4448f34b5a8a,83041b23b6ad1c70326076d1210fa761,ac995f79a7164b89de084396352b343b,BB EXTRA GB,2017-12,1250.0
17,2e9071894a55e63338baaf062b9f2ae7,0e1fe0d01f3a2e9619999a1a634ec427,cd3b840fb0da1abcc5bfdebaca6cd761,BB EXTRA GB,2020-07,2275.0
18,d285cd403f0bcedf0072777ef9a724d7,59322724d5029e5667d19ae164cdc16d,efeab37d377b0f32b7f70b159f824652,BB EXTRA GB,2020-07,5220.0
19,7fea3c06f2aea02f3c1520f7d387c9dd,4d58b03afc6abd67319b2e628327f518,8297ee459e04bfdda98253ef928f3a48,BB EXTRA GB,2016-03,4500.0
20,d41d8cd98f00b204e9800998ecf8427e,949e14e85d36002ffb954d42d3366936,51ee71e46ba64034adaf383345028fb8,BB EXTRA GB,2019-06,6675.0
21,b297e76d28de5a7c47e6841bcb1fb371,6c4e0622eabb0cd72da7dee9ac9e1996,3671aef12aa20d351d9e11f01ad0c956,BB EXTRA GB,2017-08,1050.0
22,2eb3dfba6c77446975809b6a4fb87d37,b5d8f1814c6e9dea26e0c25482431643,6368032c2de8c4ee58beea5d64955a2b,BB EXTRA GB,2017-08,250.0
23,e3ba3b976d5d470874a95ba467ef3dd2,4b9b93f6ee97efcbef1390bc711c09fc,6bfed4d51b694a73df6edb20a3c48de0,BB EXTRA GB,2016-12,250.0
24,2722700c496ddd36e96aac5730d96725,733f5c3b394b6e2779e1f01f16068417,c072f6ba27866d25c37011a84c73a637,BB EXTRA GB,2018-02,1000.0
25,e8a7c602cffd42267a0e930b0225e7d8,0fb8c557d22f3fafbf573d925b8d5f96,b2f881d07b3b2debbee9ab04562b3f62,BB EXTRA GB,2018-04,500.0
26,b297e76d28de5a7c47e6841bcb1fb371,6c4e0622eabb0cd72da7dee9ac9e1996,3671aef12aa20d351d9e11f01ad0c956,BB EXTRA GB,2016-04,1250.0
27,0337f10cd6d707ca500d10a3ac3c2736,15d49615ea4b0ad7572e8d10667d23cc,42e3a2df5018eb17a4b950e2308a1c64,BB EXTRA GB,2018-02,1000.0
28,4d4543b0adead7d90996b7108ba5b9f5,b027d65390a0c725b9ce41e409f9797e,f915b183884f8197b358c9638584531c,BB EXTRA GB,2013-05,1000.0
29,a4a28243b8f282cd18f298d9e2fab243,729e0a0a75015a8908d0989386f4454e,dcd2f80daa0b3d9f09eecd7657921048,BB EXTRA GB,2018-07,2250.0
30,6ddf2bbe52cfb2b116c0af7d6c8eadac,5d853feeb09048ff7abde29cbaa8ec51,afbd221ba37a5d89aaf0d44a472f7ce7,BB EXTRA GB,2016-06,2000.0
