event_source.hash,ym,incoming_country,call_count,volume,event_type_id,RTOM_CODE,LOCATION_CODE,MSAN,EQUP_ID,MODEL,EQUP_INDEX, 
40316888f773134364ae711ebdfdc791,201901,Telstra/Australia Incoming II,3,681,6,R-RM,MV-GDM-NODE,MSAG5200-ISL,48249,MSAN-OG,1, 
40316888f773134364ae711ebdfdc791,201904,STC/Saudi Arabia Incoming II,1,219,6,R-RM,MV-GDM-NODE,MSAG5200-ISL,48249,MSAN-OG,1, 
40316888f773134364ae711ebdfdc791,201906,CTGL/China Incoming II,1,11,6,R-RM,MV-GDM-NODE,MSAG5200-ISL,48249,MSAN-OG,1, 
c3db6a32b42743fc2e0284f8e6c7515e,201912,STC/Saudi Arabia Incoming II,1,15,6,R-AG,AG-PNP-NODE,ZXDSL9806H-ISL,52976,MSAN-OP,1, 
c3db6a32b42743fc2e0284f8e6c7515e,201904,Telstra/Australia Incoming II,2,56,6,R-AG,AG-PNP-NODE,ZXDSL9806H-ISL,52976,MSAN-OP,1, 
c3db6a32b42743fc2e0284f8e6c7515e,202001,Ooredoo/Qatar incoming II,19,17444,6,R-AG,AG-PNP-NODE,ZXDSL9806H-ISL,52976,MSAN-OP,1, 
c3db6a32b42743fc2e0284f8e6c7515e,201910,Ooredoo/Qatar incoming II,14,10093,6,R-AG,AG-PNP-NODE,ZXDSL9806H-ISL,52976,MSAN-OP,1, 
c3db6a32b42743fc2e0284f8e6c7515e,201904,Ooredoo/Qatar incoming II,8,3195,6,R-AG,AG-PNP-NODE,ZXDSL9806H-ISL,52976,MSAN-OP,1, 
40316888f773134364ae711ebdfdc791,201906,Singtel/ SP Incoming II,3,405,6,R-RM,MV-GDM-NODE,MSAG5200-ISL,48249,MSAN-OG,1, 
ab97314f71804f7cc9fe63ab40d25d01,201905,Skype/LUX Incoming II,1,19,6,R-RM,MV-GDM-NODE,MSAG5200-ISL,48249,MSAN-OG,1, 
b9c21c50b03107858b85845c76f3bfdd,201810,Singtel/ SP Incoming II,1,710,6,R-RM,MV-GDM-NODE,MSAG5200-ISL,48249,MSAN-OG,1, 
32533f908703e3e91ee61f6b89b4463c,202006,Maxis/ MY Incoming II,2,130,6,R-NG,SL-NODE,UA5000(IPMB),38534,NGN-MSAN,1, 
d891fafd066d8577539f5549318ef714,201908,Maxis/ MY Incoming II,1,458,6,R-NG,SL-NODE,UA5000(IPMB),38534,NGN-MSAN,1, 
709d2f2bbdf401b856fdf41d179ade81,201811,Skype/LUX Incoming II,2,609,6,R-RM,MV-GDM-NODE,MSAG5200-ISL,48249,MSAN-OG,1, 
32533f908703e3e91ee61f6b89b4463c,202007,Telstra/Australia Incoming II,1,75,6,R-NG,SL-NODE,UA5000(IPMB),38534,NGN-MSAN,1, 
d891fafd066d8577539f5549318ef714,201809,PTCL/Pakistan Incoming II,1,16,6,R-NG,SL-NODE,UA5000(IPMB),38534,NGN-MSAN,1, 
af7c2ddcbafe548ce94cbb4f79302850,201812,Telstra/Australia Incoming II,2,158,6,R-GQ,GE-NODE,MSAG5200-ISL,557798,MSAN-IG,1, 
c3db6a32b42743fc2e0284f8e6c7515e,201904,STC/Saudi Arabia Incoming II,4,103,6,R-AG,AG-PNP-NODE,ZXDSL9806H-ISL,52976,MSAN-OP,1, 
9e9b57626a61d33c04d34c00f39ce741,201901,Orange/France Incoming II,1,14,6,R-RM,MV-GDM-NODE,MSAG5200-ISL,48249,MSAN-OG,1, 
b99957e9215d70ac90b5819e405827f7,201810,Orange/France Incoming II,1,32,6,R-KL,KL-PRC-NODE,ZXDSL9806H-ISL,48236,MSAN-OP,1, 
35d8789216ec672c440215b54e78390e,201901,Telstra/Australia Incoming II,1,4,6,R-RM,MV-GDM-NODE,MSAG5200-ISL,48249,MSAN-OG,1, 
2a4354f8457c7f1ca6c3b07cb0022229,202007,Lycatel Incoming II,1,517,6,R-JA,JA-PKV-NODE,MSAG5200-ISL,46042,MSAN-OG,1, 
61dda498fec60bd21a4d6c43d50c197d,201812,PTCL/Pakistan Incoming II,1,327,6,R-HT,HT-NE-NODE,C300M,815246,MSAN-OG,1, 
709d2f2bbdf401b856fdf41d179ade81,201910,Skype/LUX Incoming II,2,61,6,R-RM,MV-GDM-NODE,MSAG5200-ISL,48249,MSAN-OG,1, 
61dda498fec60bd21a4d6c43d50c197d,202007,DU/UAE Incoming II,1,667,6,R-HT,HT-NE-NODE,C300M,815246,MSAN-OG,1, 
bc7751f4b43e326e6d69a4f8e706574d,201906,STC/Saudi Arabia Incoming II,1,5,6,R-KL,KL-PRC-NODE,ZXDSL9806H-ISL,48236,MSAN-OP,1, 
b2bbed613dcdbc1477ce5d97dd7b9a38,201810,PTCL/Pakistan Incoming II,1,163,6,R-NW,NW-MEE-NODE,C300M,1888775,MSAN-OG,1, 
cef84770b5a3e8218ff661fbb0fc235e,201810,KT/Korea Incoming II,1,159,6,R-GQ,GE-NODE,MSAG5200-ISL,557798,MSAN-IG,1, 
c3db6a32b42743fc2e0284f8e6c7515e,201810,DU/UAE Incoming II,3,175,6,R-AG,AG-PNP-NODE,ZXDSL9806H-ISL,52976,MSAN-OP,1, 
c3db6a32b42743fc2e0284f8e6c7515e,201810,PTCL/Pakistan Incoming II,1,169,6,R-AG,AG-PNP-NODE,ZXDSL9806H-ISL,52976,MSAN-OP,1, 
