account_num.hash,event_source.hash,ym,outgoing_country,call_count,volume,usage_rev,RTOM_CODE,LOCATION_CODE,MSAN,EQUP_ID, 
d1b1ce407cee4a075724b02deb2c6012,b1e1f92a2d017ea8f0b457533636ed33,202001,Canada,2,460,37567,R-NTB,PC-AGT-NODE,MSAG5200-ISL,48003, 
d1b1ce407cee4a075724b02deb2c6012,b1e1f92a2d017ea8f0b457533636ed33,202002,Canada,2,740,60434,R-NTB,PC-AGT-NODE,MSAG5200-ISL,48003, 
b97011606ee589c22d8ca82b68262933,d4eec8e7da1cdd41ad17797dee3b26da,202001,Australia - Mobile,1,12,3600,R-NTB,PC-AGT-NODE,MSAG5200-ISL,48003, 
b973768e8e526a2d71e94fdd1f3d6344,92691c288626b57a2d5e9bb3b03b143e,201911,Oman-Mobile ,1,156,85800,R-NTB,PC-AGT-NODE,MSAG5200-ISL,48003, 
977e4ee9367aa91169cbd8def5d603d5,1cfa0cd56534abc01792cc73fbc771de,202001,Canada,3,538,43937,R-NTB,PC-AGT-NODE,MSAG5200-ISL,48003, 
87f0f2a0c4ed2d05ce5279799a6fd79d,61d67d49f1e8747af7fbbd1232e97eef,202004,Canada,1,274,22377,R-NTB,PC-AGT-NODE,MSAG5200-ISL,48003, 
c62f122cf5ddf89f3a8a98da9828d332,e151cb14a07999a8cee1bd15d2545cd8,202003,Korea Republic Of - Mobile,2,176,64534,R-KT,MGE-NODE,MSAG5200,42838, 
0ab1d3f6a699bab522f95be45fb5784e,54608c7d53ad49deb29008a2ce0ee791,202004,U.S.A,1,94,7677,R-KE,KE-NRP-NODE,ZXDSL9806H-ISL,49573, 
0ab1d3f6a699bab522f95be45fb5784e,54608c7d53ad49deb29008a2ce0ee791,202006,U.S.A,1,1824,148960,R-KE,KE-NRP-NODE,ZXDSL9806H-ISL,49573, 
0ab1d3f6a699bab522f95be45fb5784e,54608c7d53ad49deb29008a2ce0ee791,202003,U.S.A,1,26,2123,R-KE,KE-NRP-NODE,ZXDSL9806H-ISL,49573, 
0866e1a199b053b6762e99c9f7cacd6b,3a2e20f170cecbe0719bfaaa471dfa83,201909,Maldive Islands,1,11,16133,R-KE,KE-NRP-NODE,ZXDSL9806H-ISL,49573, 
da7c4cd8b92743dabc2d9d14c83b22c8,a50e1b44c2ef939de35d9979a6aba1b8,201912,India,3,359,23335,R-KLY,HZ-BRL-NODE,MSAG5200-ISL,47191, 
0759d0f0ba98657257d82fe0103c220f,c5a7b38096f4547e23fba9a4ec2059cd,201909,U.S.A,1,454,37077,R-KLY,HZ-BRL-NODE,MSAG5200-ISL,47191, 
