,Package
0,Basic1 TeleLife
1,Plus4 TeleLife
2,Plus1 TeleLife
3,Telehealth
4,SLT Voice Service
5,BB PeoTVGO
6,AB WireLess Access
7,BB SLT BroadBand Service
8,Sisu Connect
9,BB Personal Storage
10,Basic2 TeleLife
11,Basic4 TeleLife
12,BB Detailed Reports 
13,SLT PeoTV Service
14,AB Fiber Access Bearer
15,BB Entertainment Unlimited
16,BB SLT Film Hall Service
17,AB Copper Access Bearer
18,E channeling Registration
19,E channeling Subscription
20,OTT SLT PeoTV Go
21,Package Rental Through ADSL
22,Call Waiting
23,Call back on busy
24,TSTV
25,Incoming Call Transfer
26,IDD
27,PeoTV Initiation
28,DQ Contact Details
29,Call Transfer Three way
30,Call Forwarding
31,Video on Demand
32,Call park
33,Call Forwarding by time
34,SLT CLI
35,Call Forwarding No Answer
36,Call Forwarding On Busy
37,Call Forwarding Immediate
38,Anonymous call barring
39,AB Citylink Loyalty Rewards
40,Abbreviated Dialing
41,Double VAS Bundle
42,Call Forwarding Offline
43,AB Megaline
44,CLI presentation in call waiting
45,Outgoing Call Memory
46,Incoming Call Memory
47,AB Relocation
48,AB Megaline Startup
49,Absentee service
50,Call holding
51,Call Forwarding  On Busy
52,Call Forwarding  No Answer
53,PeoTPackage Transfer
54,Single VAS Bundle
55,AB Additional Distance
56,M Activation Charge
57,Cordeless Phone  Installment
58,Caller Line Identification
59,Hotline Time Delayed
60,Hotline Immediate
61,Short Message Service
62,Hotline Service
63,AB Service Vacation
64,Detailed Bill
65,Railway Registration
66,AB Rental Free
67,Call Forwarding  Immediate
68,PEO TV GO OTT A la carte channels
69,Megaline New Connection
70,Megaline
71,Additional features Double VAS Bundle
72,One Time Detailed Bill
73,Installment
74,PeoTVGo Channel Package
75,AB Referral offer Discount
76,BB PeoTVGO Revenue code
77,Basic Phone Installment
78,Call Barring  Outgoing
79,Complete call on no response
80,BB Report Subscription Charge
81,Referral offer Discount
82,Selective call rejection
83,Selective call waiting
84,Selective call acceptance
85,Secretary service
86,Password call barring (secret code)
87,Call forwarding selective
88,Caller name identificationPresentation
89,Do not disturb service
90,Triple VAS Bundle
91,Caller name sending
92,Basic Phone
93,Voice Startup Fee
94,Miscellaneous Service
95,Call Barring
96,Removal of Int & Parallel Ext
97,BB YouTube Bundle
98,AB Parallel line Installation
99,Meet Lite
100,Meet Max
101,Edu Lite
102,BB Messenger Bundle
103,
