Package,Rental,One_Time_Charge,Package_Type,Product_Type,MEDIUM,TARIFF_NAME,TARIFF_DESC,is_VAS,FREE_or_PAID
Basic4 TeleLife,150,,Other,,,,,YES,PAID
Basic2 TeleLife,90,,Other,,,,,YES,PAID
Plus4 TeleLife,250,,Voice,Megaline,MC,Plus 4 Monthly premium,Plus 4 Monthly premium,YES,PAID
E channeling Subscription,,,Voice,Megaline,C,V_E-Channeling Reservation,V_E-Channeling Reservation,YES,PAID
Detailed Bill,,,Voice,,,,,YES,PAID
Megaline New Connection,,,Other,Megaline,,,,NO,PAID
Additional features Double VAS Bundle,,,Other,,,,,YES,PAID
BB SLT Film Hall Service,,,BB,Megaline,MC,BB SLT Film Hall Subscription_Charge,BB SLT Film Hall Subscription_Charge,YES,PAID
Cordeless Phone  Installment,,,Voice,,,,,YES,PAID
Call Forwarding  No Answer,,,Voice,,,,,NO,FREE
Call Forwarding  On Busy,,,Voice,,,,,NO,FREE
AB Additional Distance,,,Other,,,,,YES,PAID
Short Message Service,,,Voice,,,,,NO,FREE
Basic Phone,,,Voice,,,,,YES,FREE
Voice Startup Fee,,,Voice,,,,,NO,PAID
Miscellaneous Service,,,Voice,,,,,YES,PAID
Plus1 TeleLife,100,,Voice,Megaline,C,Plus 1 Monthly premium,Plus 1 Monthly premium,YES,PAID
Sisu Connect,,,Voice,Megaline,MC,Charge,Charge,YES,PAID
AB Referral offer Discount,,,Other,,,,,YES,PAID
Referral offer Discount,,,PeoTV,,,,,YES,PAID
AB Relocation,,,Other,,,,,NO,PAID
Double VAS Bundle,,,Voice,,,,,NO,FREE
AB Citylink Loyalty Rewards,,,Other,,,,,YES,PAID
OTT SLT PeoTV Go,,,PeoTV,Megaline,C,Peo TV GO ,Peo TV GO ,YES,PAID
E channeling Registration,,,Voice,Megaline,C,V_E-Channeling Registration,V_E-Channeling Registration,YES,PAID
M Activation Charge,,,Other,,,,,YES,PAID
AB Megaline Startup,,,Other,Megaline,,,,NO,PAID
Call Forwarding  Immediate,,,Voice,,,,,NO,FREE
AB Rental Free,,,Other,,,,,YES,PAID
Telehealth,100,,Voice,Megaline,C,Megaline-Pri+Spous_Silver,MegaLine- Subscriber+Spouse_Silver,YES,PAID
Call Barring,,,Voice,,,,,NO,FREE
Call Barring  Outgoing,,,Voice,,,,,NO,FREE
