,ACCOUNT_NUM.hash,Rental,BB_Package,GB_AMOUNT,Month_Subscribed,Hour_Subscribed
0,495df5121088ee1c479289e9ea749d09,100,WEB FAMILY PLUS,1,2021-06,01
1,495df5121088ee1c479289e9ea749d09,100,WEB FAMILY PLUS,1,2021-06,19
2,495df5121088ee1c479289e9ea749d09,100,WEB FAMILY PLUS,1,2021-06,19
3,495df5121088ee1c479289e9ea749d09,100,WEB FAMILY PLUS,1,2021-06,23
4,495df5121088ee1c479289e9ea749d09,425,WEB FAMILY PLUS,5,2021-06,10
5,495df5121088ee1c479289e9ea749d09,100,WEB FAMILY PLUS,1,2021-06,16
6,495df5121088ee1c479289e9ea749d09,100,WEB FAMILY PLUS,1,2021-06,13
7,495df5121088ee1c479289e9ea749d09,100,WEB FAMILY PLUS,1,2021-06,16
8,495df5121088ee1c479289e9ea749d09,100,WEB FAMILY PLUS,1,2021-06,10
9,495df5121088ee1c479289e9ea749d09,100,WEB FAMILY PLUS,1,2021-06,13
10,495df5121088ee1c479289e9ea749d09,100,WEB FAMILY PLUS,1,2021-06,16
11,949e14e85d36002ffb954d42d3366936,100,WEB LITE,1,2021-03,19
12,949e14e85d36002ffb954d42d3366936,425,FTTH_WEB FAMILY PLUS,5,2021-03,19
13,949e14e85d36002ffb954d42d3366936,425,WEB FAMILY PLUS,5,2021-03,22
14,949e14e85d36002ffb954d42d3366936,100,WEB FAMILY PLUS,1,2021-03,22
15,949e14e85d36002ffb954d42d3366936,100,WEB PAL,1,2021-03,10
16,949e14e85d36002ffb954d42d3366936,425,WEB PAL,5,2021-03,17
17,949e14e85d36002ffb954d42d3366936,100,WEB LITE,1,2021-03,19
18,949e14e85d36002ffb954d42d3366936,200,STUDENT PACKAGE 1,2,2021-03,19
19,949e14e85d36002ffb954d42d3366936,425,FTTH_WEB FAMILY PLUS,5,2021-03,01
20,949e14e85d36002ffb954d42d3366936,100,WEB FAMILY PLUS,1,2021-03,01
21,949e14e85d36002ffb954d42d3366936,100,WEB PAL,1,2021-03,10
22,949e14e85d36002ffb954d42d3366936,425,FTTH_WEB FAMILY PLUS,5,2021-03,13
23,949e14e85d36002ffb954d42d3366936,100,WEB LITE,1,2021-03,16
24,949e14e85d36002ffb954d42d3366936,100,WEB FAMILY PLUS,1,2021-03,19
25,949e14e85d36002ffb954d42d3366936,850,WEB FAMILY PLUS,10,2021-03,19
26,949e14e85d36002ffb954d42d3366936,200,FTTH_WEB FAMILY PLUS,2,2021-03,01
27,949e14e85d36002ffb954d42d3366936,100,STUDENT PACKAGE 1,1,2021-03,01
28,949e14e85d36002ffb954d42d3366936,100,WEB FAMILY PLUS,1,2021-03,17
29,949e14e85d36002ffb954d42d3366936,100,STUDENT PACKAGE 1,1,2021-03,17
30,949e14e85d36002ffb954d42d3366936,425,FTTH_WEB FAMILY PLUS,5,2021-03,18
31,949e14e85d36002ffb954d42d3366936,200,WEB FAMILY PLUS,2,2021-03,18
32,949e14e85d36002ffb954d42d3366936,100,WEB LITE,1,2021-03,19
33,949e14e85d36002ffb954d42d3366936,200,WEB PAL,2,2021-03,19
34,949e14e85d36002ffb954d42d3366936,100,WEB FAMILY PLUS,1,2021-03,22
35,949e14e85d36002ffb954d42d3366936,200,FTTH_WEB FAMILY PLUS,2,2021-04,01
36,949e14e85d36002ffb954d42d3366936,425,WEB LITE,5,2021-04,02
37,949e14e85d36002ffb954d42d3366936,425,WEB LITE,5,2021-04,01
38,949e14e85d36002ffb954d42d3366936,200,STUDENT PACKAGE 1,2,2021-04,13
39,949e14e85d36002ffb954d42d3366936,1500,FTTH_WEB FAMILY PLUS,20,2021-04,16
40,949e14e85d36002ffb954d42d3366936,200,STUDENT PACKAGE 1,2,2021-04,10
41,949e14e85d36002ffb954d42d3366936,425,WEB LITE,5,2021-04,13
42,949e14e85d36002ffb954d42d3366936,200,STUDENT PACKAGE 1,2,2021-04,14
43,949e14e85d36002ffb954d42d3366936,850,FTTH_WEB FAMILY PLUS,10,2021-04,22
44,949e14e85d36002ffb954d42d3366936,425,WEB PAL,5,2021-04,01
45,949e14e85d36002ffb954d42d3366936,200,STUDENT PACKAGE 1,2,2021-04,16
46,949e14e85d36002ffb954d42d3366936,300,WEB LITE,3,2021-04,22
47,949e14e85d36002ffb954d42d3366936,1500,FTTH_WEB FAMILY PLUS,20,2021-04,20
48,949e14e85d36002ffb954d42d3366936,850,FTTH_WEB FAMILY PLUS,10,2021-04,22
49,949e14e85d36002ffb954d42d3366936,425,WEB PAL,5,2021-04,23
50,949e14e85d36002ffb954d42d3366936,765,WEB PAL,9,2021-04,22
51,949e14e85d36002ffb954d42d3366936,100,STUDENT PACKAGE 1,1,2021-04,10
52,949e14e85d36002ffb954d42d3366936,300,WEB LITE,3,2021-04,10
53,949e14e85d36002ffb954d42d3366936,200,WEB PAL,2,2021-04,13
54,949e14e85d36002ffb954d42d3366936,200,WEB FAMILY PLUS,2,2021-04,19
55,949e14e85d36002ffb954d42d3366936,200,WEB LITE,2,2021-04,17
56,949e14e85d36002ffb954d42d3366936,100,WEB FAMILY PLUS,1,2021-04,22
57,949e14e85d36002ffb954d42d3366936,200,STUDENT PACKAGE 1,2,2021-04,10
58,949e14e85d36002ffb954d42d3366936,425,WEB PAL,5,2021-04,16
59,949e14e85d36002ffb954d42d3366936,425,WEB STARTER,5,2021-04,17
60,949e14e85d36002ffb954d42d3366936,100,WEB FAMILY PLUS,1,2021-04,18
61,949e14e85d36002ffb954d42d3366936,300,WEB LITE,3,2021-04,19
62,949e14e85d36002ffb954d42d3366936,100,STUDENT PACKAGE 1,1,2021-04,22
63,949e14e85d36002ffb954d42d3366936,850,WEB LITE,10,2021-04,10
64,949e14e85d36002ffb954d42d3366936,850,FTTH_WEB FAMILY PLUS,10,2021-04,13
65,949e14e85d36002ffb954d42d3366936,425,WEB FAMILY PLUS,5,2021-04,16
66,949e14e85d36002ffb954d42d3366936,425,FTTH_WEB FAMILY PLUS,5,2021-04,22
67,949e14e85d36002ffb954d42d3366936,425,WEB FAMILY PLUS,5,2021-04,17
68,949e14e85d36002ffb954d42d3366936,200,WEB PAL,2,2021-04,17
69,949e14e85d36002ffb954d42d3366936,200,WEB LITE,2,2021-04,17
70,949e14e85d36002ffb954d42d3366936,425,FTTH_WEB FAMILY PLUS,5,2021-04,20
71,949e14e85d36002ffb954d42d3366936,100,WEB LITE,1,2021-04,22
72,949e14e85d36002ffb954d42d3366936,300,FTTH_WEB FAMILY PLUS,3,2021-04,01
73,949e14e85d36002ffb954d42d3366936,425,FTTH_WEB FAMILY PLUS,5,2021-04,04
74,949e14e85d36002ffb954d42d3366936,100,WEB FAMILY PLUS,1,2021-04,13
75,949e14e85d36002ffb954d42d3366936,425,FTTH_WEB FAMILY PLUS,5,2021-04,14
76,949e14e85d36002ffb954d42d3366936,100,WEB LITE,1,2021-04,19
77,949e14e85d36002ffb954d42d3366936,425,WEB PAL,5,2021-04,19
78,a1ce57e71f14d64d7f102472e78d8573,100,WEB STARTER,1,2021-07,01
79,e641c97201b0cf58e279c6d3bd19edd7,200,WEB STARTER,2,2021-05,01
80,a1ce57e71f14d64d7f102472e78d8573,200,WEB STARTER,2,2021-07,01
81,e641c97201b0cf58e279c6d3bd19edd7,100,WEB STARTER,1,2021-05,19
82,a1ce57e71f14d64d7f102472e78d8573,100,WEB STARTER,1,2021-07,10
83,e641c97201b0cf58e279c6d3bd19edd7,100,WEB STARTER,1,2021-05,10
84,a1ce57e71f14d64d7f102472e78d8573,100,WEB STARTER,1,2021-07,22
85,e641c97201b0cf58e279c6d3bd19edd7,100,WEB STARTER,1,2021-05,22
86,a1ce57e71f14d64d7f102472e78d8573,100,WEB STARTER,1,2021-07,13
87,e641c97201b0cf58e279c6d3bd19edd7,100,WEB STARTER,1,2021-05,01
88,a1ce57e71f14d64d7f102472e78d8573,100,WEB STARTER,1,2021-07,01
89,e641c97201b0cf58e279c6d3bd19edd7,100,WEB STARTER,1,2021-05,01
90,a1ce57e71f14d64d7f102472e78d8573,100,WEB STARTER,1,2021-07,16
91,e641c97201b0cf58e279c6d3bd19edd7,200,WEB STARTER,2,2021-06,14
92,a1ce57e71f14d64d7f102472e78d8573,200,WEB STARTER,2,2021-07,22
93,e641c97201b0cf58e279c6d3bd19edd7,100,WEB STARTER,1,2021-06,10
94,a1ce57e71f14d64d7f102472e78d8573,100,WEB STARTER,1,2021-07,01
95,e641c97201b0cf58e279c6d3bd19edd7,100,WEB STARTER,1,2021-06,16
96,a1ce57e71f14d64d7f102472e78d8573,100,WEB STARTER,1,2021-07,22
97,e641c97201b0cf58e279c6d3bd19edd7,200,WEB STARTER,2,2021-07,08
98,a1ce57e71f14d64d7f102472e78d8573,200,WEB STARTER,2,2021-07,19
99,e641c97201b0cf58e279c6d3bd19edd7,200,WEB STARTER,2,2021-07,17
100,a1ce57e71f14d64d7f102472e78d8573,100,WEB STARTER,1,2021-07,14
101,e641c97201b0cf58e279c6d3bd19edd7,200,WEB STARTER,2,2021-07,16
102,a1ce57e71f14d64d7f102472e78d8573,100,WEB STARTER,1,2021-07,01
103,e641c97201b0cf58e279c6d3bd19edd7,200,WEB STARTER,2,2021-07,14
104,a1ce57e71f14d64d7f102472e78d8573,100,WEB STARTER,1,2021-07,01
105,e641c97201b0cf58e279c6d3bd19edd7,100,WEB STARTER,1,2021-07,01
106,a4ace850f2dd3b34c4f16ae6174a5603,2250,FTTH_WEB BOOSTER,30,2021-02,23
107,e641c97201b0cf58e279c6d3bd19edd7,100,WEB STARTER,1,2021-07,16
108,a4ace850f2dd3b34c4f16ae6174a5603,680,FTTH_WEB BOOSTER,8,2021-02,22
109,e641c97201b0cf58e279c6d3bd19edd7,100,WEB STARTER,1,2021-07,01
110,a4ace850f2dd3b34c4f16ae6174a5603,300,FTTH_WEB BOOSTER,3,2021-02,22
111,e641c97201b0cf58e279c6d3bd19edd7,100,WEB STARTER,1,2021-07,16
112,a4ace850f2dd3b34c4f16ae6174a5603,2250,FTTH_WEB BOOSTER,30,2021-03,17
113,e641c97201b0cf58e279c6d3bd19edd7,100,WEB STARTER,1,2021-07,01
114,a4ace850f2dd3b34c4f16ae6174a5603,850,FTTH_WEB BOOSTER,10,2021-03,19
