,PSTN.hash,Location_Identifier
1038,603cefb461111f70653b606298757799,MSAG5200PH-AKG-NODE431631
3104,0ac56d0bbc79038c4ad883305638512f,MSAG5200-ISLMV-GDM-NODE482491
3131,03c567a2c97746f2545c0f9b8285827c,MSAG5200-ISLTBT-TLJ-NODE487241
3505,f6ec80f8701edf2f87c851996aa07ef1,MSAG5200BG-NODE431391
3655,923b8b0fdb0af84e50f1ba089c78c38d,MSAG5200PH-AKG-NODE431631
4339,80395efe449ad977905063e83f4b72ec,C300MNW-MEE-NODE18887751
4354,c8ff8a3d02803f306b91acff10286f09,MSAG5200-ISLMLT-VMD-NODE4145091
4460,a6f23c444fa5f70af818183504bb7951,MSAG5200-ISLMT-AVR-NODE467161
4754,2eb5aeccf29e5317936332e6787c605f,MSAG5200PH-AKG-NODE431631
5978,0b5077d6a22093a5e6901515080b83cd,C300MNW-MEE-NODE18887751
5994,6fdb23af8340b1099be4094303766b11,MSAG5200-ISLIDH-KGW-NODE6194491
6669,c0ce2b0254974d701f915306326fa7ea,ZXDSL9806H-ISLKE-NRP-NODE495731
6697,7cd8a12de8be31fb4d0d520e4727b960,C300MHE-DMD-NODE15221561
6984,a9a28bd43c0fc9d6c4b18fb568a708c8,MSAG5200-ISLMT-AVR-NODE467161
7595,ffd697d66cc01c8897ce3e37d693673a,C300MTP-NODE8700911
7738,3f4df7086f4a8b9264fa1455e385d443,MSAG5200PH-AKG-NODE431631
7897,5aa899bf785247fd5e97694c53e95742,MSAG5200-ISLND-PHG-NODE500241
7955,d50b41a92f59fcf24f2c0823b48ee61b,UA5000(IPMB)SL-NODE385341
7977,2ad712844f7a8ff26230d931cad41c53,C300MNW-MEE-NODE18887751
7981,90d6a7a431f7b1aacc0a732dadff630e,UA5000(IPMB)SL-NODE385341
7993,8275004266963069f3093a21fbd3ab7e,UA5000(IPMB)SL-NODE385341
8004,28d6c0cc29005732508384346991cc1d,MSAG5200-ISLPC-AGT-NODE480031
8018,3254e5aa4891df7f48c39a7edcda4ceb,MSAG5200-ISLND-PHG-NODE500241
8209,709d2f2bbdf401b856fdf41d179ade81,MSAG5200-ISLMV-GDM-NODE482491
8219,11ad8d4dfc9e6282f17f66d0ab103d73,MSAG5200-ISLBZ-NODE435881
8350,6edcc0ba8849df26e352550f29dd01de,MSAG5200-ISLND-PHG-NODE500241
8356,8820a949299d6801eb4def58bc6c4a56,MSAG5200-ISLND-PHG-NODE500241
8357,978126039a4e6094081a17d4bdbf51b5,MSAG5200PH-AKG-NODE431631
8863,db94029a37ef2b9d4d00092f3e7bb9a1,C300MNW-MEE-NODE18887751
8885,6e4e7542ac33aa5b2f8c113a47078d83,UA5000(IPMB)SL-NODE385341
9049,ccbc30597bf7bba9b1ae0c290b676839,MSAG5200-ISLVA-NKM-NODE481961
