,201908,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,Usage_Rating_Scaled,Usage_Rating_Categorical
year-month,,,,,,,,,,,,,,
PSTN.hash,,,,,,,,,,,,,,
00567a4a3c474aca1ce5cd6570648932,1.0,0.375,0.25,0.375,0.75,0.75,0.75,0.75,0.75,0.5625,0.75,0.375,0.6197916666666666,MEDIUM
00724ae2470df1ed0fe919800d02517d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.03125,LOW
00a8c3e3baed0557c31ab9b68a086ed2,0.16666666666666666,0.25,0.125,0.125,0.375,0.125,0.1875,0.125,0.125,0.25,0.125,0.125,0.1753472222222222,LOW
00cc5a820586ce291c0fa4c2a99a4816,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0,0.125,0.125,0.125,0.375,0.07291666666666667,LOW
00d1f690ec4af27702febbd0db6942c2,0.16666666666666666,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.1284722222222222,LOW
00d258d092429ff11d3e3f533f098177,0.16666666666666666,0.25,0.125,0.125,0.1875,0.125,0.125,0.0,0.0625,0.125,0.125,0.125,0.1284722222222222,LOW
0114c953f918a091d5b1456b610ae529,0.25,0.25,0.25,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.375,MEDIUM
011adeeaef79aeac706a2e7fc225e8f8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.5,0.5,0.5,0.14583333333333334,LOW
013736757d2ddad83cdfaa418921605c,0.75,1.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15104166666666666,LOW
013a894927cf011c702e75a9b9336f95,0.08333333333333333,0.0625,0.0625,0.0625,0.0625,0.0625,0.125,0.1875,0.125,0.125,0.1875,0.125,0.10590277777777778,LOW
01acfb3e4e446a8d612c584398d56859,0.16666666666666666,0.1875,0.125,0.125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.125,0.0625,0.09722222222222221,LOW
01cdd813d9a8bea5d70455a917c91e63,0.08333333333333333,0.125,0.25,0.25,0.125,0.25,0.25,0.25,0.375,0.375,0.25,0.25,0.23611111111111108,LOW
0201ee9b60de662cdd16c885f178feea,0.0,0.0,0.0,0.0625,0.375,0.125,0.25,0.25,0.1875,0.375,0.375,0.375,0.19791666666666666,LOW
0217107a96feeb21fe9977c1ffc5d9c9,0.25,0.5625,0.5625,0.5,0.5,0.375,0.75,0.5625,1.0,0.75,1.0,0.5625,0.6145833333333334,MEDIUM
027e6eb407d981fd043cbc08c3cdee8d,0.08333333333333333,0.125,0.125,0.125,0.0625,0.125,0.25,0.375,0.25,0.25,0.25,0.25,0.18923611111111108,LOW
029c7817843470cd12b4b673d95ef6e3,0.16666666666666666,0.125,0.375,0.75,1.0,0.5,0.75,0.75,0.5,0.25,0.25,0.25,0.47222222222222215,MEDIUM
02ab436dc7b5a63579a44641db682ab1,1.0,0.75,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.75,1.0,0.875,HIGH
03202488d4fb7ca83e0b49378f1ffaca,0.25,0.75,0.5625,0.75,1.0,0.5625,0.75,0.1875,0.75,0.75,0.75,0.75,0.6510416666666666,MEDIUM
036bac54b36f271527bdee5364153287,0.3333333333333333,0.25,0.25,0.375,0.375,0.0,0.0,0.0,0.0625,0.25,0.25,0.25,0.19965277777777776,LOW
03b5d13a7949d99e793afdfe07dd73cb,0.25,0.125,0.125,0.125,0.375,0.375,0.5,0.5,0.5,0.25,0.375,0.375,0.3229166666666667,LOW
03c567a2c97746f2545c0f9b8285827c,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006944444444444444,LOW
03d189e698bac53767b82645f582d574,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.75,1.0,0.75,1.0,0.9166666666666666,HIGH
040a46cf1c79e9719a4c8825d987862c,0.16666666666666666,0.125,0.125,0.125,0.1875,0.1875,0.375,0.375,0.375,0.25,0.375,0.375,0.2534722222222222,LOW
045122103640fc1c55efba4add913dcc,0.16666666666666666,0.125,0.125,0.25,0.25,0.25,0.375,0.25,0.125,0.125,0.125,0.125,0.1909722222222222,LOW
05401b227d4dd007a258cd9fdad008f2,0.75,0.75,0.75,1.0,0.75,1.0,1.0,1.0,1.0,0.5625,0.75,0.75,0.8385416666666666,HIGH
0541411ea78d692ada524e8734da6bb2,0.16666666666666666,0.125,0.125,0.125,0.125,0.125,0.1875,0.1875,0.125,0.125,0.125,0.125,0.13888888888888887,LOW
057ba07c85b6597b1394da8c15b98008,0.75,0.5,0.75,0.75,0.75,0.375,0.5,0.5,0.75,0.75,0.75,0.75,0.65625,MEDIUM
05ecf6000169d49d54a964d3cca35459,0.0,0.0,0.0,0.0,0.25,0.125,0.125,0.25,0.25,0.25,0.125,0.0625,0.11979166666666667,LOW
0682ffd5c8d3e62febf752b6cdbced3a,0.16666666666666666,0.125,0.1875,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.1875,0.125,0.13888888888888887,LOW
07129df5cf3e9f12818b0a80e9e6a1a8,0.75,0.5,0.375,0.5,1.0,1.0,1.0,0.75,0.75,0.5,0.75,1.0,0.7395833333333334,HIGH
0720ca296bbcf06064fb86ec563e848b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,HIGH
075db088e8a1c7d7aadc80274e509fc3,1.0,1.0,1.0,1.0,1.0,0.5625,1.0,1.0,0.75,1.0,1.0,0.75,0.921875,HIGH
07a45a5c0b544c8f79f659c2c00c4c26,0.16666666666666666,0.125,0.125,0.25,0.5625,0.375,0.75,0.375,0.375,0.0625,0.5625,0.375,0.34201388888888884,MEDIUM
0830b0d26125501e1b26bc07edaa816f,0.0,0.0,0.0,0.0,0.0625,1.0,0.5625,0.75,0.75,1.0,1.0,1.0,0.5104166666666666,MEDIUM
084c095166a65cb4b96bb72ecc802dd0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0625,0.25,0.25,0.25,0.25,0.234375,LOW
084f71839bc9517b76f39a8c06d99906,0.75,0.75,1.0,0.75,0.75,0.5,0.5625,0.5625,0.75,0.75,0.75,0.25,0.6770833333333334,HIGH
08e92f5bbac0b92cc4313847f9761f57,0.08333333333333333,0.125,0.125,0.125,0.1875,0.1875,0.1875,0.0625,0.0,0.0625,0.0625,0.0625,0.10590277777777778,LOW
09c78989d21febb16d71f52534dbedcd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.75,0.06770833333333333,LOW
09f8b3fd9047f40becb93d4c3caf3d3d,0.6666666666666666,0.5,0.25,0.0625,0.1875,0.25,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.18576388888888887,LOW
0a026709c5dde9e3b6a8d58d2dcd257c,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.22916666666666666,LOW
0ac56d0bbc79038c4ad883305638512f,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006944444444444444,LOW
0acbbe47aa1a432909e43ebf831ea209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.005208333333333333,LOW
0ad1096ea64a642b250ce05469b7149a,0.75,0.5,0.5,0.75,0.75,0.5625,0.75,0.75,0.75,0.75,0.75,0.75,0.6927083333333334,HIGH
0b5077d6a22093a5e6901515080b83cd,0.16666666666666666,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024305555555555552,LOW
0b88bd39b990e13bf22e93fc11edaf20,0.0,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.3541666666666667,MEDIUM
0b9c67d21fa2883687695482de31d631,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.9791666666666666,HIGH
0bbd7730f751b9c26a618e887add0530,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.9166666666666666,HIGH
0bcb086dcea0fca1574717d73a3786fd,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.0,0.015625,LOW
0bd313cd37f37a651cc0bda8feadc630,0.16666666666666666,0.25,0.125,0.25,0.25,0.25,0.375,0.75,0.75,0.75,0.75,0.75,0.45138888888888884,MEDIUM
0c5b02a4bef7e62a06b3e597b30bfb02,0.5,0.375,0.1875,0.375,0.5625,0.375,0.5625,0.5625,0.5625,0.375,0.5625,0.5625,0.4635416666666667,MEDIUM
0ce481abdb260e479b25f68eeed7cc62,0.5,1.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,1.0,1.0,1.0,0.9166666666666666,HIGH
0ce8f1bceb8c11433badd5a6047e224a,0.5,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.7916666666666666,HIGH
0cff0b18c28ab6c37c132155b1b40dc2,0.16666666666666666,0.25,0.375,0.25,0.375,0.25,0.375,1.0,0.5,0.375,0.5,0.375,0.3993055555555555,MEDIUM
0d1747a319945cfa3e2580fea1355e0a,0.08333333333333333,0.25,0.375,0.125,0.125,0.25,0.0625,0.0625,0.125,0.25,0.25,0.25,0.18402777777777776,LOW
0e4d0edba56dc555531dcbff8936c4cb,0.08333333333333333,0.375,0.125,0.125,0.125,0.125,0.1875,0.125,0.1875,0.1875,0.1875,0.25,0.17361111111111108,LOW
0e57a4cdcbafc5fa6aed140e85bd47f0,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0,0.875,HIGH
0e7d786a4c50702484cf004a0d1b68a2,0.16666666666666666,0.375,0.25,0.25,0.25,0.375,0.375,0.25,0.25,0.375,0.375,0.375,0.3055555555555555,LOW
0e93cbe9089aff59783f78f649d6f303,1.0,0.75,0.75,0.75,0.5625,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.7760416666666666,HIGH
0f0bd14483fbde9f298973537d293de9,0.25,1.0,0.75,0.5,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,HIGH
0f0dc20d9945732a5678466107b5e854,0.75,0.375,0.75,0.5,0.5,0.5625,0.75,0.75,0.5625,0.375,0.75,0.5625,0.5989583333333334,MEDIUM
0f6c6d928a311afc8b5cfab0367e3553,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.03125,LOW
0f6d17f47bfcdc0ea42910353f21c0d4,0.25,0.125,0.125,0.375,0.125,0.125,0.5,0.5,0.375,0.375,0.375,0.375,0.3020833333333333,LOW
0f7c0733b6955c6248bf23a8c46ad04f,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,1.0,1.0,1.0,1.0,0.9375,HIGH
104dced91aa603c85945df73e2178d36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0625,LOW
106cb919ef0cbbfc66c0edd41aac60a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.125,0.1875,0.125,0.041666666666666664,LOW
10b261d7637ff74d8bed5b43fa82dde7,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.125,0.0625,0.0,0.0,0.036458333333333336,LOW
10bf144b726ff91b1b478de3f26082fe,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.25,0.25,0.5,0.75,0.5,0.5,MEDIUM
10da2dcdd9d0915d0152d2f3b5ad46c7,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.125,0.0625,0.0625,0.125,0.0625,0.0,0.04340277777777777,LOW
10db33c210e825b1efda73b48c77cb2f,0.5,0.375,0.375,0.375,0.75,0.5,0.375,0.5625,0.5625,0.375,0.375,0.5625,0.4739583333333333,MEDIUM
1130f365a3683da739058139f369ccc5,0.75,0.75,0.75,0.75,0.75,0.5625,0.75,1.0,0.75,1.0,1.0,0.75,0.796875,HIGH
11ad8d4dfc9e6282f17f66d0ab103d73,0.08333333333333333,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022569444444444444,LOW
11b66a5b2fc9fec3449910ac1413c556,1.0,0.75,0.75,0.75,1.0,0.75,1.0,1.0,1.0,0.75,1.0,0.75,0.875,HIGH
11fb26bf19f1c36e6dfc67e74fd44ab1,0.5,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.75,0.9166666666666666,HIGH
121a6f05e28800e6b08ba896b9d72425,0.25,0.125,0.1875,0.125,0.125,0.125,0.375,0.1875,0.1875,0.1875,0.125,0.375,0.19791666666666666,LOW
123c53f04f9de064cf7aa4f7ff239dfc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.010416666666666666,LOW
1240eb65a2228121464d9322aa810125,0.0,0.0,0.0,0.0,0.0,0.5,0.125,0.0625,0.125,0.125,0.125,0.125,0.09895833333333333,LOW
125910b44b113b40510f9ac50491b20d,0.5,0.375,0.0625,0.125,0.375,0.5625,0.375,0.5,0.25,0.0625,0.125,0.125,0.2864583333333333,LOW
128f1fddf621dba21dbe814395eb2d20,0.25,0.25,0.25,0.1875,0.75,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.328125,LOW
12b06cf7bb085eb51bda3bcd2c6951c3,0.08333333333333333,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.25,0.0625,0.0625,0.0625,0.0625,0.0798611111111111,LOW
12c427279dd3a777ee2c56fa37f68d62,0.75,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.75,0.5625,0.5625,0.5625,0.375,0.578125,MEDIUM
132576053423f9f8bd9aeacfd4436930,0.08333333333333333,0.0625,0.125,0.375,0.375,0.25,0.375,0.5625,0.25,0.25,0.5625,0.375,0.3038194444444444,LOW
133189b4fa62edf1a91c5be4cd36584d,0.0,0.0,0.0,0.0,0.125,0.375,0.5625,0.5625,0.375,0.75,1.0,1.0,0.3958333333333333,MEDIUM
13546fbe549febaf1a06c251a81a61f4,0.16666666666666666,0.75,0.75,0.75,0.75,0.75,1.0,0.5,0.75,0.75,1.0,1.0,0.7430555555555555,HIGH
13ec2e031db3e5b096eb04255f1019b2,0.0,0.0,0.125,0.1875,0.1875,0.1875,0.1875,0.375,0.1875,0.125,0.1875,0.375,0.17708333333333334,LOW
1434127732e0eeb6c0908e866686677a,0.3333333333333333,0.375,0.375,0.375,0.375,0.375,0.75,0.75,0.75,0.5625,1.0,0.5625,0.548611111111111,MEDIUM
1442247ba6d019cd40c065ee349934f9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.25,0.25,0.25,0.078125,LOW
1477e27647fdf2b38743001f1bb68f0e,0.16666666666666666,0.0625,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0625,0.125,0.11805555555555554,LOW
147a192bc16f1b452c2401d4ba2e0751,0.5,0.375,0.375,0.375,0.5,0.5,0.375,0.5,0.375,0.375,0.375,0.5625,0.4322916666666667,MEDIUM
