,Location_Identifier,User_Count
0,C300MHE-DMD-NODE15221561,3
1,C300MHT-NE-NODE8152461,10
2,C300MIDH-IDJ-NODE11065541,23
3,C300MKI-NODE10668164,25
4,C300MNW-MEE-NODE18887751,73
5,C300MPDT-NODE13379431,3
6,C300MTP-NODE8700911,9
7,C300MVH-NODE9874041,3
8,MA5603TAD-SRV-NODE10224991,2
9,MSAG5200-ISLBZ-NODE435881,44
10,MSAG5200-ISLGE-NODE5577981,8
11,MSAG5200-ISLHC-NAP-NODE478721,8
12,MSAG5200-ISLHK-OCC-NODE506561,9
13,MSAG5200-ISLHNT-NODE423851,10
14,MSAG5200-ISLHO-NODE524692,2
15,MSAG5200-ISLHZ-BRL-NODE471911,8
16,MSAG5200-ISLIDH-KGW-NODE6194491,59
17,MSAG5200-ISLJA-PKV-NODE460421,13
18,MSAG5200-ISLMB-PSL-NODE482261,7
19,MSAG5200-ISLMH-POL-NODE491451,48
20,MSAG5200-ISLMLT-VMD-NODE4145091,58
21,MSAG5200-ISLMT-AVR-NODE467161,140
22,MSAG5200-ISLMV-GDM-NODE482491,105
23,MSAG5200-ISLMX-NODE5391821,3
24,MSAG5200-ISLND-PHG-NODE500241,94
25,MSAG5200-ISLNL-HGW-NODE491281,8
26,MSAG5200-ISLPC-AGT-NODE480031,51
27,MSAG5200-ISLPK-PNU-NODE6136021,3
28,MSAG5200-ISLPRN-NODE427901,10
29,MSAG5200-ISLSI-DWS-NODE520721,16
30,MSAG5200-ISLTBL-NODE5577771,5
31,MSAG5200-ISLTBT-TLJ-NODE487241,4
32,MSAG5200-ISLVA-NKM-NODE481961,42
33,MSAG5200-ISLWI-NWT-NODE485201,10
34,MSAG5200-ISLWKN-SWP-NODE473481,12
35,MSAG5200-ISLWM-NODE432881,3
36,MSAG5200-ISLWY-MDB-NODE506221,7
37,MSAG5200BG-NODE431391,95
38,MSAG5200HPG-NODE432141,9
39,MSAG5200MGE-NODE428381,3
40,MSAG5200PH-AKG-NODE431631,130
41,MSAG5200PK-NODE438641,5
42,UA5000(IPMB)IM-NODE391531,6
43,UA5000(IPMB)SL-NODE385341,94
44,ZXDSL9806H-ISLAG-PNP-NODE529761,8
45,ZXDSL9806H-ISLKE-NRP-NODE495731,11
46,ZXDSL9806H-ISLKL-PRC-NODE482361,7
