,ACCOUNT_NUM.hash,FTTH_Package,FTTH_Month_Subscribed,FTTH_Rental,FTTH_One_Time_Charge,Package_Type,MEDIUM
0,019f1c6f13d12c2264aef00739d54720,['AB Fiber Access Bearer'],['2017-01'],[],[],['Other'],['MC']
1,02059e815d999bda708149ae263946d3,['AB Fiber Access Bearer'],['2019-09'],[],[],['Other'],['MC']
2,066323e15583647d5102a831aa53aba7,['AB Fiber Access Bearer'],['2017-06'],[],[],['Other'],['MC']
3,086bd45995b95b46a7a7b9dcfea9d296,['AB Fiber Access Bearer'],['2016-10'],[],[],['Other'],['MC']
4,0af54aadb6f99ea7dba03d4bba175478,['AB Fiber Access Bearer'],['2016-08'],[],[],['Other'],['MC']
5,0ca3ab018969fe6e4338b1ebd767eaae,['AB Fiber Access Bearer'],['2017-03'],[],[],['Other'],['MC']
6,0e1fe0d01f3a2e9619999a1a634ec427,['AB Fiber Access Bearer'],['2020-08'],[],[],['Other'],['MC']
7,0fa1d2aeb386d52b8fb4b545f3d28b5d,['AB Fiber Access Bearer'],['2016-09'],[],[],['Other'],['MC']
8,16ba7704ef69803d3d41ebde44ad1c06,['AB Fiber Access Bearer'],['2019-01'],[],[],['Other'],['MC']
9,199f718bc367b33b58b3256e448d66b2,['AB Fiber Access Bearer'],['2016-10'],[],[],['Other'],['MC']
10,1bdb808b0067543eac37a8650abfeb46,['AB Fiber Access Bearer'],['2020-01'],[],[],['Other'],['MC']
11,1eba7f55e39fa936b715b4cbff9777d4,['AB Fiber Access Bearer'],['2016-11'],[],[],['Other'],['MC']
12,214cbb1651fa329cf02ef1821fc0e44e,['AB Fiber Access Bearer'],['2020-08'],[],[],['Other'],['MC']
13,23b8dcc156cd6c00287efd88ae321631,['AB Fiber Access Bearer'],['2020-02'],[],[],['Other'],['MC']
14,23fc6e16b1bbdaeae5cfacfc82e91dbc,['AB Fiber Access Bearer'],['2019-02'],[],[],['Other'],['MC']
15,287cde10ae103ec451caeb0d47b7575c,['AB Fiber Access Bearer'],['2019-11'],[],[],['Other'],['MC']
16,2a754752a65696b63963569c4556e2c6,['AB Fiber Access Bearer'],['2017-02'],[],[],['Other'],['MC']
17,2b1f1161870583f0b5280e0c5d629c78,['AB Fiber Access Bearer'],['2017-03'],[],[],['Other'],['MC']
18,2c98d4759ee2eca3f2d966be8739c1fa,['AB Fiber Access Bearer'],['2019-11'],[],[],['Other'],['MC']
19,2d3c09ba08e6a70dbc5988cbbb2fa115,['AB Fiber Access Bearer'],['2019-06'],[],[],['Other'],['MC']
20,2f60b16e58320a419a9b19d502ff7701,['AB Fiber Access Bearer'],['2017-04'],[],[],['Other'],['MC']
21,32471f4c24b1c46ee06b8f877a763567,['AB Fiber Access Bearer'],['2019-11'],[],[],['Other'],['MC']
22,35b1330eecd5ded83832d59db4dc611f,['AB Fiber Access Bearer'],['2018-06'],[],[],['Other'],['MC']
23,365e4d4f6d27f2618dcc8b09eab41d92,['AB Fiber Access Bearer'],['2019-07'],[],[],['Other'],['MC']
24,38b2614973f3729c7c0afcf96f3e6657,['AB Fiber Access Bearer'],['2015-08'],[],[],['Other'],['MC']
25,3b2758bf5cacf0fb46e7beae38b827f5,['AB Fiber Access Bearer'],['2016-09'],[],[],['Other'],['MC']
26,3b6cefc352d185175aa95d5bd3b683bc,['AB Fiber Access Bearer'],['2017-02'],[],[],['Other'],['MC']
27,3bc61b93cea92e9c79c8eb1a07f8c5c5,['AB Fiber Access Bearer'],['2018-05'],[],[],['Other'],['MC']
28,3e22148c54ddd8e19c3fdbf7c3dce200,['AB Fiber Access Bearer'],['2017-02'],[],[],['Other'],['MC']
29,44224bc1e2e7101c90bbad70dbcc5a6c,['AB Fiber Access Bearer'],['2019-04'],[],[],['Other'],['MC']
30,494de320778db98d7fa1751e8d60064c,['AB Fiber Access Bearer'],['2017-02'],[],[],['Other'],['MC']
31,4a53c2f008c7fcb139a7f3b90e2b0f85,['AB Fiber Access Bearer'],['2018-06'],[],[],['Other'],['MC']
32,4c7a4769273c7a2eb4860a09f6376a70,['AB Fiber Access Bearer'],['2020-02'],[],[],['Other'],['MC']
33,50cf8d74511fd6337cbef6cd5f8fb12d,['AB Fiber Access Bearer'],['2017-02'],[],[],['Other'],['MC']
34,52e7c04d12cb33c77031760584a9586e,['AB Fiber Access Bearer'],['2018-02'],[],[],['Other'],['MC']
35,56b6ed37e0621100f8768b156fa7b14a,['AB Fiber Access Bearer'],['2016-10'],[],[],['Other'],['MC']
