,ACCOUNT_NUM.hash,Megaline_Package,Megaline_Month_Subscribed,Megaline_Rental,Megaline_One_Time_Charge,Package_Type,MEDIUM
0,00092e2fa75ca865f5ffd62247031136,['SLT PeoTV Service'],['2020-07'],[899.0],[],['PeoTV'],['MC']
1,0009e7e4d940c2a539b89342af07e7f1,['AB Copper Access Bearer'],['2018-08'],[],[],['Other'],['MC']
2,00126426420cdb4b1fe951ce5bb3c05a,"['SLT Voice Service', 'AB Copper Access Bearer', 'BB SLT BroadBand Service', 'SLT PeoTV Service']","['2018-08', '2018-08', '2018-08', '2018-08']","[990.0, 899.0]",[],"['Voice', 'Other', 'BB', 'PeoTV']","['MC', 'MC', 'MC', 'MC']"
3,006ff446f4e8c78e943f8ea7ee9f7388,"['SLT PeoTV Service', 'SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08', '2018-08']",[899.0],[],"['PeoTV', 'Voice', 'Other']","['MC', 'MC', 'MC']"
4,007229a6cde9f7dd9ca6ba53a03ac64e,"['SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08']",[],[],"['Voice', 'Other']","['MC', 'MC']"
5,008bca99f0cccb5d07d4f03744709cf8,"['SLT Voice Service', 'SLT PeoTV Service', 'BB SLT BroadBand Service']","['2020-03', '2020-03', '2020-03']","[899.0, 890.0]",[],"['Voice', 'PeoTV', 'BB']","['MC', 'MC', 'MC']"
6,009ef2d25878cecee8d2c8115d26f4ab,"['SLT Voice Service', 'SLT PeoTV Service', 'AB Copper Access Bearer', 'BB SLT BroadBand Service']","['2018-08', '2018-08', '2018-08', '2019-10']","[690.0, 990.0]",[],"['Voice', 'PeoTV', 'Other', 'BB']","['MC', 'MC', 'MC', 'MC']"
7,009f8579b6fcaf11bac2304a1e53fee8,"['AB Copper Access Bearer', 'SLT Voice Service']","['2018-08', '2018-08']",[],[],"['Other', 'Voice']","['MC', 'MC']"
8,009fdca163372f7a1a51de8c075bfa72,"['SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08']",[],[],"['Voice', 'Other']","['MC', 'MC']"
9,00b147c6f1b37ed59adc10b02fd43b8b,['AB Copper Access Bearer'],['2018-08'],[],[],['Other'],['MC']
10,00d5bb23e73e25b7b32d3ea8c5221dbd,"['SLT PeoTV Service', 'SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08', '2020-03']",[899.0],[],"['PeoTV', 'Voice', 'Other']","['MC', 'MC', 'MC']"
11,0105eba65de307bc8ca366dac37aff7b,"['SLT Voice Service', 'AB Copper Access Bearer', 'BB SLT BroadBand Service']","['2018-08', '2018-08', '2018-11']",[450.0],[],"['Voice', 'Other', 'BB']","['MC', 'MC', 'MC']"
12,01099829d2f7ba88392bc6417c928cd2,"['AB Copper Access Bearer', 'SLT Voice Service']","['2018-08', '2018-08']",[],[],"['Other', 'Voice']","['MC', 'MC']"
