,VAS
0,P-Basic1_Tele Life
1,V-Plus4_TeleLife
2,V-Plus1_TeleLife
3,V-Basic1_TeleLife
4,P-Plus1_Tele Life
5,V_Telehealth
6,C-Basic1_Tele Life
7,V_Sisu Connect
8,P-Basic2_Tele Life
9,P-Plus4_Tele Life
10,P_Sisu Connect
11,C_Sisu Connect
12,V-Basic4_TeleLife
13,V-Basic2_TeleLife
14,P-Basic4_Tele Life
15,Package Rental Through ADSL
16,AB_Megaline
17,V_Call holding
18,V_Incoming Call Memory
19,V_Call Transfer Three way
20,V_Anonymous call barring
21,V_DQ Contact Details
22,V_Outgoing Call Memory
23,E_TSTV
24,AB_Relocation
25,V_Call Forwarding Offline
26,AB_Megaline Startup
27,V_Call Forwarding by time
28,V_Single VAS Bundle
29,V_CLI presentation in call waiting
30,V_Call back on busy
31,V_IDD
32,V_SLT CLI
33,V_Incoming Call Transfer
34,AB_Copper Access Bearer
35,V_Double VAS Bundle
36,E_Video on Demand
37,V_Call park
38,E_PeoTV Initiation
39,AB_Citylink Loyalty Rewards
40,V_SLT Voice Service
41,V_Call Forwarding-No Answer
42,V_Call Forwarding-On Busy
43,E_PeoTV_Package Transfer
44,V_Call Forwarding-Immediate
45,V_Call Forwarding - No Answer
46,V_Call Forwarding - On Busy
47,V_Absentee service
48,V_Abbreviated Dialing
49,V_Call Forwarding
50,V_Call Waiting
51,V_E-channeling Registration
52,V_Cordeless Phone - Installment
53,M_Activation Charge
54,AB_Additional Distance
55,V_Hotline-Immediate
56,V_Short Message Service
57,V_Hotline-Time Delayed
58,V_Caller Line Identification
59,V_Hotline Service
60,AB_Service Vacation
61,E_SLT PeoTV Service
62,V_Railway Registration
63,V_Detailed Bill
64,AB_Rental Free
65,V_Call Forwarding - Immediate
66,P_Additional features -Double VAS Bundle
67,P_IDD
68,DQ_Contact Details
69,P_Call Forwarding Offline
70,P_Incoming Call Transfer
71,P_Call Transfer Three way
72,P_Outgoing Call Memory
73,P_Call holding
74,P_Megaline
75,P_SLT CLI
76,P_Megaline New Connection
77,P_Call back on busy
78,PEO TV GO_OTT_A-la carte channels
79,P_Call park
80,P_CLI presentation in call waiting
81,P_Call Forwarding by time
82,P_Incoming Call Memory
83,P_Anonymous call barring
84,V_One-Time Detailed Bill
85,V_Installment
86,V_Basic Phone Installment
87,AB_Referral offer Discount
88,V_Call Barring - Outgoing
89,PeoTVGo_Channel Package
90,BB_PeoTVGO Revenue code
91,V_Caller name identificationPresentation
92,V_Selective call waiting
93,V_Basic Phone
94,V_Do not disturb service
95,V_Password call barring (secret code)
96,V_Selective call rejection
97,V_Triple VAS Bundle
98,V_Selective call acceptance
99,V_Secretary service
100,E_Referral offer Discount
101,V_Call forwarding selective
102,V_Complete call on no response
103,V_Referral offer Discount
104,V_Caller name sending
105,BB_Report Subscription Charge
106,V_Voice Startup Fee
107,V_Miscellaneous Service
108,OTT_SLT PeoTV Go
109,BB_ Entertainment Unlimited
110,V_Call Barring
111,P_One-Time Detailed Bill
112,P_Removal of Int & Parallel Ext
113,AB_Parallel line Installation
114,Meet Lite
115,Meet Max
116,Edu Lite
117,BB_YouTube Bundle
118,BB_Messenger Bundle
119,BB Personal Storage
