,ACCOUNT_NUM.hash,Package,Month_Subscribed,Rental,One_Time_Charge,Package_Type,Product_Type,MEDIUM
0,0009e7e4d940c2a539b89342af07e7f1,['AB Service Vacation'],['2019-10'],[],[],['Other'],[],[]
1,008bca99f0cccb5d07d4f03744709cf8,['Installment'],['2020-06'],[],[],['Voice'],[],[]
2,009ef2d25878cecee8d2c8115d26f4ab,"['Basic1 TeleLife', 'Plus1 TeleLife', 'Basic2 TeleLife']","['2016-08', '2016-12', '2018-08']","['60', '100', '90']",[],"['Other', 'Other', 'Other']",[],[]
3,009fdca163372f7a1a51de8c075bfa72,['E channeling Registration'],['2018-08'],[],[],['Voice'],['Megaline'],['C']
4,0105eba65de307bc8ca366dac37aff7b,"['Sisu Connect', 'Edu Lite', 'Meet Lite']","['2014-07', '2020-12', '2021-02']",['30'],"[195.0, 195.0]","['Other', 'Other', 'Other']",[],[]
5,0173026de099e4e9f62f81b15c9adc59,['Sisu Connect'],['2018-08'],['30'],[],['Other'],[],[]
6,019217a7950072f267ab6dcb0d790969,"['E channeling Registration', 'E channeling Subscription']","['2018-08', '2018-10']",[],[],"['Voice', 'Voice']","['Megaline', 'Megaline']","['C', 'C']"
7,01cbc9b050fa000d1de651103cd30fc3,"['Video on Demand', 'Meet Lite']","['2019-02', '2020-12']",[],[195.0],"['PeoTV', 'Other']",[],[]
8,01f29baefa8fabbd7351cc8260f56323,"['Basic1 TeleLife', 'Sisu Connect', 'Meet Lite']","['2014-04', '2018-08', '2021-02']","['60', '30']",[195.0],"['Other', 'Voice', 'Other']",['Megaline'],['MC']
9,02059e815d999bda708149ae263946d3,"['BB Detailed Reports ', 'AB Rental Free', 'Hotline Immediate', 'Hotline Time Delayed', 'BB Entertainment Unlimited', 'BB YouTube Bundle', 'BB Report Subscription Charge', 'Meet Lite']","['2015-02', '2019-06', '2020-07', '2020-07', '2020-09', '2021-02', '2021-03', '2021-06']","['1990', '155', 40.0]",[195.0],"['BB', 'Other', 'Voice', 'Voice', 'BB', 'BB', 'BB', 'Other']","['Megaline', 'Megaline']","['MC', 'MC']"
10,026368f4bccda09644665c13cbe13079,"['Basic1 TeleLife', 'Telehealth', 'Plus1 TeleLife', 'Video on Demand', 'PeoTPackage Transfer']","['2012-07', '2014-08', '2019-09', '2020-02', '2020-02']","['60', '100', '100']",[],"['Other', 'Voice', 'Voice', 'PeoTV', 'Voice']","['Megaline', 'Megaline']","['C', 'C']"
11,02efe38e4cc2e4c9856bf37ed0a2ad1b,['Meet Lite'],['2021-06'],[],[195.0],['Other'],[],[]
12,033bfca5a6ec3efe628326fde56c6e14,"['Sisu Connect', 'Meet Lite']","['2018-08', '2021-06']",['0'],[195.0],"['Voice', 'Other']",['Megaline'],['MC']
13,03489485bb11b7474395412e1ecd952e,['BB Entertainment Unlimited'],['2020-12'],['1990'],[],['BB'],['Megaline'],['MC']
14,0428ed3b8393d8dfb8ff616d8cad7e15,"['BB Messenger Bundle', 'BB YouTube Bundle', 'Meet Lite']","['2021-05', '2021-05', '2021-06']","['45', '155']",[195.0],"['BB', 'BB', 'Other']",[],[]
15,0461afe42861face4d95019ba70634b0,['Meet Lite'],['2021-01'],[],[195.0],['Other'],[],[]
16,04b03917b3a4d5e6ed56b3972e493cc5,['Video on Demand'],['2019-11'],[],[],['PeoTV'],[],[]
17,050fdbb3512b12800826659f16b55eb5,['Video on Demand'],['2020-06'],[],[],['PeoTV'],[],[]
18,052f85b26b2ff4a46327fb069b8b97f1,['Meet Lite'],['2021-06'],[],[195.0],['Other'],[],[]
19,0569cbb3fc4a77add1ec6659fd12e4c1,['Basic1 TeleLife'],['2018-08'],['60'],[],['Other'],[],[]
20,0575034fff654e702bfef165510f8492,['Basic1 TeleLife'],['2019-06'],['60'],[],['Voice'],['Megaline'],['C']
21,05837c9e58679948f8c0d891fa4a0ccc,['Sisu Connect'],['2014-11'],['30'],[],['Other'],[],[]
22,05b2253899a953b9d07f4c5f31d433c7,['E channeling Registration'],['2018-08'],[],[],['Voice'],['Megaline'],['C']
23,05b8bccc885713712d193dec52f9f099,['Basic1 TeleLife'],['2018-08'],['60'],[],['Voice'],['Megaline'],['C']
24,05bab558d9088194d8c2e91ffa1f3917,['Meet Lite'],['2021-06'],[],[195.0],['Other'],[],[]
25,062885b761569837df396f9bdd67ab24,['E channeling Registration'],['2018-08'],[],[],['Voice'],['Megaline'],['C']
26,06623c7ba64331f615ff83c5664b71bb,['Meet Lite'],['2021-01'],[],[195.0],['Other'],[],[]
27,066323e15583647d5102a831aa53aba7,"['BB Detailed Reports ', 'BB Report Subscription Charge']","['2020-07', '2021-02']",[40.0],[],"['BB', 'BB']",['Megaline'],['MC']
28,06b0e86e8d218a11ddf948ae6201f260,"['Plus1 TeleLife', 'Basic1 TeleLife']","['2018-08', '2018-08']","[100.0, '60']",[],"['Voice', 'Other']",['Megaline'],['C']
29,070c11ae598c36e61aea606708d63841,"['BB Detailed Reports ', 'BB Report Subscription Charge']","['2018-08', '2021-02']",[40.0],[],"['BB', 'BB']",['Megaline'],['MC']
30,071d51ec01c8ed8159ac1313dd632c40,['Meet Lite'],['2021-04'],[],[195.0],['Other'],[],[]
31,0759d0f0ba98657257d82fe0103c220f,['Basic1 TeleLife'],['2018-08'],['60'],[],['Other'],[],[]
32,076afa73c8fdcae792465af354416345,"['E channeling Registration', 'E channeling Subscription']","['2018-08', '2018-10']",[],[],"['Voice', 'Voice']","['Megaline', 'Megaline']","['C', 'C']"
33,07f1e23571c43de0a36d0f90c71c70fb,['Plus1 TeleLife'],['2018-08'],['100'],[],['Other'],[],[]
34,085ecebef1af065588e3558ca21e6d4c,"['Referral offer Discount', 'AB Referral offer Discount', 'Meet Lite']","['2020-01', '2020-01', '2021-05']",[],[195.0],"['Voice', 'Other', 'Other']",[],[]
35,0866e1a199b053b6762e99c9f7cacd6b,['Hotline Time Delayed'],['2020-07'],[],[],['Voice'],[],[]
36,090ae6fc9c638a0607d537f676a14c17,['Basic1 TeleLife'],['2018-08'],['60'],[],['Voice'],['Megaline'],['C']
37,0964b782c59e3aa9c37f4fdcd8f4c0f8,"['Basic1 TeleLife', 'Telehealth', 'Plus1 TeleLife']","['2018-08', '2019-07', '2019-07']","['60', 100.0, '100']",[],"['Other', 'Voice', 'Voice']","['Megaline', 'Megaline']","['C', 'C']"
