,Rental,Rental,Rental,Rental,Rental,Rental,Rental,Rental,Rental,Rental,Rental,Rental,Rental,Rental
Month_Subscribed,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08
ACCOUNT_NUM.hash,,,,,,,,,,,,,,
0f46a3bf356fee36239f081e103da76b,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1c4c0f12a0352e8aaf58602ecf64e877,100,100,100,100,100,100,100,100,100,450,450,450,450,450
204773567701102c4acf8fda9eaccfdd,100,100,100,100,100,100,100,100,100,100,100,100,100,100
21e2a94960106171ac59b4a319087d42,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2259de9b81a352a02bcddf28bdedde6f,100,100,100,100,100,100,100,100,100,100,100,100,100,100
25b2c30f24bbd86d7cca43e006f521fa,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2b1f1161870583f0b5280e0c5d629c78,150,150,150,100,150,100,100,100,100,100,100,100,100,100
2b60f8ffb99f7932ee00cdd291fb1dd5,150,150,150,100,150,100,100,100,100,100,100,100,100,100
2c98d4759ee2eca3f2d966be8739c1fa,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2e0841c32915addc312ba3b08314593e,100,100,100,100,0,0,0,0,0,0,0,0,0,0
34cbda4698077235df4c2a08ee6f15ee,0,0,0,0,0,0,0,0,0,0,100,100,100,100
35653265b9dc1fc3aedba120476ef86d,0,0,0,0,0,0,0,0,100,100,100,100,100,100
41d2c3d7ffdefd4cdfb8227b52bdc37f,0,0,0,0,0,1050,450,450,450,450,450,450,450,450
44224bc1e2e7101c90bbad70dbcc5a6c,0,0,0,0,0,0,0,0,0,100,100,100,100,100
446b44a4a65b65b4cf09e783683b4df2,100,100,100,100,100,100,100,100,100,100,100,100,0,0
494de320778db98d7fa1751e8d60064c,150,150,150,100,150,100,100,100,100,100,100,100,100,100
4ddd3dc2b7a3fe4907f9806fc67ab627,150,150,150,100,150,100,0,0,0,0,0,0,0,0
52b1c4fc5583a0b8449029dc92eeae45,100,100,100,100,100,100,100,100,100,100,100,100,100,100
52e7c04d12cb33c77031760584a9586e,150,150,150,100,150,100,100,100,100,100,100,100,100,100
6184e258fc549e12c235a2bc10ae297e,150,150,150,0,0,0,0,0,0,0,0,0,0,0
62fb58e7bc8acec8cd1553a9aae5e8b0,0,0,0,0,0,0,0,0,0,0,0,100,100,100
639eee857314ce7dd39ca7a84eb56529,100,100,100,100,100,100,100,100,100,100,100,100,100,100
69325672947dfadf5b4eda47157da277,0,0,0,0,0,100,100,100,100,100,100,100,100,100
69d89537ea9b733dd8295f0a9fed52a4,0,0,0,0,0,0,0,0,0,0,0,1400,350,0
74e177b0c64177f4c813bd351337b796,0,0,0,0,0,0,0,0,0,0,0,0,0,100
808b95c7008ba4241493ae938e63012e,100,100,100,100,100,100,100,100,100,100,100,100,100,100
819cb6072b7f743d7a35d187956afab4,0,0,0,0,100,100,100,100,100,100,100,100,100,100
90a7ca76033cf7fc3c3cb906f45c401c,100,0,0,0,0,0,0,0,0,0,0,0,0,0
933cd3394373b1d2929edcaa1974f7a1,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9d2f5d0f09198069413924db9a10d1c3,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9fb15a37e248fce31c7d0ed98aaaaaf1,0,0,0,0,0,0,100,100,100,100,100,100,100,100
a0edde715d1903bd4c50ffad184ee2a4,0,0,0,100,100,100,100,100,100,100,100,100,100,100
a1a17097950da3f5a53f41a4089a143c,100,100,100,100,100,100,0,0,0,0,0,0,0,0
a4eebc122a8f3dc2b2cd9bf6420cf008,100,100,100,100,100,100,100,100,100,100,100,0,200,100
a51b26429dc990ff24dedbcd9316026e,0,0,0,0,0,0,0,0,0,100,100,100,100,100
bd537f0b4dbc25dea026f9705c43ba03,100,100,100,100,100,100,100,100,100,100,100,100,100,100
bda07bd430770d8b4936c144e1523473,0,0,0,0,100,0,0,0,0,0,0,0,0,0
be57dd52a72846ff4d4a505373698f0b,0,0,0,0,100,100,100,100,100,100,100,100,100,100
c11a5aa14d094a93729db54e84d621ed,0,0,0,0,0,0,0,0,0,100,100,100,100,100
d0bd2c4614c24ce48b7fc09ff42eb002,0,100,0,0,0,0,0,0,0,0,0,0,0,0
d54af3961d00eb3e721ce7cc7574e4b4,150,150,150,100,150,100,100,100,100,100,100,100,100,100
d97bf82713a4a491e6600a4a2368d4fe,0,0,0,0,0,100,100,100,100,100,100,100,100,100
daa74e4f9afbb374acc64969fe778808,0,0,0,0,0,100,100,100,100,100,100,100,100,100
dae4c762e2af5a6b09ae61dd64e8a597,100,100,100,100,100,100,100,100,100,100,100,100,100,100
dda37eaaec4b2895d9681f934ef36e20,0,0,0,0,0,0,0,0,100,100,100,100,100,100
e7bfef3276f6c0027bb79e98ae7fcdce,100,100,100,100,100,100,100,100,100,100,100,100,100,100
e98442fafe89489ced0b54cd7e28e3c1,0,0,0,0,0,0,100,100,100,100,100,100,100,100
e9c6e3f904c96634fd6d65955ad51c0a,0,0,0,0,0,0,0,0,0,100,100,100,100,100
e9da17d80fe1938c7dee8c900352d1e5,0,0,0,0,0,0,0,0,100,100,100,100,100,100
f530fa175c025159cdd33507a7f3d426,0,0,0,0,0,0,0,0,0,0,0,1050,350,350
fd54b3aa9768db49cee68803cb7a238c,100,100,100,100,100,0,0,0,0,0,0,0,0,0
