,ACCOUNT_NUM.hash,Phone_Number.hash,Phone_No_Count,PRODUCT_NAME,Product_Count
0,0009e7e4d940c2a539b89342af07e7f1,['5e411c13c17e851e8cdf6fbdcc10537a'],1,['AB_Service Vacation'],1
1,008bca99f0cccb5d07d4f03744709cf8,['ba3e4a690c1d811b4192005e480bcd55'],1,['V_Installment'],1
2,01cbc9b050fa000d1de651103cd30fc3,['70d7089a840256ad28912710e9cdc608'],1,"['E_PeoTV Initiation', 'E_Video on Demand', 'E_TSTV']",3
3,02059e815d999bda708149ae263946d3,"['a554cc1065efdea68627e133958bca32', '4e772b4a1d242c094ac1a51cb87df5a2', '66d27658a66d208990a71c86a5994303', '3a5f36ab0b3c5a4d94aa69789ce0f34d']",4,"['V_Call Forwarding - Immediate', 'V_Call Forwarding - On Busy', 'V_Call Forwarding by time', 'V_Hotline Service', 'V_Absentee service', 'V_Call holding', 'V_Incoming Call Memory', 'V_Outgoing Call Memory', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_Hotline-Immediate', 'V_Hotline-Time Delayed', 'V_Caller Line Identification', 'V_Call Forwarding Offline', 'V_Abbreviated Dialing', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Transfer Three way', 'V_DQ Contact Details', 'AB_Rental Free', 'AB_Megaline', 'AB_Relocation', 'V_Call Forwarding - No Answer']",24
4,026368f4bccda09644665c13cbe13079,['b0247cfa960b7d693a0e3e7d8e1eebd7'],1,"['E_PeoTV Initiation', 'E_Video on Demand', 'E_TSTV', 'E_PeoTV_Package Transfer']",4
5,033bfca5a6ec3efe628326fde56c6e14,['163577f7c7729ed76da835bf969b8e94'],1,['AB_Relocation'],1
6,0343a21cd63098883687b660b665d3ee,['2d5caf7a3c023840f4321a33bcaef9a8'],1,"['P_IDD', 'P_SLT CLI', 'P_Megaline', 'DQ_Contact Details', 'V_IDD', 'AB_Copper Access Bearer', 'AB_Megaline', 'V_SLT CLI', 'V_DQ Contact Details']",9
7,04b03917b3a4d5e6ed56b3972e493cc5,['d28d8b9c69c8e6db5ff0fbd282f0c8fc'],1,"['E_Video on Demand', 'E_TSTV', 'E_PeoTV Initiation', 'V_Call Transfer Three way', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer']",11
8,050fdbb3512b12800826659f16b55eb5,['74dd30450502fd6c9b803d6476fe77d5'],1,"['E_Video on Demand', 'E_PeoTV Initiation', 'E_TSTV']",3
9,0575034fff654e702bfef165510f8492,['91fb26aeed6564980e7e3763308609bf'],1,"['V_Call Transfer Three way', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer']",8
