,Phone_Number.hash,PRODUCT_NAME,Product_Count,Product_Dict
0,009f305bf85a71012c0e343233e611ba,"['V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_IDD', 'V_SLT Voice Service', 'V_Single VAS Bundle', 'V_SLT CLI', 'V_DQ Contact Details', 'V_Absentee service']",13,"{'009f305bf85a71012c0e343233e611ba': ['V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_IDD', 'V_SLT Voice Service', 'V_Single VAS Bundle', 'V_SLT CLI', 'V_DQ Contact Details', 'V_Absentee service']}"
1,01cdd813d9a8bea5d70455a917c91e63,"['V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding']",8,"{'01cdd813d9a8bea5d70455a917c91e63': ['V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding']}"
2,028c5d688b270307aea69a8dcb74bee2,"['E_TSTV', 'E_Video on Demand']",2,"{'028c5d688b270307aea69a8dcb74bee2': ['E_TSTV', 'E_Video on Demand']}"
3,05cfe8f4323299542b61cfdb60232095,"['E_PeoTV Initiation', 'E_TSTV', 'E_Video on Demand']",3,"{'05cfe8f4323299542b61cfdb60232095': ['E_PeoTV Initiation', 'E_TSTV', 'E_Video on Demand']}"
4,06c40958738d7ff752abdd8973327e84,"['V_DQ Contact Details', 'V_IDD', 'AB_Copper Access Bearer', 'AB_Megaline', 'V_SLT Voice Service']",5,"{'06c40958738d7ff752abdd8973327e84': ['V_DQ Contact Details', 'V_IDD', 'AB_Copper Access Bearer', 'AB_Megaline', 'V_SLT Voice Service']}"
5,08c38286f1a189b638e60f800de4cf98,"['V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'E_Video on Demand', 'E_TSTV', 'V_Hotline Service', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting']",11,"{'08c38286f1a189b638e60f800de4cf98': ['V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'E_Video on Demand', 'E_TSTV', 'V_Hotline Service', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting']}"
6,08eb64b67829f5df06e65577c25d2a53,['V_Call Barring - Outgoing'],1,{'08eb64b67829f5df06e65577c25d2a53': ['V_Call Barring - Outgoing']}
7,0924c0f84c090ed5cbb749db91c6b9c2,['V_Cordeless Phone - Installment'],1,{'0924c0f84c090ed5cbb749db91c6b9c2': ['V_Cordeless Phone - Installment']}
8,09c78989d21febb16d71f52534dbedcd,"['E_Referral offer Discount', 'AB_Referral offer Discount']",2,"{'09c78989d21febb16d71f52534dbedcd': ['E_Referral offer Discount', 'AB_Referral offer Discount']}"
9,0c43717f6cafdee05899b9e7e6ad8972,"['V_Call Forwarding', 'V_Call Waiting', 'V_Hotline Service', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-No Answer', 'V_Hotline-Time Delayed', 'V_Call Forwarding-On Busy', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way']",10,"{'0c43717f6cafdee05899b9e7e6ad8972': ['V_Call Forwarding', 'V_Call Waiting', 'V_Hotline Service', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-No Answer', 'V_Hotline-Time Delayed', 'V_Call Forwarding-On Busy', 'V_Absentee service', 'V_Abbreviated Dialing', 'V_Call Transfer Three way']}"
