,ACCOUNT_NUM.hash,TARIFF_NAME,BB_Package,TARIFF_ID,BSS Name,Attribute,MEDIUM_INFO
0,bd0cc5e96b24df6625fc68cbaf71b555,AB_Copper Access Bearer,,,,,
1,4c7a4769273c7a2eb4860a09f6376a70,z Sales End_.Office - Single Play,,,,,
2,23fc6e16b1bbdaeae5cfacfc82e91dbc,AB_Copper Access Bearer,,,,,
3,daa74e4f9afbb374acc64969fe778808,AB_Copper Access Bearer,,,,,
4,9886d2e4e61e33d0a4388667c7bfc68c,z Sales End_.Office - Single Play,,,,,
5,f22295dcdeb9502825e7d6140bbf8542,AB_Copper Access Bearer,,,,,
6,d3e92a3b5f6d9389270489a762cd5b89,Megaline_Corporate Tariff,,,,,
7,d5b3f685fee264650b3de22f2bef0023,z Sales End_.Office - Single Play,,,,,
8,7becafe9c7bad46e4ad00345292a3532,z Sales End_.Home - Double Play,,,,,
9,1dfdca56f88f2edd7db6bb009a32aa15,AB_Copper Access Bearer,,,,,
10,ed8fee0d56d93a28d97753e8c3a8ae41,AB_Copper Access Bearer,,,,,
11,6a7b77939ce62248df1dafc155d02a97,TR 2016_FTTH Home-Triple Ply 1stLine,,,,,
12,01f29baefa8fabbd7351cc8260f56323,AB_Copper Access Bearer,,,,,
13,a88cf429a820eb62f5859ad4369dd728,TR 2016_.Office - Triple Play,,,,,
14,786a34a3a07198ece94fdb85ded5d0b7,AB_Copper Access Bearer,,,,,
15,ab5d9b194e2e2569ca9db37e75b51597,Cu_Peo Silver,,,,,
16,35858651c128b1ec3fdd034a3ca79c05,AB_Copper Access Bearer,,,,,
17,fcb6268a1caaac23476d9e1bbae165d7,AB_Copper Access Bearer,,,,,
18,2d3c09ba08e6a70dbc5988cbbb2fa115,AB_Copper Access Bearer,,,,,
19,b30b53ebc3474896e19e08b36a4f6751,AB_Copper Access Bearer,,,,,
20,c71143375d930fc5b584cec62192d1ff,AB_Copper Access Bearer,,,,,
21,bd9ab5150e50824620e1b6d2c2ae972c,Cu_Peo Silver,,,,,
22,ad501ceef064a0ee1262c69710293d68,AB_Copper Access Bearer,,,,,
23,949e14e85d36002ffb954d42d3366936,z Sales End_.Office - Double Play,,,,,
24,42b90109a2d00e2229e421ca1e4a8f8f,TR 2016_.Home - Double Play,,,,,
25,5d7c78986a8b3bca7f973f4924fd0ae6,z Sales End_.Home - Double Play,,,,,
26,fe3bcb8c980fa7d05c7a7c62574ebe3e,AB_Copper Access Bearer,,,,,
27,4a53c2f008c7fcb139a7f3b90e2b0f85,z Sales End_.Office - Single Play,,,,,
28,9892aaed8b8c9a5b1f2e9e97ee13a78d,AB_Copper Access Bearer,,,,,
29,29e4ed1dd895c838aae14cef338f8640,Enterprise Price Plan VI,,,,,
30,0e1fe0d01f3a2e9619999a1a634ec427,Cu_Peo Silver,,,,,
31,a1e2b9c2faf456eece4bb507dd044fcd,TR 2016_.Office - Single Play,,,,,
32,b130cd91df3e55bb333d7d023c248e9c,AB_Copper Access Bearer,,,,,
33,37c11ba654e04b5a5ae67331377861b8,z Sales End_.Home - Double Play,,,,,
34,9b0e78b148e1e3ed4e5c1bc5565dfb6e,AB_Copper Access Bearer,,,,,
35,e94cd38e499e05d11a5ad7b0601223e9,AB_Copper Access Bearer,,,,,
36,8dc9cff7d04b2aa584987ce723aa8dad,Cu_Peo Silver,,,,,
37,9796df61cd165b829364c6e9983513a2,z Sales End_Res SLT Phone,,,,,
38,5881470c0ab60e6d4b789346b63687c9,AB_Copper Access Bearer,,,,,
39,dc89c97abbdbf84f7e6522267fa0650a,AB_Copper Access Bearer,,,,,
40,1cca6a8545b413f559cb2150db1e60d4,AB_Copper Access Bearer,,,,,
41,98d6bd332428680747175eefdb50a834,z Sales End_.Home - Double Play,,,,,
42,be73e36d4f451510b7def35f400b4693,AB_Copper Access Bearer,,,,,
43,c7df7b0cd11756e3cf86d15130ccfa47,AB_Copper Access Bearer,,,,,
44,2eda8f5eed84231508079b78895a75b3,Cu_Peo Silver,,,,,
45,7b663d875bf4e9eaa6e346bb2bfd5aa1,z Sales End_.Home - Single Play,,,,,
46,dcab884afd6c1a13df78119714e9b76e,Megaline_Corporate Tariff,,,,,
47,a5abc1bef66a5cef2dbd300f60845c9b,AB_Copper Access Bearer,,,,,
48,61d599877c04644d5f3af94c0dad1676,z Sales End_.Home - Double Play,,,,,
49,e2bfe87f193dc2960d0a1952e3419dc5,AB_Copper Access Bearer,,,,,
50,e26ce78b62caf3706c4881757bf9a0f3,AB_Copper Access Bearer,,,,,
51,4d58b03afc6abd67319b2e628327f518,z Sales End_.Home - Double Play,,,,,
52,df42f109781d3f3314df8fc89001dd37,AB_Copper Access Bearer,,,,,
53,a46e1451297cc1c6fc6c2c31ccdf3508,TR 2016_.Home - Triple Play,,,,,
54,066323e15583647d5102a831aa53aba7,Enterprise Price Plan I,,,,,
55,a318d34cf9d32e81b46929abce7cf060,z Sales End_.Home-Single Play,,,,,
56,44224bc1e2e7101c90bbad70dbcc5a6c,z Sales End_.Office - Single Play,,,,,
57,075037287f4c416a9c5e41f8faf759ab,z Sales End_.Home - Triple Play,,,,,
58,a9138ab89bfedfb468f82d4716f71d09,AB_Copper Access Bearer,,,,,
59,8d2cef2414b406aa05af7026f03094c6,AB_Copper Access Bearer,,,,,
60,2c98d4759ee2eca3f2d966be8739c1fa,P_Corporate Tariff,,,,,
61,c15debef7a6bcb55c5438a3830a1193d,TR 2016_.Home - Single Play,,,,,
62,bdf75e0f8d6e8c10e9e8495654df21ec,TR 2016_FTTH Home-Triple Ply 1stLine,,,,,
63,570a05dbf4b4612c0bdab0a9bedb1c5f,Enterprise Price Plan I,,,,,
64,c808361ed68d9b6a4d4c119d76b7e14e,AB_Copper Access Bearer,,,,,
65,77d76105c586d368c1f0d85f4a2a08eb,AB_Copper Access Bearer,,,,,
66,16ba7704ef69803d3d41ebde44ad1c06,z Sales End_.Office - Double Play,,,,,
67,64b7ef5d6864f7c13354102dbe220fde,AB_Copper Access Bearer,,,,,
68,f5934c227c949c6261c40629f4287fc4,z Sales End_.Home - Double Play,,,,,
69,5874c6d4d73afba94f9734d7b6a04797,Cu_Peo Silver,,,,,
70,6da79766c57e021ac88dde68805bb2b3,Cu_PEO SILVER PLUS,,,,,
71,365e4d4f6d27f2618dcc8b09eab41d92,AB_Copper Access Bearer,,,,,
72,56d42c452d45cd049409581e0c576dd9,z Sales End_.Home - Double Play,,,,,
73,a38c9d9bf744892b7a984d7e298c0660,AB_Copper Access Bearer,,,,,
74,ad4504327db7ca40290b9d7e3686180a,z Sales End_.Home - Double Play,,,,,
75,96d972b2edfb5cf8c733f0fe2fa775a8,AB_Copper Access Bearer,,,,,
76,f91073db9132fee6b2b78a71c323a01f,AB_Copper Access Bearer,,,,,
77,6b4bfa1e32f513071c6b138a86c3bac9,Enterprise Megaline,,,,,
78,0868c1b648864977a308d1d40eb14b07,z Sales End_.Home - Double Play,,,,,
79,047b6079e96404ee14a5418a0068481b,z Sales End_.Home - Single Play,,,,,
80,c1baa360bcf6c9e13d1156fda3c97923,z Sales End_.Office - Single Play,,,,,
81,27848aa8b34298dc21cfd46f51a7d753,AB_Copper Access Bearer,,,,,
82,214bf31bc1cb10bbe3e4c877658953c4,z Sales End_.Office - Single Play,,,,,
83,3b05d1e07e5c487f00924ca83366ea51,z Sales End_.Office - Single Play,,,,,
84,522fdf261622fbee1b86a8fe69624d4a,AB_Copper Access Bearer,,,,,
85,cdb0cf1062880381e254a531c3ffb4a8,z Sales End_.Home - Double Play,,,,,
86,729e0a0a75015a8908d0989386f4454e,TR 2016_.Office - Double Play,,,,,
87,d28ec904abbdd72cecab5eef84887067,z Sales End_.Office - Single Play,,,,,
88,e5fc2bc74220732c4c2990a44d0b36dd,AB_Copper Access Bearer,,,,,
89,2f60b16e58320a419a9b19d502ff7701,TR 2016_FTTH Home-Double Ply 1stLine,,,,,
90,a51b26429dc990ff24dedbcd9316026e,Cu_Peo Silver,,,,,
91,8d8472d39b270801553f2d5e7c06fe22,AB_Copper Access Bearer,,,,,
92,b027d65390a0c725b9ce41e409f9797e,Home DP  BB 1st line with  My Phone,,,,,
93,d1d1785fd3a15a110c8749bb62452a43,AB_Copper Access Bearer,,,,,
94,f7e5d90e8464194308301a8f63a4678f,AB_Copper Access Bearer,,,,,
95,59322724d5029e5667d19ae164cdc16d,z Sales End_Biz SLT Phone,,,,,
96,d9b961170143b639ed40c1ec783fd8a5,z Sales End_.Office - Double Play,,,,,
97,bd35f3fa69e24bfd9b6ddac5a728df04,z Sales End_Platinum-Biz SLT Phone,,,,,
98,ecd7dc7be1e371977a8a1e22ae8db15f,AB_Copper Access Bearer,,,,,
99,2cc0005ba2242a5c2225bf41cfe1c7b6,z Sales End_.Office - Triple Play,,,,,
100,287cde10ae103ec451caeb0d47b7575c,z Sales End._V-talk Value,,,,,
101,1bdb808b0067543eac37a8650abfeb46,TR 2016_.Office - Single Play,,,,,
102,ea2d407c2db710ff639e86b04303df8c,AB_Copper Access Bearer,,,,,
103,ef9655512e3736ce7ddef8f97428c551,TR 2016_.Office - Single Play,,,,,
104,7e77dbac8b04ff1b13b8873547934129,AB_Copper Access Bearer,,,,,
105,d284e1191d20b572d37e0d3eaff43e3b,z Sales End_.Home - Single Play,,,,,
106,c7c5bdd3b8d6748a15006eedb6d7e72f,z Sales End_.Home - Single Play,,,,,
107,85895c8820fea2669cfe6bb13f2b3444,AB_Copper Access Bearer,,,,,
108,4b9af272beef497a56eb5f960281c3c3,AB_Copper Access Bearer,,,,,
109,39c732d59a382683b146228fd887f34d,AB_Copper Access Bearer,,,,,
110,3bc61b93cea92e9c79c8eb1a07f8c5c5,TR 2016_.Office - Single Play,,,,,
111,fc7024e855a03603472e20244eadba00,AB_Copper Access Bearer,,,,,
112,fc84dec81a7ef5cd0a887e478e673f4f,AB_Copper Access Bearer,,,,,
113,c74c2d8ad6f4c3f86a3901e789f89c96,z Sales End._V-talk Novel,,,,,
114,c454c58952c9380f8729d124925f9d0d,AB_Copper Access Bearer,,,,,
115,234d44e8bbf0d9a74f95de6c37db5b43,AB_Copper Access Bearer,,,,,
116,ccefd2d1e566acd90f8edae3897e1c27,TR 2016_.Office - Single Play,,,,,
117,7b4bd250660ccde79127f217bcbf4c90,z Sales End_.Office - Single Play,,,,,
118,f69d9a2bd9a378beb0d2a59810d7beba,z Sales End_Biz Cust Phone,,,,,
119,8dafc578a92eb77e6a8fb7839b6f75f9,z Sales End_Platinum-Res SLT Phone,,,,,
120,9cdb42e31bd0c8b804dbc2a802697dcc,AB_Copper Access Bearer,,,,,
121,f22113b7cb278d2648499b63c027c4d1,z Sales End_.Office - Single Play,,,,,
122,91bfc388639616e260a8904ab4b862a8,AB_Copper Access Bearer,,,,,
123,2fda22acf0a071a113272bf8ef858e27,TR 2016_.Office - Single Play,,,,,
124,debb77ec336df18b851fd78f0013e8fd,TR 2016_.Office - Single Play,,,,,
125,95c476a12a77d4c33307493970078ea2,AB_Copper Access Bearer,,,,,
126,3063e07e33173513baf59a50747125d6,TR 2016_.Office - Double Play,,,,,
127,8f0927aea30e82a7777d088cc45c2ff5,AB_Copper Access Bearer,,,,,
128,34d5b9f153dd0cf51493dc75a67bf7e7,z Sales End_Biz SLT Phone,,,,,
129,3efdbd79af3a7489d6326ac6ddcc690f,AB_Copper Access Bearer,,,,,
130,cbf9492a90004efed785ee1a9438f205,AB_Copper Access Bearer,,,,,
131,1cd43c733ac5e5aad81399a6b0d730de,z Sales End_.Office - Double Play,,,,,
132,7a0ae5c07ca1726e592e1b4a53449661,z Sales End_.Office - Single Play,,,,,
133,b61825563e5d790d8014be1b50c02c4a,z Sales End_.Office - Single Play,,,,,
134,06aad4d1814008bb82dff2a00c6c15b8,z Sales End_.Office - Double Play,,,,,
135,3d6232d814f9d2ef5e2623dcdcada1cc,z Sales End_.Office - Double Play,,,,,
136,442faad9c599f005b77b491e174c5541,AB_Copper Access Bearer,,,,,
137,abf6aa85a5540031e63d38ada04ce8ac,TR 2016_.Office - Triple Play,,,,,
138,32471f4c24b1c46ee06b8f877a763567,TR 2016_FTTH Office-Double Ply 1stLine,,,,,
139,585c061210db2ec30816acae534b0431,Home Triple Play with My Phone,,,,,
140,c893ab8420f28b1c67c2f56575f896bf,TR 2016_.Office - Single Play,,,,,
141,e491593dd558799b7ea3143c45366b2e,z Sales End._V-talk Novel,,,,,
142,36bc8bd364316621fcac0ef93a7cb84d,AB_Copper Access Bearer,,,,,
143,0c61b4444535d58f3194444baea16bc0,z Sales End_Biz SLT Phone,,,,,
144,23ec013561550cffb5d7bd69ac4d2d80,AB_Copper Access Bearer,,,,,
145,c47a2602a750c2d56c17b736166e1f49,AB_Copper Access Bearer,,,,,
146,3d3025542b331edf61e07ff02f9efe07,z Sales End_.Office - Single Play,,,,,
147,dbaa2345f60ee29f6daa52326eaa715f,z Sales End_.Office-Single Play,,,,,
148,8c6f07703c3828283bc50310d75453a2,AB_Copper Access Bearer,,,,,
149,7abde66fd77d8977be619d3066918c5b,TR 2016_.Office - Single Play,,,,,
150,74abab18a67a6f10a61e37ece4cded4c,Home Double Play BB with My Phone,,,,,
151,27f5ea6e4f6004be5bd2f12a98442907,TR 2016_.Office - Single Play,,,,,
152,b89701e477a19728d2482b03e9364899,TR 2016_.Office - Single Play,,,,,
153,8ead69a08117a654a69b171bbb134659,TR 2016_.Office - Single Play,,,,,
154,ac3a94899bfd2472e5c43310d0879bea,AB_Copper Access Bearer,,,,,
155,27330368e049e1d4ca9c6987c6a30255,Megaline-Pri+Spous_Silver,,,,,
156,edf98ddbfbf5e490059ea09a25b316fc,z Sales End_Res SLT Phone,,,,,
157,c937ddd15bc5892aecae9f7bd50ce337,z Sales End_Res SLT Phone,,,,,
158,f246a08453396ef03883795e507307cb,AB_Copper Access Bearer,,,,,
159,639025e0f788ffa05e304e4a02b6c6f3,AB_Copper Access Bearer,,,,,
160,d3434b62ae1dfe5fc63af728ddd960c8,Cu_Peo Silver,,,,,
161,b0859195b9650a7f7b1000de431bc76e,z Sales End_Res SLT Phone,,,,,
162,76f51c366069c47cb15d13324f59e5a4,AB_Copper Access Bearer,,,,,
163,d7370b7de61a2dccc022f0cadb81e845,AB_Copper Access Bearer,,,,,
164,61ad08bec55b984dd1acef4f0986150b,Cu_Peo Silver,,,,,
165,3a164d3686681871cf0cf9d8e7bc941a,AB_Copper Access Bearer,,,,,
166,7b7b34a5b9d59f774148138958f59610,z Sales End_.Home - Single Play,,,,,
167,35bdc84fc226d98b23fe25cfea85c114,AB_Copper Access Bearer,,,,,
168,88fb1c0d889abccd8092138fcef02762,AB_Copper Access Bearer,,,,,
169,82e719a1d750d1d127cf505e61be451d,Cu_Peo Silver,,,,,
170,276ed6852f3e00ab8a3486fe88ce73ca,AB_Copper Access Bearer,,,,,
171,f4152db354915a1199a30502f58c4f35,Cu_Peo Silver,,,,,
172,20b730c41e55ab4b745c6e92959f85a6,AB_Copper Access Bearer,,,,,
173,d796e4ae458d7f3a997d66117fefc7ae,AB_Copper Access Bearer,,,,,
174,3a97255d130d0e2ef9ed7912c80345a5,z Sales End_Res SLT Phone,,,,,
175,940cf6dbf39bdeff4546acb18afa07f4,z Sales End_Bronze-Res SLT Phone,,,,,
176,7348718c37a9837837c1a380e2641364,AB_Copper Access Bearer,,,,,
177,239182a0222aff2b85ea70d8adac8a82,AB_Copper Access Bearer,,,,,
178,c9db99a16c9bd165e350e83bb81ec22a,AB_Copper Access Bearer,,,,,
179,2c48c64055d0c4b3c5ed50d2aab93634,z Sales End_Res SLT Phone,,,,,
180,d366288fd135e65ab288cf42488c3a98,z Sales End_Platinum-Res SLT Phone,,,,,
181,3c7eace1f13dcc079b522d213e440cc8,z Sales End_Res SLT Phone,,,,,
182,559698752629d71ade5b54e984e58978,z Sales End_Res SLT Phone,,,,,
183,bd1c0413b8ee92da3ec5ffef9515e849,z Sales End_.Home - Single Play,,,,,
184,2346d3ad17d707b48595a520a70ed360,Cu_Peo Silver,,,,,
185,2898768c8a7e21ff83e12bcf3ecd2249,AB_Copper Access Bearer,,,,,
186,80666c60c61d49900bbb8cec90403b25,AB_Copper Access Bearer,,,,,
187,adf58280d0802cc6dd855e65f08e8c37,z Sales End_Res SLT Phone,,,,,
188,d3c5cad70acd90baf77ffc78d3802c61,AB_Copper Access Bearer,,,,,
189,962497c96d4a5485b9010b4a4d2a2a1e,AB_Copper Access Bearer,,,,,
190,42ed358740d41f10352fd59f4a76e5ca,z Sales End_.Home - Double Play,,,,,
191,31f61faadf026ebd5d89be8d332d3113,AB_Copper Access Bearer,,,,,
192,f3c7c709f8f69ea75d22b839ac0db540,Cu_Lotus,,,,,
193,6d1c2dc1bebe10c372c2c73a211a3b7a,z Sales End_Res SLT Phone,,,,,
194,1af42c395af5fcf3244e6979beddb695,z Sales End_Res SLT Phone,,,,,
195,ac8a69255cf626ec10bf2ba4732e869c,AB_Copper Access Bearer,,,,,
196,67024e781c97890955a7c2c4de38d518,z Sales End_Res SLT Phone,,,,,
197,7740cbfcc1616bf72eac04fb8fcce56a,z Sales End_.Home - Double Play,,,,,
198,3ad01691bfc5e9dc526ee28d6f195574,AB_Copper Access Bearer,,,,,
199,01099829d2f7ba88392bc6417c928cd2,z Sales End_Res SLT Phone,,,,,
200,795049de5385a6e45d0d2138794957b8,Cu_Peo Silver,,,,,
201,da613704ae151714b6dce6dc4d8dc840,AB_Copper Access Bearer,,,,,
202,a3434e3a611ba69b233514072ad2eb79,AB_Copper Access Bearer,,,,,
203,8a91df1e337940cbe19866dcca2f48ca,z Sales End_Platinum-Res SLT Phone,,,,,
204,b75e466f89db5425cfa05828c496c903,AB_Copper Access Bearer,,,,,
205,22b0834e2718881d70660c1e1201895a,AB_Copper Access Bearer,,,,,
206,3bde4ff74b0a8852847af576b81d4e15,AB_Copper Access Bearer,,,,,
207,3155bf517d7ba999f3404e05c69d8cee,AB_Copper Access Bearer,,,,,
208,7069e342b0c8d654186b23a082eff0a0,AB_Copper Access Bearer,,,,,
209,38ae74f500cb64ee06a2bb5eef86ff0f,z Sales End_Res SLT Phone,,,,,
210,af67080b4e079576e67b53436a7d62b2,z Sales End_Res SLT Phone,,,,,
211,b2927611c7dc83dd35d85ae9a7ce643c,AB_Copper Access Bearer,,,,,
212,e1e683743074d22eb31defa4a343ffb1,AB_Copper Access Bearer,,,,,
213,118ef634a9ce028cf58611296f72053e,z Sales End_Res SLT Phone,,,,,
214,bcabfd6dcef7d075c1305309040a091c,z Sales End_Res SLT Phone,,,,,
215,31e60d049f1c2792fffc5c0fdb63193e,z Sales End_Res SLT Phone,,,,,
216,4c8b1ee698ad63a7ba672cb5779a951a,AB_Copper Access Bearer,,,,,
217,ad370ac7ada064864f1a1bc1b94b4a12,z Sales End_Res SLT Phone,,,,,
218,da0691955a960369814b95f20deb7916,z Sales End_.Home - Double Play,,,,,
219,dbbb4011c6cc809850aa01f8ff5fe922,AB_Copper Access Bearer,,,,,
