,ACCOUNT_NUM.hash,Sub_Update_Date,Sub_Update_Status,Sub_Update
0,59322724d5029e5667d19ae164cdc16d,26/06/2020 15:24:00,Promotion Upgrade,SINGLE_PLAY -> DOUBLE_PLAY_PV
1,719f2691cdcfa7bf910e12d8ed681430,22/06/2020 10:59:00,Promotion Upgrade,DOUBLE_PLAY_PV -> TRIPLE_PLAY
2,0e1fe0d01f3a2e9619999a1a634ec427,29/07/2020 20:03:17,Promotion Upgrade,SINGLE_PLAY -> DOUBLE_PLAY_PV
3,3c1fb4f1735abdecb81d29a5e14bad63,22/06/2020 13:20:00,Promotion Downgrade,DOUBLE_PLAY_BV -> SINGLE_PLAY
4,06623c7ba64331f615ff83c5664b71bb,24/06/2020 08:27:00,Promotion Upgrade,SINGLE_PLAY -> DOUBLE_PLAY_BV
5,0461afe42861face4d95019ba70634b0,23/06/2020 13:49:00,Promotion Upgrade,DOUBLE_PLAY_PV -> TRIPLE_PLAY
6,9f95d9c107a917925ad9cee2d99725ac,25/06/2020 18:06:00,Promotion Upgrade,DOUBLE_PLAY_PV -> TRIPLE_PLAY
7,f64edbf9398b281de0b4a75c6022e724,24/06/2020 09:40:00,Promotion Downgrade,DOUBLE_PLAY_BV -> SINGLE_PLAY
8,c4cdbf78ef3d51bc7877a0ad444bd245,24/06/2020 14:21:00,Promotion Upgrade,DOUBLE_PLAY_PV -> TRIPLE_PLAY
9,f4152db354915a1199a30502f58c4f35,25/06/2020 10:03:06,Promotion Downgrade,TRIPLE_PLAY -> DOUBLE_PLAY_PV
10,885bc2d0556727f8b6ee192af12dbbf7,23/07/2020 11:57:00,Promotion Upgrade,DOUBLE_PLAY_PV -> TRIPLE_PLAY
11,6d431382e652af97c903f62fbcfec84d,25/06/2020 17:45:00,Promotion Downgrade,TRIPLE_PLAY -> DOUBLE_PLAY_PV
12,89afaa4be5b953a550ad22952f626563,25/06/2020 18:04:00,Promotion Upgrade,DOUBLE_PLAY_PV -> TRIPLE_PLAY
13,e4ab5d787687a66e1ca4b77aa74f78e9,26/06/2020 09:38:00,Promotion Downgrade,DOUBLE_PLAY_BV -> SINGLE_PLAY
14,2c577d1e0da92022e77f38ed0248c612,02/07/2020 08:19:00,Promotion Upgrade,DOUBLE_PLAY_BV -> TRIPLE_PLAY
15,b9e4c77d0491ea8246e18cebe7531619,27/06/2020 15:59:00,Promotion Downgrade,TRIPLE_PLAY -> DOUBLE_PLAY_PV
16,bd0cc5e96b24df6625fc68cbaf71b555,29/06/2020 11:32:00,Promotion Upgrade,SINGLE_PLAY -> DOUBLE_PLAY_BV
17,826604f55792074aee2537040d82ff5e,30/06/2020 07:50:21,Promotion Downgrade,TRIPLE_PLAY -> DOUBLE_PLAY_BV
18,2da5a522f5b0c6a0a94832625753b0d8,22/07/2020 17:39:00,Promotion Downgrade,TRIPLE_PLAY -> DOUBLE_PLAY_PV
19,8cfdf59322143cd5f64912932303207a,23/07/2020 18:24:00,Promotion Downgrade,TRIPLE_PLAY -> DOUBLE_PLAY_PV
20,56c1ce69ca6072b7733cae70028f72ae,24/07/2020 17:19:00,Promotion Downgrade,TRIPLE_PLAY -> DOUBLE_PLAY_PV
21,9b8346602e41e448af8355cf74ddc43f,17/08/2020 20:37:12,Promotion Upgrade,DOUBLE_PLAY_BV -> TRIPLE_PLAY
22,296a3019fe9e13a6b2414a7f1f24651e,27/07/2020 15:18:00,Promotion Upgrade,SINGLE_PLAY -> DOUBLE_PLAY_BV
24,ef13c3e3304ad36b559ab073b6a20bf3,27/07/2020 16:04:00,Promotion Downgrade,DOUBLE_PLAY_BV -> SINGLE_PLAY
25,05837c9e58679948f8c0d891fa4a0ccc,12/06/2020 11:07:00,Promotion Upgrade,DOUBLE_PLAY_PV -> TRIPLE_PLAY
26,d4107e07c708d4f0b8d7e3ef6beace2e,12/04/2019 15:20:00,Promotion Downgrade,DOUBLE_PLAY_BV -> SINGLE_PLAY
27,37323d9d9f592e0cc090f41477d2c069,12/06/2020 17:32:00,Promotion Upgrade,DOUBLE_PLAY_PV -> TRIPLE_PLAY
28,554c4ca38ac24684ddc6fe4676d79ff3,12/06/2020 18:03:00,Promotion Upgrade,DOUBLE_PLAY_PV -> TRIPLE_PLAY
29,4a53c2f008c7fcb139a7f3b90e2b0f85,03/07/2020 01:03:00,Promotion Upgrade,SINGLE_PLAY -> DOUBLE_PLAY_PV
