,ACCOUNT_NUM.hash,Subscription,Sub_Type
0,719f2691cdcfa7bf910e12d8ed681430,SLT Megaline Triple Play Package,TRIPLE_PLAY
1,3c1fb4f1735abdecb81d29a5e14bad63,SLT Megaline Single Play Package,SINGLE_PLAY
2,9f95d9c107a917925ad9cee2d99725ac,SLT Megaline Triple Play Package,TRIPLE_PLAY
3,f64edbf9398b281de0b4a75c6022e724,SLT Megaline Single Play Package,SINGLE_PLAY
4,c4cdbf78ef3d51bc7877a0ad444bd245,SLT Megaline Triple Play Package,TRIPLE_PLAY
5,f4152db354915a1199a30502f58c4f35,SLT Megaline Double Play (PV) Package,DOUBLE_PLAY_PV
6,e4ab5d787687a66e1ca4b77aa74f78e9,SLT Megaline Double Play (BV) Package,DOUBLE_PLAY_BV
7,2c577d1e0da92022e77f38ed0248c612,SLT Megaline Triple Play Package,TRIPLE_PLAY
8,b9e4c77d0491ea8246e18cebe7531619,SLT Megaline Double Play (PV) Package,DOUBLE_PLAY_PV
9,2da5a522f5b0c6a0a94832625753b0d8,SLT Megaline Double Play (PV) Package,DOUBLE_PLAY_PV
10,8cfdf59322143cd5f64912932303207a,SLT Megaline Triple Play Package,TRIPLE_PLAY
11,56c1ce69ca6072b7733cae70028f72ae,SLT Megaline Double Play (PV) Package,DOUBLE_PLAY_PV
12,9b8346602e41e448af8355cf74ddc43f,SLT Megaline Triple Play Package,TRIPLE_PLAY
13,296a3019fe9e13a6b2414a7f1f24651e,SLT Megaline Double Play (BV) Package,DOUBLE_PLAY_BV
14,ef13c3e3304ad36b559ab073b6a20bf3,SLT Megaline Single Play Package,SINGLE_PLAY
15,05837c9e58679948f8c0d891fa4a0ccc,SLT Megaline Triple Play Package,TRIPLE_PLAY
16,d4107e07c708d4f0b8d7e3ef6beace2e,SLT Megaline Single Play Package,SINGLE_PLAY
17,554c4ca38ac24684ddc6fe4676d79ff3,SLT Megaline Triple Play Package,TRIPLE_PLAY
18,cf0566af26ea548a810c0b801bbee22d,SLT Megaline Triple Play Package,TRIPLE_PLAY
19,d40eb559bca3f5796a8250186a669fef,SLT Megaline Triple Play Package,TRIPLE_PLAY
20,70b2cff1551e282f233ccc1c06c97ca3,SLT Megaline Triple Play Package,TRIPLE_PLAY
21,a1a17097950da3f5a53f41a4089a143c,SLT Megaline Single Play Package,SINGLE_PLAY
22,81b794726ed4bcf61fd0f0e058242058,SLT Megaline Single Play Package,SINGLE_PLAY
23,c68667b1f27b1d6844cb1c670e2d0755,SLT Megaline Triple Play Package,TRIPLE_PLAY
24,2dcd61331bcf51f7c5145d5445fb4a89,SLT Megaline Triple Play Package,TRIPLE_PLAY
25,22b0834e2718881d70660c1e1201895a,SLT Megaline Double Play (BV) Package,DOUBLE_PLAY_BV
26,a1ce57e71f14d64d7f102472e78d8573,SLT Megaline Triple Play Package,TRIPLE_PLAY
27,0f19c9a1290067cbc8b863b3edcdd864,SLT Megaline Double Play (BV) Package,DOUBLE_PLAY_BV
28,ad370ac7ada064864f1a1bc1b94b4a12,SLT Megaline Triple Play Package,TRIPLE_PLAY
29,32d6114d307a0175d024ddb370b2a250,SLT Megaline Single Play Package,SINGLE_PLAY
30,dbbb4011c6cc809850aa01f8ff5fe922,SLT Megaline Triple Play Package,TRIPLE_PLAY
31,b8d75e411aac336e9b7a4dc7d793c8de,SLT Megaline Single Play Package,SINGLE_PLAY
32,bac1869aaca830112a6d925faf1ae49a,SLT Megaline Single Play Package,SINGLE_PLAY
33,6184e258fc549e12c235a2bc10ae297e,SLT Megaline Triple Play Package,TRIPLE_PLAY
34,6d431382e652af97c903f62fbcfec84d,SLT Megaline Triple Play Package,TRIPLE_PLAY
35,561765580fd11861e535c2d10e6f4126,SLT Megaline Double Play (BV) Package,DOUBLE_PLAY_BV
36,85895c8820fea2669cfe6bb13f2b3444,SLT Megaline Single Play Package,SINGLE_PLAY
37,bf8db0134011754167d677f2ec4e158f,SLT Megaline Triple Play Package,TRIPLE_PLAY
38,872dfbf45de7e581358dde3531e41405,SLT Megaline Double Play (PV) Package,DOUBLE_PLAY_PV
39,c1d6ac2b60f776b22b6bb42eb306d699,SLT Megaline Single Play Package,SINGLE_PLAY
40,7d5c2e0e04f42483da19c2d9e9c7746e,SLT Megaline Triple Play Package,TRIPLE_PLAY
41,bb11f3fbacb6e366cf1834be06b99179,SLT Megaline Triple Play Package,TRIPLE_PLAY
42,697ac4abb2f6162a2e0d4d81ffde9c37,SLT Megaline Triple Play Package,TRIPLE_PLAY
