,event_source.hash,ACCOUNT_NUM.hash,CUSTOMER_REF.hash,BB_VAS_Package,BB_VAS_Month_Subscribed,BB_VAS_Rental,BB_VAS_One_Time_Charge,VAS_Count
0,000f86cd741d4e51303065b5f868e5ab,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,"['BB_Report Subscription Charge', 'BB_YouTube Bundle', 'BB Personal Storage']","['2021-03', '2021-05', '2021-21']","[40.0, '155', 16.07]","[0.0, 0.0, 0.0]",3
1,00114ae408aa3b489b3f5d9baf7eb7ac,dd5253ea4772b427cc0e87ff6535b058,bdfc0b71edc02a021536f91cff85f00a,"['BB_Report Subscription Charge', 'BB Personal Storage']","['2021-03', '2021-06']","[40.0, 50.0]","[0.0, 0.0]",2
2,0017f09b5ff65c692de63b95d1edee27,0e1fe0d01f3a2e9619999a1a634ec427,cd3b840fb0da1abcc5bfdebaca6cd761,"['BB_Report Subscription Charge', 'BB_YouTube Bundle', 'BB Personal Storage']","['2021-03', '2021-04', '2021-21']","[40.0, '155', 14.29]","[0.0, 0.0, 0.0]",3
3,00225f30e3f5a4ac69240126f024755f,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,"['BB_Personal Storage', 'BB_SLT BroadBand Service', 'BB_Report Subscription Charge', 'BB_YouTube Bundle', 'BB Personal Storage']","['2018-09', '2018-09', '2021-03', '2021-05', '2021-21']","[0, 8890.0, 40.0, '155', 16.07]","[0.0, 0.0, 0.0, 0.0, 0.0]",5
4,00233a32d63e50b6925ef83a9c8aa390,01f29baefa8fabbd7351cc8260f56323,bb9f9455c1930ff40863113204a38010,['BB Personal Storage'],['2021-21'],[14.29],[0.0],1
5,002cca1db37149525524a0a73bb6c3a7,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,"['BB_Report Subscription Charge', 'BB_YouTube Bundle', 'BB Personal Storage']","['2021-03', '2021-05', '2021-21']","[40.0, '155', 16.07]","[0.0, 0.0, 0.0]",3
6,002d25cd54ee8105ba30913f02cabf8a,4c7a4769273c7a2eb4860a09f6376a70,b30293458c6565bc283bac15b92aa38d,['BB_Report Subscription Charge'],['2021-29'],[40.0],[0.0],1
7,003796c503ba503e92b152acca7aa9e1,cc88c49f580c13600e99dfd9920d05e9,ac995f79a7164b89de084396352b343b,"['BB_Personal Storage', 'BB_SLT BroadBand Service', 'BB_Report Subscription Charge']","['2018-12', '2019-10', '2021-03']","[0, 450.0, 40.0]","[0.0, 0.0, 0.0]",3
8,003c151e741868075b37fd1683c904de,59322724d5029e5667d19ae164cdc16d,efeab37d377b0f32b7f70b159f824652,['BB_Report Subscription Charge'],['2021-07'],[40.0],[0.0],1
9,003de40503f12be04b110634ef7cdb61,daa74e4f9afbb374acc64969fe778808,dffc1c556d835833616d2e57b50ed4b2,"['BB_ Entertainment Unlimited', 'BB_YouTube Bundle', 'BB_Report Subscription Charge']","['2020-10', '2021-04', '2021-09']","['1990', '155', 40.0]","[0.0, 0.0, 0.0]",3
10,003f9f9fce7845ed75666316902514ee,5d853feeb09048ff7abde29cbaa8ec51,afbd221ba37a5d89aaf0d44a472f7ce7,"['BB_ Entertainment Unlimited', 'BB_YouTube Bundle']","['2020-07', '2021-02']","['1990', '155']","[0.0, 0.0]",2
11,00417d5363396444c94e001e61d0336a,8d8472d39b270801553f2d5e7c06fe22,f8743da5d0bff84f9440fb44fce1bdc1,['BB_Report Subscription Charge'],['2021-03'],[40.0],[0.0],1
12,0042eb3bb01aa290e8db5c95c77e244d,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,"['BB_Report Subscription Charge', 'BB_YouTube Bundle', 'BB Personal Storage']","['2021-03', '2021-05', '2021-21']","[40.0, '155', 14.29]","[0.0, 0.0, 0.0]",3
13,004946c192a7aafe74e3ef68dc8b9d15,47cd867e6b0b270d4c6b928319313ccb,7f36cd95f45398e9d1708179771270d6,['BB_SLT BroadBand Service'],['2019-07'],[450.0],[0.0],1
14,0053b5b4e3a748da7aeaa43e127ee40c,9886d2e4e61e33d0a4388667c7bfc68c,25765bc4c44f0184136f85a94d129d56,"['BB_SLT BroadBand Service', 'BB_Personal Storage']","['2017-11', '2019-10']","[0.0, 0]","[0.0, 0.0]",2
15,0058833556d3e2f2deafa5000b761732,01f29baefa8fabbd7351cc8260f56323,bb9f9455c1930ff40863113204a38010,['BB Personal Storage'],['2021-21'],[14.29],[0.0],1
16,006478b07ca47a5c7eff3104972095a4,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,"['BB_SLT BroadBand Service', 'BB_Report Subscription Charge', 'BB_YouTube Bundle', 'BB Personal Storage']","['2018-09', '2021-03', '2021-05', '2021-21']","[1490.0, 40.0, '155', 16.07]","[0.0, 0.0, 0.0, 0.0]",4
17,006d02b6d7b8299cced8c861c4df56f4,16ba7704ef69803d3d41ebde44ad1c06,f7f58f60160d44ff1205c52c8676999f,['BB_Report Subscription Charge'],['2021-01'],[40.0],[0.0],1
18,0070e89436f5dd76184aafe68cda6af0,a1e2b9c2faf456eece4bb507dd044fcd,ae041952f243955016cb60d82413a8bf,['BB_Report Subscription Charge'],['2021-03'],[40.0],[0.0],1
19,0072572543edeaf3ff5902a80cd0e3f9,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,"['BB_Report Subscription Charge', 'BB_YouTube Bundle', 'BB Personal Storage']","['2021-03', '2021-05', '2021-21']","[40.0, '155', 14.29]","[0.0, 0.0, 0.0]",3
20,007662007b72abdb92b814e307cd6ba2,83041b23b6ad1c70326076d1210fa761,ac995f79a7164b89de084396352b343b,"['BB_Personal Storage', 'BB_SLT BroadBand Service', 'BB_Report Subscription Charge']","['2018-07', '2018-12', '2021-23']","[0, 1600.0, 40.0]","[0.0, 0.0, 0.0]",3
21,007d5559672d013063c69b39d90a50c1,cc88c49f580c13600e99dfd9920d05e9,ac995f79a7164b89de084396352b343b,['BB_Report Subscription Charge'],['2021-03'],[40.0],[0.0],1
22,0083e8fb8eb5b9f84880054bbab7c796,af66a61a98c385584e3fccfd8dcc5412,1eca97f3ce8ee40e866677fdccc1d60e,"['BB_Report Subscription Charge', 'BB Personal Storage']","['2021-03', '2021-06']","[40.0, 50.0]","[0.0, 0.0]",2
23,0087f5414a487d99162dc21efa391f08,0e1fe0d01f3a2e9619999a1a634ec427,cd3b840fb0da1abcc5bfdebaca6cd761,"['BB_Personal Storage', 'BB_SLT BroadBand Service', 'BB_Report Subscription Charge', 'BB_YouTube Bundle', 'BB Personal Storage']","['2018-08', '2018-08', '2021-03', '2021-04', '2021-21']","[0, 740.0, 40.0, '155', 14.29]","[0.0, 0.0, 0.0, 0.0, 0.0]",5
24,008ae15ab1ec4d0aba0546c9cc6242f4,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,"['BB_Report Subscription Charge', 'BB_YouTube Bundle', 'BB Personal Storage']","['2021-03', '2021-05', '2021-21']","[40.0, '155', 14.29]","[0.0, 0.0, 0.0]",3
25,0091a0aef7935fd8b16c587ce78be07a,a1e2b9c2faf456eece4bb507dd044fcd,ae041952f243955016cb60d82413a8bf,['BB_Report Subscription Charge'],['2021-03'],[40.0],[0.0],1
26,009afe3de689d2418e2ccec84f8f1b0a,01f29baefa8fabbd7351cc8260f56323,bb9f9455c1930ff40863113204a38010,['BB Personal Storage'],['2021-21'],[14.29],[0.0],1
27,009b5b0269b73892b35a4180d0154308,0e1fe0d01f3a2e9619999a1a634ec427,cd3b840fb0da1abcc5bfdebaca6cd761,"['BB_Report Subscription Charge', 'BB_YouTube Bundle', 'BB Personal Storage']","['2021-03', '2021-04', '2021-21']","[40.0, '155', 14.29]","[0.0, 0.0, 0.0]",3
28,009f305bf85a71012c0e343233e611ba,729e0a0a75015a8908d0989386f4454e,dcd2f80daa0b3d9f09eecd7657921048,['BB_Report Subscription Charge'],['2021-02'],[40.0],[0.0],1
29,00a253bf73b0dc49509c1dbb341f5ea3,01f29baefa8fabbd7351cc8260f56323,bb9f9455c1930ff40863113204a38010,['BB Personal Storage'],['2021-21'],[14.29],[0.0],1
30,00a39802691aa70417e9640ea7aadefa,01f29baefa8fabbd7351cc8260f56323,bb9f9455c1930ff40863113204a38010,['BB Personal Storage'],['2021-21'],[14.29],[0.0],1
31,00a86310d7fab27fe11eedb531595a55,b30b53ebc3474896e19e08b36a4f6751,efeab37d377b0f32b7f70b159f824652,['BB_Report Subscription Charge'],['2021-03'],[40.0],[0.0],1
32,00ad3f787b5eea952e6a0ba3e1c8ef85,710afdfeb5fc2455f2b962bb52e9dd29,7dd4c02953f32718e0e6a8cfb88aa03a,['BB_SLT BroadBand Service'],['2019-07'],[450.0],[0.0],1
33,00b5b3df7b92cf913549709477c79337,4c7a4769273c7a2eb4860a09f6376a70,b30293458c6565bc283bac15b92aa38d,['BB_Report Subscription Charge'],['2021-29'],[40.0],[0.0],1
34,00b8fe8c706c1768ce65d5ed96fbd6a2,a88cf429a820eb62f5859ad4369dd728,9ff074682225431ff063ec64e53fe6e2,['BB_SLT BroadBand Service'],['2019-04'],[1490.0],[0.0],1
35,00c3ebf3f1e83bc2cd27d3207ab3ddb9,01f29baefa8fabbd7351cc8260f56323,bb9f9455c1930ff40863113204a38010,['BB Personal Storage'],['2021-21'],[14.29],[0.0],1
36,00c850a4a3eb3282ed50301186ff3067,01f29baefa8fabbd7351cc8260f56323,bb9f9455c1930ff40863113204a38010,['BB Personal Storage'],['2021-21'],[14.29],[0.0],1
37,00cac488c62812b560f9a951740d0c38,8d8472d39b270801553f2d5e7c06fe22,f8743da5d0bff84f9440fb44fce1bdc1,"['BB_SLT BroadBand Service', 'BB_Personal Storage', 'BB_Report Subscription Charge']","['2018-08', '2019-10', '2021-03']","[499.0, 0, 40.0]","[0.0, 0.0, 0.0]",3
