,event_source.hash,ACCOUNT_NUM.hash,CUSTOMER_REF.hash,FREE_VAS_Package,FREE_VAS_Month_Subscribed,FREE_VAS_Rental,FREE_VAS_One_Time_Charge,VAS_Count
0,00099ff6e175f2b49e7067b20d69e4c3,6b4bfa1e32f513071c6b138a86c3bac9,0552174bba6950523aa45450f6690d02,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
1,00114ae408aa3b489b3f5d9baf7eb7ac,dd5253ea4772b427cc0e87ff6535b058,bdfc0b71edc02a021536f91cff85f00a,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
2,0014bcaff40182200be0e062cf9051cd,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
3,00169293c66899b05ad10054c5f9a9c4,f22295dcdeb9502825e7d6140bbf8542,d4529a42fb85d23b1589bf04a1b637d6,['V_SLT Voice Service'],['2018-11'],[0],[0.0],1
4,0017f09b5ff65c692de63b95d1edee27,0e1fe0d01f3a2e9619999a1a634ec427,cd3b840fb0da1abcc5bfdebaca6cd761,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
5,001921d304962982656b69ee2e5532ea,23fc6e16b1bbdaeae5cfacfc82e91dbc,d019ada037241a2afa1f9d2a9c3de50d,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
6,001a4b5f6d355168a32e9278c2a1bad6,06623c7ba64331f615ff83c5664b71bb,ac995f79a7164b89de084396352b343b,['V_SLT Voice Service'],['2019-01'],[0],[0.0],1
7,001dac5f9dd7ab5c044f61a3ef85d2f4,c71143375d930fc5b584cec62192d1ff,1e349cab50911a97090c6eab866b0863,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
8,0020f63be24f2eae231f5530ef3cf0d2,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
9,00221451f705ebe26051158bb14f567a,95899aea6cbb6ebd518bfd1379314657,907512d4e4b527b659c64934965ce5e6,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
10,002263311c9590ff1f95cac37b673672,d5b3f685fee264650b3de22f2bef0023,5dba81403ff06d5af8d260930300462e,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
11,00233a32d63e50b6925ef83a9c8aa390,01f29baefa8fabbd7351cc8260f56323,bb9f9455c1930ff40863113204a38010,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
12,002394de60185d7f15ef54e336603d50,4a53c2f008c7fcb139a7f3b90e2b0f85,e92e460daa0be0f4b80b0e215cfdf579,['V_SLT Voice Service'],['2018-08'],[0],[0.0],1
