,event_source.hash,ACCOUNT_NUM.hash,CUSTOMER_REF.hash,VAS,VAS_Type,VAS_Count
0,00099ff6e175f2b49e7067b20d69e4c3,6b4bfa1e32f513071c6b138a86c3bac9,0552174bba6950523aa45450f6690d02,"['P_Sisu Connect', 'V_Sisu Connect']","['Other', 'Voice']",2
1,000f86cd741d4e51303065b5f868e5ab,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,"['P-Basic1_Tele Life', 'C_Sisu Connect', 'BB_YouTube Bundle']","['Other', 'Other', 'BB']",3
2,00171279c5c3c6731802925d8409245e,76d9ebdabc9289f652367e82f2371dc8,7ea6989a212eb0a84f9d551b98d73dbb,"['P-Basic1_Tele Life', 'V-Basic1_TeleLife']","['Other', 'Voice']",2
3,0017f09b5ff65c692de63b95d1edee27,0e1fe0d01f3a2e9619999a1a634ec427,cd3b840fb0da1abcc5bfdebaca6cd761,['BB_YouTube Bundle'],['BB'],1
4,00225f30e3f5a4ac69240126f024755f,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,"['P-Basic1_Tele Life', 'C_Sisu Connect', 'BB_YouTube Bundle']","['Other', 'Other', 'BB']",3
5,002263311c9590ff1f95cac37b673672,d5b3f685fee264650b3de22f2bef0023,5dba81403ff06d5af8d260930300462e,"['P_Sisu Connect', 'V_Sisu Connect']","['Other', 'Voice']",2
6,00233a32d63e50b6925ef83a9c8aa390,01f29baefa8fabbd7351cc8260f56323,bb9f9455c1930ff40863113204a38010,"['P-Basic1_Tele Life', 'P_Sisu Connect', 'V_Sisu Connect']","['Other', 'Other', 'Voice']",3
7,002cca1db37149525524a0a73bb6c3a7,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,"['P-Basic1_Tele Life', 'C_Sisu Connect', 'BB_YouTube Bundle']","['Other', 'Other', 'BB']",3
8,003796c503ba503e92b152acca7aa9e1,cc88c49f580c13600e99dfd9920d05e9,ac995f79a7164b89de084396352b343b,"['V_Sisu Connect', 'P_Sisu Connect']","['Voice', 'Other']",2
9,003de40503f12be04b110634ef7cdb61,daa74e4f9afbb374acc64969fe778808,dffc1c556d835833616d2e57b50ed4b2,"['BB_ Entertainment Unlimited', 'BB_YouTube Bundle']","['BB', 'BB']",2
