,event_source.hash,ACCOUNT_NUM.hash,CUSTOMER_REF.hash,Peo_VAS_Package,Peo_VAS_Month_Subscribed,Peo_VAS_Rental,Peo_VAS_One_Time_Charge,VAS_Count
0,00099ff6e175f2b49e7067b20d69e4c3,6b4bfa1e32f513071c6b138a86c3bac9,0552174bba6950523aa45450f6690d02,['E_SLT PeoTV Service'],['2018-08'],[899.0],[0.0],1
1,0014bcaff40182200be0e062cf9051cd,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
2,0020f63be24f2eae231f5530ef3cf0d2,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,"['E_SLT PeoTV Service', 'PEO TV GO_OTT_A-la carte channels']","['2018-08', '2020-08']","[1499.0, 100]","[0.0, 0.0]",2
3,00225f30e3f5a4ac69240126f024755f,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,['BB_PeoTVGO'],['2018-12'],[0],[0.0],1
4,003796c503ba503e92b152acca7aa9e1,cc88c49f580c13600e99dfd9920d05e9,ac995f79a7164b89de084396352b343b,['BB_PeoTVGO'],['2018-07'],[0],[0.0],1
5,003de40503f12be04b110634ef7cdb61,daa74e4f9afbb374acc64969fe778808,dffc1c556d835833616d2e57b50ed4b2,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
6,004946c192a7aafe74e3ef68dc8b9d15,47cd867e6b0b270d4c6b928319313ccb,7f36cd95f45398e9d1708179771270d6,['BB_PeoTVGO'],['2019-10'],[0],[0.0],1
7,0053b5b4e3a748da7aeaa43e127ee40c,9886d2e4e61e33d0a4388667c7bfc68c,25765bc4c44f0184136f85a94d129d56,['BB_PeoTVGO'],['2018-12'],[0],[0.0],1
8,005de991f47be96f65b894564c00ed14,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
9,006478b07ca47a5c7eff3104972095a4,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,['BB_PeoTVGO'],['2019-10'],[0],[0.0],1
10,0070e89436f5dd76184aafe68cda6af0,a1e2b9c2faf456eece4bb507dd044fcd,ae041952f243955016cb60d82413a8bf,['BB_PeoTVGO Revenue code'],['2020-04'],[249],[0.0],1
11,007662007b72abdb92b814e307cd6ba2,83041b23b6ad1c70326076d1210fa761,ac995f79a7164b89de084396352b343b,['BB_PeoTVGO'],['2018-07'],[0],[0.0],1
12,00802d4fd104229876956f33cc994aa4,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
13,0087f5414a487d99162dc21efa391f08,0e1fe0d01f3a2e9619999a1a634ec427,cd3b840fb0da1abcc5bfdebaca6cd761,['BB_PeoTVGO'],['2018-12'],[0],[0.0],1
14,0091a0aef7935fd8b16c587ce78be07a,a1e2b9c2faf456eece4bb507dd044fcd,ae041952f243955016cb60d82413a8bf,['BB_PeoTVGO Revenue code'],['2020-04'],[249],[0.0],1
15,009bf291d7bcf8679d2b54617b5df3a8,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
16,009e0e211ba3eda75c85d22e12b75fb5,06623c7ba64331f615ff83c5664b71bb,ac995f79a7164b89de084396352b343b,['BB_PeoTVGO'],['2019-10'],[0],[0.0],1
17,00ad3f787b5eea952e6a0ba3e1c8ef85,710afdfeb5fc2455f2b962bb52e9dd29,7dd4c02953f32718e0e6a8cfb88aa03a,['BB_PeoTVGO'],['2019-07'],[0],[0.0],1
18,00b8fe8c706c1768ce65d5ed96fbd6a2,a88cf429a820eb62f5859ad4369dd728,9ff074682225431ff063ec64e53fe6e2,['BB_PeoTVGO'],['2019-10'],[0],[0.0],1
19,00c67d66625de3ab6a003af1935c53bc,9fb15a37e248fce31c7d0ed98aaaaaf1,1c0a88f8a358fa2bc743e7f4d5c637c8,"['E_SLT PeoTV Service', 'PEO TV GO_OTT_A-la carte channels']","['2019-11', '2020-08']","[899.0, 100]","[0.0, 0.0]",2
20,00caba6222d7d2b9721cbca86ad2dab6,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
21,00cac488c62812b560f9a951740d0c38,8d8472d39b270801553f2d5e7c06fe22,f8743da5d0bff84f9440fb44fce1bdc1,['BB_PeoTVGO'],['2018-08'],[0],[0.0],1
22,00cc5a820586ce291c0fa4c2a99a4816,0d4098a262a8bed6ac4253f42dfc5769,526ea6c86fb090085b41384fb442f0d3,['E_SLT PeoTV Service'],['2018-08'],[899.0],[0.0],1
23,00cd429d01cb752b3ea6502913e006b7,8d8472d39b270801553f2d5e7c06fe22,f8743da5d0bff84f9440fb44fce1bdc1,['BB_PeoTVGO'],['2019-10'],[0],[0.0],1
24,00cda1bd3f066a5bb186cd002d511ee0,a1e2b9c2faf456eece4bb507dd044fcd,ae041952f243955016cb60d82413a8bf,['BB_PeoTVGO Revenue code'],['2020-04'],[249],[0.0],1
25,00cdc20b1406e0a11c7500d5ef716d20,fac45c3800fe3b9a28cc124f692a9f4a,1a3bd9d23521b899ffc076457ea91710,['E_SLT PeoTV Service'],['2018-09'],[899.0],[0.0],1
26,00cdeaab12b17d169d170538c9af9594,f53c729fa6b9ce93c6b4bb190efe41b3,397c0d12bcc977110b8341d7b446ff0e,['E_SLT PeoTV Service'],['2018-08'],[899.0],[0.0],1
27,00d258d092429ff11d3e3f533f098177,4ddd3dc2b7a3fe4907f9806fc67ab627,2c3117cdabfe39b37d23dd7e04eca3fa,['PEO TV GO_OTT_A-la carte channels'],['2019-12'],[100],[0.0],1
28,00d61dce9abd99df5b4abbde14275cd3,a1e2b9c2faf456eece4bb507dd044fcd,ae041952f243955016cb60d82413a8bf,['BB_PeoTVGO Revenue code'],['2020-04'],[249],[0.0],1
29,00d8701064b317d0df56414026924ffe,cc88c49f580c13600e99dfd9920d05e9,ac995f79a7164b89de084396352b343b,['BB_PeoTVGO'],['2018-12'],[0],[0.0],1
30,00da22c90c84b9283f4c672dcb504551,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,['E_SLT PeoTV Service'],['2018-09'],[899.0],[0.0],1
31,00e460b82d788d6181bb52236775c3e4,95ac85c80ab64e565eaeb12a71855f06,b2fb31d98d2df1204c6c6b93756fa74a,['BB_PeoTVGO'],['2018-08'],[0],[0.0],1
32,00e8a989210727a22ef1d189f8c5aaa3,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,['BB_PeoTVGO'],['2019-10'],[0],[0.0],1
33,00ec6ab382189adfa75e91a1fd40fb41,0e1fe0d01f3a2e9619999a1a634ec427,cd3b840fb0da1abcc5bfdebaca6cd761,['E_SLT PeoTV Service'],['2020-03'],[0],[0.0],1
34,00f5eb3151761528ea0a0b1ad5841dec,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
35,00f9d91d2fbd14503d108b2e4e27a96d,3da406d3682d6e70b8246e1276bc485b,5e4ffcf3ec269bfc80b015a728364d2c,['E_SLT PeoTV Service'],['2018-08'],[690.0],[0.0],1
36,010a0b1b37c5030e97816cab80273266,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,['BB_PeoTVGO'],['2019-10'],[0],[0.0],1
37,010dcfac88a31178a16850ecb144c6e6,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
38,010e2c3d60ddb5f2777c11b9d442dffb,f530fa175c025159cdd33507a7f3d426,23c6da116f5114e9c2f0992496c014a4,"['E_SLT PeoTV Service', 'PeoTVGo_Channel Package']","['2019-11', '2020-08']","[899.0, 350]","[0.0, 0.0]",2
39,0110ddfeeaf6b16eb8330cbc953bb932,0e1fe0d01f3a2e9619999a1a634ec427,cd3b840fb0da1abcc5bfdebaca6cd761,['E_SLT PeoTV Service'],['2018-08'],[690.0],[0.0],1
40,0112282ca6b141b665f33e3ace7d3d1d,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
41,0115989c509f6dfa5f10c65ce495e5f1,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
42,011a772e149e9666efb2219e9092c7d1,2c98d4759ee2eca3f2d966be8739c1fa,9ef419bc0053418c6d847a3777cc0233,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
43,011b93b608759c6ec663b254e30e7441,06623c7ba64331f615ff83c5664b71bb,ac995f79a7164b89de084396352b343b,['BB_PeoTVGO'],['2018-07'],[0],[0.0],1
44,0127d2c70c6e8472f5d6515542ad1925,4c7a4769273c7a2eb4860a09f6376a70,b30293458c6565bc283bac15b92aa38d,['BB_PeoTVGO'],['2019-10'],[0],[0.0],1
45,012d936bded0cf944a32a324adccb8e5,1eac1995044abc023352b7feb8b3f7ad,873d267c5227f63d2154a7084d1ec334,['BB_PeoTVGO'],['2019-05'],[0],[0.0],1
46,013736757d2ddad83cdfaa418921605c,bd9ab5150e50824620e1b6d2c2ae972c,e8ca143307554d84438e54a501f3a79b,['E_SLT PeoTV Service'],['2018-08'],[899.0],[0.0],1
47,015a2a7e36445df3e5ba82b6e40829de,a1e2b9c2faf456eece4bb507dd044fcd,ae041952f243955016cb60d82413a8bf,['BB_PeoTVGO Revenue code'],['2020-04'],[249],[0.0],1
48,0167e43c87471d4efa346908257fe9e2,44224bc1e2e7101c90bbad70dbcc5a6c,f5d47ec8993b2e30d200ec5f1c3bae1b,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
49,01750bdbd47c0f68d0bc33bc9e41dd79,bd0cc5e96b24df6625fc68cbaf71b555,df4bc5da4eaaaab1d937c3fd2a699c3f,['E_SLT PeoTV Service'],['2018-10'],[1499.0],[0.0],1
50,017821b2e253d5b7c5bc3258133422c0,4c7a4769273c7a2eb4860a09f6376a70,b30293458c6565bc283bac15b92aa38d,['BB_PeoTVGO'],['2018-12'],[0],[0.0],1
51,01789768e816cad34ba9ea68130c8a48,a88cf429a820eb62f5859ad4369dd728,9ff074682225431ff063ec64e53fe6e2,['E_SLT PeoTV Service'],['2019-04'],[0],[0.0],1
52,017e4326ee5978c65e6686ce80e31cb8,95ac85c80ab64e565eaeb12a71855f06,b2fb31d98d2df1204c6c6b93756fa74a,['BB_PeoTVGO'],['2019-10'],[0],[0.0],1
53,019abe217c95ad3914a5ebf9829334ef,44224bc1e2e7101c90bbad70dbcc5a6c,f5d47ec8993b2e30d200ec5f1c3bae1b,['PEO TV GO_OTT_A-la carte channels'],['2020-08'],[100],[0.0],1
