,event_source.hash,incoming_country
0,002fb47f60400713c854b0f69ff78c0a,"['PTCL/Pakistan Incoming II', 'DU/UAE Incoming II']"
1,006be321aad541ff1d6c32a43dd7cdde,['PTCL/Pakistan Incoming II']
2,007400db8afa996e788d23986739f3db,"['Vovida/UK Incoming II', 'Orange/France Incoming II', 'DU/UAE Incoming II', 'STC/Saudi Arabia Incoming II']"
3,00768613dcde5cd5723a25a7234b9a9f,"['HGC/HK Incoming II', 'TATA/Canada Incoming II', 'STC/Saudi Arabia Incoming II']"
4,009f305bf85a71012c0e343233e611ba,"['TIS/Italy Incoming II', 'HGC/HK Incoming II', 'IVY Incoming II', 'CTGL/China Incoming II', 'Orange/France Incoming II', 'Lycatel Incoming II', 'BICS/Belgium Incoming II', 'Dhiraagu/Maldives Incoming II', 'DU/UAE Incoming II', 'Ooredoo/Qatar incoming II', 'CYTA/Cyprus Incoming II', 'Optus/AU Incoming II', 'PTCL/Pakistan Incoming II', 'Etisalat/UAE Incoming II', 'Maxis/ MY Incoming II', 'Platinum Incoming II', 'TM/ Malaysia Incoming II', 'Saif Incoming II', 'PCCW Incoming  II', 'Telstra/Australia Incoming II', 'Skype/LUX Incoming II', 'GTS Incoming II', 'Singtel/ SP Incoming II', 'STC/Saudi Arabia Incoming II']"
5,00cc5a820586ce291c0fa4c2a99a4816,"['PTCL/Pakistan Incoming II', 'Orange/France Incoming II', 'DU/UAE Incoming II']"
6,00d4474d7b8abcb71cc114a564769182,['Maxis/ MY Incoming II']
7,0114c953f918a091d5b1456b610ae529,['Nowtel Incoming II']
8,011adeeaef79aeac706a2e7fc225e8f8,"['Orange/France Incoming II', 'Optus/AU Incoming II', 'Telstra/Australia Incoming II', 'GTS Incoming II', 'STC/Saudi Arabia Incoming II']"
9,013736757d2ddad83cdfaa418921605c,"['Maxis/ MY Incoming II', 'CTGL/China Incoming II']"
10,013a894927cf011c702e75a9b9336f95,['Telstra/Australia Incoming II']
11,0152d7723febc8f6913e91db4887a75e,"['TIS/Italy Incoming II', 'Maxis/ MY Incoming II', 'DU/UAE Incoming II', 'Orange/France Incoming II', 'Lycatel Incoming II', 'CETIN Incoming II', 'STC/Saudi Arabia Incoming II']"
12,0201ee9b60de662cdd16c885f178feea,"['Platinum Incoming II', 'Maxis/ MY Incoming II', 'DU/UAE Incoming II', 'CTGL/China Incoming II', 'Orange/France Incoming II', 'Telstra/Australia Incoming II', 'Singtel/ SP Incoming II', 'STC/Saudi Arabia Incoming II']"
13,02567960cda70e799d691cf9e2ac479a,['Maxis/ MY Incoming II']
14,027e6eb407d981fd043cbc08c3cdee8d,"['Nowtel Incoming II', 'IVY Incoming II', 'Orange/France Incoming II', 'Telstra/Australia Incoming II', 'Skype/LUX Incoming II', 'STC/Saudi Arabia Incoming II']"
15,029b57551e576f248ff07c849db52fd6,"['IVY Incoming II', 'DU/UAE Incoming II', 'GTS Incoming II']"
16,029c7817843470cd12b4b673d95ef6e3,"['Maxis/ MY Incoming II', 'DU/UAE Incoming II', 'TATA/Canada Incoming II', 'Optus/AU Incoming II', 'Orange/France Incoming II', 'Telstra/Australia Incoming II', 'Skype/LUX Incoming II', 'GTS Incoming II', 'Singtel/ SP Incoming II', 'PTCL/Pakistan Incoming II', 'STC/Saudi Arabia Incoming II']"
17,02ab436dc7b5a63579a44641db682ab1,"['Telstra/Australia Incoming II', 'DU/UAE Incoming II']"
18,030c3939f3b4a2f1178df54fdee3228d,"['Maxis/ MY Incoming II', 'Orange/France Incoming II', 'Telstra/Australia Incoming II', 'STC/Saudi Arabia Incoming II']"
19,03202488d4fb7ca83e0b49378f1ffaca,['Telstra/Australia Incoming II']
20,03b5d13a7949d99e793afdfe07dd73cb,"['Etisalat/UAE Incoming II', 'HGC/HK Incoming II', 'DU/UAE Incoming II', 'Orange/France Incoming II', 'Telstra/Australia Incoming II', 'PTCL/Pakistan Incoming II', 'STC/Saudi Arabia Incoming II']"
21,03d189e698bac53767b82645f582d574,"['Platinum Incoming II', 'CTGL/China Incoming II', 'KT/Korea Incoming II', 'Orange/France Incoming II', 'Telstra/Australia Incoming II', 'PTCL/Pakistan Incoming II']"
22,04465eefdf7140fe9ff36e9b8e98b09b,['Telstra/Australia Incoming II']
23,045122103640fc1c55efba4add913dcc,"['Orange/France Incoming II', 'Skype/LUX Incoming II']"
24,0480fbc41f1ab2d73ea50c0dda53b89e,"['Platinum Incoming II', 'Maxis/ MY Incoming II', 'DU/UAE Incoming II', 'Orange/France Incoming II', 'Telstra/Australia Incoming II', 'Optus/AU Incoming II', 'Lycatel Incoming II', 'Singtel/ SP Incoming II', 'PTCL/Pakistan Incoming II', 'STC/Saudi Arabia Incoming II']"
25,0484a206a68e77ce89bdac2215735418,['DU/UAE Incoming II']
26,04ec40da46c6ca65064a371a0a695f74,"['DU/UAE Incoming II', 'IVOCO Incoming II', 'Bharathi/India incoming II', 'Optus/AU Incoming II', 'Telstra/Australia Incoming II', 'Orange/France Incoming II', 'Singtel/ SP Incoming II', 'STC/Saudi Arabia Incoming II']"
27,05401b227d4dd007a258cd9fdad008f2,"['Platinum Incoming II', 'Maxis/ MY Incoming II', 'CTGL/China Incoming II', 'DU/UAE Incoming II', 'KT/Korea Incoming II', 'Orange/France Incoming II', 'Telstra/Australia Incoming II', 'Optus/AU Incoming II', 'PTCL/Pakistan Incoming II', 'STC/Saudi Arabia Incoming II']"
28,0541411ea78d692ada524e8734da6bb2,"['Maxis/ MY Incoming II', 'DU/UAE Incoming II', 'Vovida/UK Incoming II', 'Orange/France Incoming II', 'Telstra/Australia Incoming II', 'TM/ Malaysia Incoming II', 'STC/Saudi Arabia Incoming II']"
29,0550aa60e5d21395371c54b785975cce,"['Platinum Incoming II', 'Maxis/ MY Incoming II', 'DU/UAE Incoming II', 'Orange/France Incoming II', 'Telstra/Australia Incoming II', 'STC/Saudi Arabia Incoming II']"
30,057ba07c85b6597b1394da8c15b98008,"['Maxis/ MY Incoming II', 'DU/UAE Incoming II', 'Optus/AU Incoming II', 'PCCW Incoming  II', 'STC/Saudi Arabia Incoming II']"
31,057badd47e762d5d9b01aa4228b8f457,"['Telstra/Australia Incoming II', 'Skype/LUX Incoming II']"
32,0598ebdbe1c730120b3c5504c9d90a9f,"['Maxis/ MY Incoming II', 'DU/UAE Incoming II', 'CTGL/China Incoming II', 'Optus/AU Incoming II', 'Orange/France Incoming II', 'Telstra/Australia Incoming II', 'STC/Saudi Arabia Incoming II']"
33,05e0cba81525bce9a685b7adf6bcbb7f,"['Nowtel Incoming II', 'CTGL/China Incoming II', 'STC/Saudi Arabia Incoming II', 'GTS Incoming II']"
34,05ecf6000169d49d54a964d3cca35459,"['DU/UAE Incoming II', 'CTGL/China Incoming II', 'Ooredoo/Qatar incoming II']"
