,event_source.hash,outgoing_country,Revenue_on_Usage_Cumulative
0,007400db8afa996e788d23986739f3db,['U.K.'],3033
1,009f305bf85a71012c0e343233e611ba,['Australia - Mobile'],234300
2,00cc5a820586ce291c0fa4c2a99a4816,['India'],124020
3,011adeeaef79aeac706a2e7fc225e8f8,['Australia - Mobile'],1800
4,0201ee9b60de662cdd16c885f178feea,['Italy - Mobile'],129300
5,027e6eb407d981fd043cbc08c3cdee8d,['France'],2217
6,029b57551e576f248ff07c849db52fd6,"['U.K.', 'Oman-Mobile ']",261983
7,029c7817843470cd12b4b673d95ef6e3,"['Australia - Mobile', 'Australia']",40533
8,03b5d13a7949d99e793afdfe07dd73cb,"['United Arab Emirates', 'United Arab Emirates  - Mobile']",1477002
9,03bb72cb05e85b1d3f1d62291ad5804c,['Australia - Mobile'],5400
10,0480fbc41f1ab2d73ea50c0dda53b89e,['Australia'],1090716
11,04ec40da46c6ca65064a371a0a695f74,['Australia - Mobile'],246000
12,0541411ea78d692ada524e8734da6bb2,['Italy - Mobile'],55500
13,0598ebdbe1c730120b3c5504c9d90a9f,['Cyprus - Mobile'],39167
14,063f3be0a6af9f777434429112257c03,['Italy'],150348
15,06b3c8e2e60e881a571273d35220b8a5,['Australia'],164034
16,0720ca296bbcf06064fb86ec563e848b,['Malaysia'],7600
17,076b3a0567c1542e3547b823cd6e046b,"['Japan - Mobile', 'Qatar - Mobile']",817665
18,07f6d0cd07ac3e203cc248dbca90a990,"['Maldive Islands', 'Norway - Mobile']",188100
19,084c095166a65cb4b96bb72ecc802dd0,['India'],4030
20,09f8b3fd9047f40becb93d4c3caf3d3d,"['Australia - Mobile', 'Taiwan', 'Singapore']",503500
21,0a1e44aa19bed265fbae7478a126b252,['United Arab Emirates'],252668
22,0a5c2d7f6617bcdba6360cd0d1b25578,['Jordan - Mobile'],87500
23,0bac035db2a16b11b449063577f02f4f,['Australia - Mobile'],16500
24,0c059226310dd52f0f5b82951971cc93,['Australia - Mobile'],10200
25,0c20af486e4bedba32bf9770fbc45fb3,"['U.K.', 'Australia', 'U.S.A']",964193
26,0d58d0343683e03b754aa3817468395e,['Australia'],5367
27,0de06a2cc05a13da6344d010532e4fb1,['United Arab Emirates  - Mobile'],2333
28,0e0545ed88b2f49f753d30dc242f45bb,['Canada'],94815
29,0e4d0edba56dc555531dcbff8936c4cb,"['UK - Mobile', 'Australia', 'Italy - Mobile']",334067
30,0e93cbe9089aff59783f78f649d6f303,"['Australia - Mobile', 'Italy - Mobile']",95400
31,0f1c21c06ec8b4e9179f702b34efe103,['Australia'],2450
32,0f59d45888d46bd57b1b58a475f439d9,"['Australia', 'Oman-Mobile ']",4049700
33,0f61913d358d252f556dfd93a2d9b41b,['India'],13260
34,10bc4980dc3a344770a0d3e01fa8fbc2,['Australia - Mobile'],10200
35,10c9a7fad7871f102e0bb1fde4262773,"['Germany', 'Malaysia']",1693317
36,1130f365a3683da739058139f369ccc5,"['Japan', 'Italy']",25352
37,124890dad6bc1a3d2297079fe56cc9bf,['New Zealand'],950800
38,12495a1ade27b9e8ecb21d37ea056400,['Qatar - Mobile'],708749
39,128f1fddf621dba21dbe814395eb2d20,['Canada'],1620839
40,132576053423f9f8bd9aeacfd4436930,['United Arab Emirates  - Mobile'],46334
41,14895c1aef7d3b7c234bb946a35c2ee5,['U.K.'],239050
42,1545985f4973a566e435592eea8a84fb,['U.S.A'],45324
43,154aa58fd560d93f6435caeaf7ba4db5,['U.S.A'],1388
44,155e084a860a8e011669338870e8bc7f,"['Australia', 'Tunisia']",303867
45,15d5e1896fc1afc13074efcd398edf8e,['U.K.'],19249
