,Location_Identifier,User_Count
0,C300MHT-NE-NODE815246,2
1,C300MIDH-IDJ-NODE1106554,9
2,C300MKI-NODE1066816,17
3,C300MNW-MEE-NODE1888775,7
4,C300MTP-NODE870091,2
5,C300MVH-NODE987404,1
6,MA5603TAD-SRV-NODE1022499,2
7,MSAG5200-ISLBZ-NODE43588,3
8,MSAG5200-ISLGE-NODE557798,2
9,MSAG5200-ISLHC-NAP-NODE47872,2
10,MSAG5200-ISLHK-OCC-NODE50656,5
11,MSAG5200-ISLHNT-NODE42385,1
12,MSAG5200-ISLHO-NODE52469,1
13,MSAG5200-ISLHZ-BRL-NODE47191,3
14,MSAG5200-ISLIDH-KGW-NODE619449,27
15,MSAG5200-ISLJA-PKV-NODE46042,6
16,MSAG5200-ISLMB-PSL-NODE48226,1
17,MSAG5200-ISLMH-POL-NODE49145,3
18,MSAG5200-ISLMLT-VMD-NODE414509,8
19,MSAG5200-ISLMT-AVR-NODE46716,38
20,MSAG5200-ISLMV-GDM-NODE48249,124
21,MSAG5200-ISLMX-NODE539182,4
22,MSAG5200-ISLND-PHG-NODE50024,77
23,MSAG5200-ISLNL-HGW-NODE49128,1
24,MSAG5200-ISLPC-AGT-NODE48003,9
25,MSAG5200-ISLPK-PNU-NODE613602,1
26,MSAG5200-ISLSI-DWS-NODE52072,25
27,MSAG5200-ISLTBT-TLJ-NODE48724,1
28,MSAG5200-ISLVA-NKM-NODE48196,6
29,MSAG5200-ISLWI-NWT-NODE48520,1
30,MSAG5200-ISLWKN-SWP-NODE47348,2
31,MSAG5200-ISLWM-NODE43288,1
32,MSAG5200-ISLWY-MDB-NODE50622,1
33,MSAG5200BG-NODE43139,20
34,MSAG5200MGE-NODE42838,1
35,MSAG5200PH-AKG-NODE43163,57
36,UA5000(IPMB)IM-NODE39153,1
37,UA5000(IPMB)SL-NODE38534,30
38,ZXDSL9806H-ISLAG-PNP-NODE52976,4
39,ZXDSL9806H-ISLKE-NRP-NODE49573,2
40,ZXDSL9806H-ISLKL-PRC-NODE48236,9
