,Location_Identifier,User_Count
0,C300MHE-DMD-NODE15221561,3
1,C300MHT-NE-NODE8152461,5
2,C300MIDH-IDJ-NODE11065541,32
3,C300MKI-NODE10668164,39
4,C300MNW-MEE-NODE18887751,34
5,C300MPDT-NODE13379431,1
6,C300MTP-NODE8700911,6
7,C300MVH-NODE9874041,2
8,MA5603TAD-SRV-NODE10224991,3
9,MSAG5200-ISLBZ-NODE435881,32
10,MSAG5200-ISLGE-NODE5577981,5
11,MSAG5200-ISLHC-NAP-NODE478721,2
12,MSAG5200-ISLHK-OCC-NODE506561,8
13,MSAG5200-ISLHNT-NODE423851,9
14,MSAG5200-ISLHO-NODE524692,3
15,MSAG5200-ISLHZ-BRL-NODE471911,6
16,MSAG5200-ISLIDH-KGW-NODE6194491,84
17,MSAG5200-ISLJA-PKV-NODE460421,12
18,MSAG5200-ISLMB-PSL-NODE482261,5
19,MSAG5200-ISLMH-POL-NODE491451,29
20,MSAG5200-ISLMLT-VMD-NODE4145091,16
21,MSAG5200-ISLMT-AVR-NODE467161,98
22,MSAG5200-ISLMV-GDM-NODE482491,221
23,MSAG5200-ISLMX-NODE5391821,11
24,MSAG5200-ISLND-PHG-NODE500241,183
25,MSAG5200-ISLNL-HGW-NODE491281,2
26,MSAG5200-ISLPC-AGT-NODE480031,31
27,MSAG5200-ISLPK-PNU-NODE6136021,1
28,MSAG5200-ISLPRN-NODE427901,4
29,MSAG5200-ISLSI-DWS-NODE520721,39
30,MSAG5200-ISLTBL-NODE5577771,4
31,MSAG5200-ISLTBT-TLJ-NODE487241,1
32,MSAG5200-ISLVA-NKM-NODE481961,14
33,MSAG5200-ISLWI-NWT-NODE485201,6
34,MSAG5200-ISLWKN-SWP-NODE473481,5
35,MSAG5200-ISLWY-MDB-NODE506221,5
36,MSAG5200BG-NODE431391,53
37,MSAG5200HPG-NODE432141,5
38,MSAG5200MGE-NODE428381,2
39,MSAG5200PH-AKG-NODE431631,85
40,MSAG5200PK-NODE438641,4
41,UA5000(IPMB)IM-NODE391531,4
42,UA5000(IPMB)SL-NODE385341,54
43,ZXDSL9806H-ISLAG-PNP-NODE529761,7
44,ZXDSL9806H-ISLKE-NRP-NODE495731,5
45,ZXDSL9806H-ISLKL-PRC-NODE482361,17
