,ACCOUNT_NUM.hash,Voice_Package,Voice_Month_Subscribed,Voice_Rental,Voice_One_Time_Charge,is_Megaline_Package,is_FTTH_Package,is_VAS,FREE_or_PAID,is_Subscription,Package_Count
0,0000074725a3fbaab5b3440a4bf207ec,,,,,,,YES,PAID,,1
1,00041993d12272ae73f175ca1db8a6ed,,,,,,,YES,PAID,,1
2,000569f4d74836b8f6f97a69852db8bd,,,,,,,YES,PAID,,1
3,000726eec7faa37f12be33be6507c4e5,,,,,,,YES,PAID,,1
4,000d21cb6df634aeba13e16e9561efb1,,,,,,,YES,PAID,,1
5,000e955ebdf87d3fc444377776e1055b,,,,,,,YES,PAID,,1
6,00126426420cdb4b1fe951ce5bb3c05a,,,,,,,,PAID,,1
7,0012a9d86f5ebe313d0e28b3bb7ff6c6,,,,,,,YES,PAID,,1
8,00137fd1a48545b77ff6f54a3cc0f4ad,,,,,,,YES,PAID,,1
9,0018672fd7b535187ca970334d3ad46a,,,,,,,YES,PAID,,1
10,001f5c98965ac37ef92a53425befe5ab,,,,,,,YES,PAID,,1
11,00205eb1a316b2d8f6edd5661f11b27e,,,,,,,YES,PAID,,1
12,0020c191c419a247bf8424566e0fb0d6,,,,,,,YES,PAID,,1
13,002249bfcdd3f73d7f0999f9a026c0f2,,,,,,,YES,PAID,,1
14,0025824a3bfd62f2e73faf4218990054,,,,,,,YES,PAID,,1
15,0028e5736885e88fbeb30f516877f14f,,,,,,,YES,PAID,,1
16,0029244514c956ce3dd6d248f2b85fa0,,,,,,,YES,PAID,,1
17,002d51d45edccb91f4d00fd3b031d2e7,,,,,,,YES,PAID,,1
18,0030e797efd9b75122e42c40111156d0,,,,,,,YES,PAID,,1
19,0031f5aaa8e02267538c81977257a3df,,,,,,,YES,PAID,,1
20,00332a599b32bb2d727d4a19179f2265,,,,,,,YES,PAID,,1
21,00344447b5da95a2168cc2808ffd402a,,,,,,,YES,PAID,,1
22,0036973c1e2a19db66e5257efe85af8b,,,,,,,YES,PAID,,1
23,00378ab96a6ebdc1717fb6d6867b6d69,,,,,,,YES,PAID,,1
24,003b9fb01f296b23d6727c322011db66,,,,,,,YES,PAID,,1
25,003c8c8721c9e17c5e34ee6dd7507f60,,,,,,,YES,PAID,,1
26,003ea86b1e259f26708aaeaf9c320eab,,,,,,,YES,PAID,,1
27,003fb95d1a37477cabadf4789c6d50ca,,,,,,,YES,PAID,,1
28,0041da05f20374de3d42eda7205b58bb,,,,,,,YES,PAID,,1
29,0049ad6fb1accce4f475133bedfbdcf5,,,,,,,YES,PAID,,1
30,0049bc1f0174e8c9618aa75a85d69a0b,,,,,,,YES,PAID,,1
31,004c06ea570c0deb3228f3b9de853b32,,,,,,,YES,PAID,,1
32,004ea6d04fed52efa5d396ce4baa61c5,,,,,,,YES,PAID,,1
33,005209f86f0904ee96ae85f6c46f19ba,,,,,,,YES,PAID,,1
34,0053a0a92c64ca7cce2e7eabef8399fe,,,,,,,YES,PAID,,1
35,0054e4c6174ac75890c3e5bc3d9abb1d,,,,,,,YES,PAID,,1
36,00550379c51e75e5f30436dc6ed1fb50,,,,,,,YES,PAID,,1
37,00560f6e061e8aac32c12ad978d553eb,,,,,,,YES,PAID,,1
38,0056954ad6fad9cfe59aa4761ce720ba,,,,,,,YES,PAID,,1
39,005856beb8c95bca4da2a67140828fbd,,,,,,,YES,PAID,,1
40,005ade79c66e76f2eb3800e451848f0d,,,,,,,YES,PAID,,1
41,005bb01778c9b283afa7aff9bd753d55,,,,,,,YES,PAID,,1
42,005d4ffcd7d6ef7a7892bca46366bf4b,,,,,,,YES,PAID,,1
43,005f71caf66d1405b93fc38c0d9cdd99,,,,,,,YES,PAID,,1
44,0060d94653febb767603d42b099e4ce2,,,,,,,YES,PAID,,1
45,006a16d8720f9b8ce01b80d198eb495f,,,,,,,YES,PAID,,1
46,006c63424d3a5ce7fe833e9f00f64313,,,,,,,YES,PAID,,1
47,006ff446f4e8c78e943f8ea7ee9f7388,,,,,,,,PAID,,1
48,007229a6cde9f7dd9ca6ba53a03ac64e,,,,,,,,PAID,,1
49,007243dfcc0a2e1cded20406d3e38519,,,,,,,YES,PAID,,1
50,0072ca410a9a0acbd6d53512dbb37620,,,,,,,YES,PAID,,1
51,0074454e598ba9fcedfaaffe31096a6c,,,,,,,YES,PAID,,1
52,00782e445981e1accc4bf60f49d893d1,,,,,,,YES,PAID,,1
53,00785ed4452baea0fbf160d36941978f,,,,,,,YES,PAID,,1
54,0081227b9e2c572a60cf000f9806c844,,,,,,,YES,PAID,,1
55,00822c95beb13e95ca8c5499df50f043,,,,,,,YES,PAID,,2
56,00825ff26382df92c3a3353a5946d499,,,,,,,YES,PAID,,1
57,00828be316ea3bb8d233a55c3bca3a32,,,,,,,YES,PAID,,1
58,00848b31464b6c6187be45956b6922d5,,,,,,,YES,PAID,,1
59,008bca99f0cccb5d07d4f03744709cf8,,,,,,,,PAID,,2
60,008c5a510dc85d7218c86bd7dc27c75c,,,,,,,YES,PAID,,1
61,008ca7f6291580781f334e53dde50162,,,,,,,YES,PAID,,1
62,008d58b9ad36742148f77e620c03bf09,,,,,,,YES,PAID,,1
63,008ea663d1f3a6035b17dd5c2b6642ec,,,,,,,YES,PAID,,1
64,008f25b10eef55fe40216844d3c0b4b2,,,,,,,YES,PAID,,1
65,008fa9bad0f896522e080bf542dfd86b,,,,,,,YES,PAID,,1
66,009088b1f5e945bc005abac1db49c536,,,,,,,YES,PAID,,1
67,00916674385a5bcc59b3801ffa577381,,,,,,,YES,PAID,,1
68,0092f6aeb3b097f8dd34e1d0c23b1697,,,,,,,YES,PAID,,1
69,00939504203bedacd790df20f750dd9e,,,,,,,YES,PAID,,1
70,0097f7d73c412c18e80d282288bf7399,,,,,,,YES,PAID,,1
71,009980725d37204a0531d8eb14d8673d,,,,,,,YES,PAID,,1
72,009aaa6ebf433bfc684548a1278df8bf,,,,,,,YES,PAID,,1
73,009dbded1dd61b6155ed412f370170b8,,,,,,,YES,PAID,,1
74,009ef2d25878cecee8d2c8115d26f4ab,,,,,,,YES,PAID,,3
75,009f4f231c214334da001a11a85659c0,,,,,,,YES,PAID,,1
76,009f8579b6fcaf11bac2304a1e53fee8,,,,,,,,PAID,,1
77,009fdca163372f7a1a51de8c075bfa72,,,,,,,,PAID,,2
78,00a1e2fb795d99307a7aa6aa05c8da19,,,,,,,YES,PAID,,1
79,00a1fe682eab22496cf6299ce3c9ff59,,,,,,,YES,PAID,,1
80,00a4041b48811756a79143c017407a95,,,,,,,YES,PAID,,1
81,00a433c7f50405007f2cfcc60ec1759f,,,,,,,YES,PAID,,1
82,00a53e7059bfad74b286b679a2649033,,,,,,,YES,PAID,,1
83,00a6daff108585a6db8d7fb3804cd272,,,,,,,YES,PAID,,1
84,00a92b055c64a3980f4765e547e8c4af,,,,,,,YES,PAID,,1
85,00aa2d32c7531a8dc3b1f8e834b54d43,,,,,,,YES,PAID,,1
86,00aa3f84f7ffc266485913fe48ebd5d4,,,,,,,YES,PAID,,1
87,00ad75952049b1143b0cdc8608cb0b53,,,,,,,YES,PAID,,1
88,00ae18626900b3216324b4a7703f1f49,,,,,,,YES,PAID,,1
89,00aecbfed9e7931e06bf161ab1c25512,,,,,,,YES,PAID,,1
90,00b05be7ab60a17f917e9bafec2d82c0,,,,,,,YES,PAID,,1
91,00b09c6e9d718917a41fce4d47e9b9e6,,,,,,,YES,PAID,,1
92,00b0eecac49dcee3ba1762b89d541212,,,,,,,YES,PAID,,1
93,00b91f74959511236013204bee1ba3ac,,,,,,,YES,PAID,,1
94,00c149422bafd7470c822db11c043d5b,,,,,,,YES,PAID,,1
95,00c8bc43ff70a45aefbc08c9ba3639ac,,,,,,,YES,PAID,,1
96,00c9d751de4991e9d7822772b491688d,,,,,,,YES,PAID,,1
97,00ccee4a0e9fb82a3114dc2c1529f010,,,,,,,YES,PAID,,1
98,00cf3c59ad9ed4041a4680d23c6e5dbd,,,,,,,YES,PAID,,1
99,00d06b36a5ec145c5d0c0f453f9dcf53,,,,,,,YES,PAID,,1
100,00d1b400d055abcc70f61f11450b36ee,,,,,,,YES,PAID,,1
101,00d54379832fa197160f474c79ae74da,,,,,,,YES,PAID,,1
102,00d5bb23e73e25b7b32d3ea8c5221dbd,,,,,,,,PAID,,1
103,00d87264e335cb21bc7550cd05e9e3c3,,,,,,,YES,PAID,,1
104,00da2e5e360397a94ef77757d6268a8c,,,,,,,YES,PAID,,1
105,00da514d3c1f5d8ba4c2749d66a5edd6,,,,,,,YES,PAID,,1
106,00dc29f4f4c62891671ecdc43e35bdc4,,,,,,,YES,PAID,,1
107,00dfaae77ce406e4e3a03bf4ab62afeb,,,,,,,YES,PAID,,1
108,00dffd9a12fb0d8f34cd236fc3d9afb5,,,,,,,YES,PAID,,1
109,00e1e9f203534149427ff3725dce31ba,,,,,,,YES,PAID,,1
110,00e234498fbba5f93719bcc337cccc7a,,,,,,,YES,PAID,,1
111,00e40691704817dd340c718673f75e10,,,,,,,YES,PAID,,1
112,00e6e560ff8c5ab696653d01f1cc8678,,,,,,,YES,PAID,,1
113,00e7e54e36a2b64d71ef22c7f5cdbcb2,,,,,,,YES,PAID,,1
114,00e931461a879b0e107612af5db72122,,,,,,,YES,PAID,,1
115,00ee9ee1429dd4450bf3a9813a3e947b,,,,,,,YES,PAID,,1
