,ACCOUNT_NUM.hash,CUSTOMER_REF.hash,OFFNET_INCOMING_Scaled,OFFNET_INCOMING_Categorical,OFFNET_INCOMING_Outlier,OFFNET_OUTGOING_Categorical,OFFNET_OUTGOING_Scaled,OFFNET_OUTGOING_Outlier,ONNET_INCOMING_Categorical,ONNET_INCOMING_Scaled,ONNET_INCOMING_Outlier,ONNET_OUTGOING_Categorical,ONNET_OUTGOING_Scaled,ONNET_OUTGOING_Outlier,IDD_INCOMING_Categorical,IDD_INCOMING_Scaled,IDD_INCOMING_Outlier,IDD_incoming_country,IDD_OUTGOING_Categorical,IDD_OUTGOING_Scaled,IDD_OUTGOING_Outlier,IDD_outgoing_Cumulative_Revenue,IDD_outgoing_country,Peo_TV_Package,PEO_TV_Categorical,PEO_TV_Scaled,event_source.hash,BB_Categorical,BB_Scaled,BB_Package,TARIFF_NAME,BB_Medium,Location_Identifier,GENDER,BIRTH_YEAR,AGE,ONNET_Overall_Categorical,OFFNET_Overall_Categorical,IDD_Overall_Categorical,VOICE_Categorical,Subscription,Sub_Type,Sub_Usage,Sub_Type_State,Megaline_Package,Megaline_Month_Subscribed,Megaline_Rental,Megaline_One_Time_Charge,Package_Type,FTTH_Package,FTTH_Month_Subscribed,FTTH_Rental,FTTH_One_Time_Charge,VAS_Package,VAS_Month_Subscribed,VAS_Rental,VAS_One_Time_Charge,Product_Type,MEDIUM,Sub_Update_Date,Sub_Update_Status,Sub_Update,BB_Extra_GB_Usage_Times,BB_Extra_GB_Month_vs_Rental,BB_Extra_GB_Purchased_Scaled,BB_Extra_GB_Purchase_Categorical,BB_Extra_GB_Amount,Peo_Extra_Channels_Cumulative_Rental,Peo_Extra_Channels_Month_vs_Rental,Peo_Extra_Channels_Purchased_Scaled,Peo_Extra_Channels_Purchased_Categorical,Having_Insurance,Having_Senior_Citizen_Scaled,Having_Senior_Citizen,Having_Kids_at_Home_Scaled,Having_Kids_at_Home,SMEs_Scaled,SMEs,Having_Teenagers_Students_Scaled,Having_Teenagers_Students,Having_Working_Professionals_Scaled,Having_Working_Professionals,Having_Family_Member_Abroad_Scaled,Having_Family_Member_Abroad,Tamil_Customer,Peo_Packages_if_Senior_Citizen,Peo_Packages_if_Kids,Peo_Packages_if_Teenager_Students,Peo_Package_if_Working_Professionals,BB_Package_if_Working_Professionals,BB_Packages_if_Teenager_Students,BB_Packages_if_SMEss,VAS_if_Kids,VAS_if_Teenager_Students,VAS_if_Working_Professionals,IDD_if_Family_Member_Abroad
0,95899aea6cbb6ebd518bfd1379314657,907512d4e4b527b659c64934965ce5e6,0.0858352956567242,LOW,NO,LOW,0.0488127943485086,NO,LOW,0.0175137362637362,NO,LOW,0.0093210361067503,NO,,,,,,,,,,,,,,,,,AB_Copper Access Bearer,,MSAG5200-ISLMX-NODE5391821,M,1974.0,47.0,LOW,LOW,,LOW,,TRIPLE_PLAY,"['VOICE_LOW', 'BB_NO_INFO', 'TV_NO_INFO']",Assumed,"['SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08']",[],[],"['Voice', 'Other']",,,,,,,,,,"MC, MC",,,,,,,,,,,,,,0.0,,0.2,,0.0,,0.0,,0.2,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,86562710d6118c9ff1c0426d6d6d4fe4,afbd804ec207ff59a84a59c03152550b,0.07998920722135,LOW,NO,LOW,0.0534242543171114,NO,LOW,0.0563186813186813,NO,LOW,0.0513392857142857,NO,LOW,0.0125,NO,"['PTCL/Pakistan Incoming II', 'DU/UAE Incoming II']",,,,,,,,,,,,,AB_Copper Access Bearer,,MSAG5200-ISLND-PHG-NODE500241,M,1946.0,75.0,LOW,LOW,LOW,LOW,,TRIPLE_PLAY,"['VOICE_LOW', 'BB_NO_INFO', 'TV_NO_INFO']",Assumed,"['AB Copper Access Bearer', 'SLT Voice Service']","['2018-08', '2019-07']",[],[],"['Other', 'Voice']",,,,,['E channeling Registration'],['2018-08'],[],[],['Megaline'],"C, C",,,,,,,,,,,,,,0.3,,0.2,,0.0,,0.0,,0.0,,0.35,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,a6f795fa3e3bf7daec81bd44a9d1b59f,94d03fb470ccde68c7ccc8412dc8046f,0.0024038461538461,LOW,NO,LOW,0.0036057692307692,NO,LOW,0.0013736263736263,NO,LOW,0.0024038461538461,NO,,,,,,,,,,PEO_ENTERTAINMENT,MEDIUM,0.65,00567a4a3c474aca1ce5cd6570648932,MEDIUM,0.6197916666666666,,AB_Copper Access Bearer,,MSAG5200-ISLIDH-KGW-NODE6194491,M,1987.0,34.0,LOW,LOW,,LOW,,TRIPLE_PLAY,"['VOICE_LOW', 'BB_MEDIUM', 'TV_MEDIUM']",Assumed,"['AB Copper Access Bearer', 'SLT Voice Service']","['2019-01', '2019-01']",[],[],"['Other', 'Voice']",,,,,,,,,,"MC, MC",,,,,,,,,,,,,,0.0,,0.30000000000000004,,0.1,,0.4,,0.4,,0.0,,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ae41a5f36a8d76e69c5a846621497a1c,62c4c5afe7a31961b7ab273d5816615e,0.2278012166405023,MEDIUM,NO,,,,MEDIUM,0.1086881868131868,NO,,,,LOW,0.0025,NO,['PTCL/Pakistan Incoming II'],,,,,,,,,,,,,z Sales End_Res SLT Phone,,MSAG5200-ISLND-PHG-NODE500241,,,,LOW,LOW,LOW,LOW,,TRIPLE_PLAY,"['VOICE_LOW', 'BB_NO_INFO', 'TV_NO_INFO']",Assumed,"['AB Copper Access Bearer', 'SLT Voice Service']","['2018-08', '2018-08']",[],[],"['Other', 'Voice']",,,,,,,,,,"MC, MC",,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.35,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4cf83d8277f8c1cd95199a342092e808,3ec5121585db60541f3a1aabe515a894,0.0108173076923076,LOW,NO,LOW,0.0048076923076923,NO,LOW,0.0027472527472527,NO,LOW,0.0031397174254317,NO,,,,,,,,,,,,,,LOW,0.03125,,AB_Copper Access Bearer,,MSAG5200-ISLMT-AVR-NODE467161,,,,LOW,LOW,,LOW,,TRIPLE_PLAY,"['VOICE_LOW', 'BB_LOW', 'TV_NO_INFO']",Assumed,"['SLT Voice Service', 'AB Copper Access Bearer']","['2020-08', '2020-08']",[],[],"['Voice', 'Other']",,,,,['Meet Max'],['2021-02'],[],[490.0],[],", ",,,,1.0,{'2020-08': nan},0.01,LOW,205.0,,,,,,0.0,,0.0,,0.30000000000000004,,0.30000000000000004,,0.35,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.25,0.0
5,6b7be273b0a6a07061de0e420cf360fd,b18e081efbd74104c18e5330fd576a06,0.0844453165881737,LOW,NO,LOW,0.035223704866562,NO,MEDIUM,0.1442307692307692,NO,MEDIUM,0.2245388540031397,NO,,,,,,,,,,,,,,,,,AB_Copper Access Bearer,,MSAG5200-ISLMH-POL-NODE491451,M,1920.0,101.0,MEDIUM,LOW,,LOW,,TRIPLE_PLAY,"['VOICE_LOW', 'BB_NO_INFO', 'TV_NO_INFO']",Assumed,"['AB Copper Access Bearer', 'SLT Voice Service']","['2018-08', '2018-08']",[],[],"['Other', 'Voice']",,,,,,,,,,"MC, MC",,,,,,,,,,,,,,0.3,,0.2,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,11f7e861a3df964f9872b07b691139f2,a71dbdfd21b02715649492d3b8c09226,0.0133601517530088,LOW,NO,LOW,0.0036057692307692,NO,LOW,0.0147664835164835,NO,LOW,0.0221006671899529,NO,LOW,0.0191666666666666,NO,"['HGC/HK Incoming II', 'TATA/Canada Incoming II', 'STC/Saudi Arabia Incoming II']",,,,,,,,,,,,,z Sales End_Res SLT Phone,,UA5000(IPMB)SL-NODE385341,M,1977.0,44.0,LOW,LOW,LOW,LOW,SLT Megaline Double Play (BV) Package,DOUBLE_PLAY_BV,"['VOICE_LOW', 'BB_NO_INFO', 'TV_NO_INFO']",Actual,"['SLT Voice Service', 'AB Copper Access Bearer']","['2018-08', '2018-08']",[],[],"['Voice', 'Other']",,,,,,,,,,"MC, MC",22/05/2020 20:02:00,Promotion Downgrade,DOUBLE_PLAY_BV -> SINGLE_PLAY,4.0,"{'2017-09': 1000.0, '2016-12': 250.0, '2018-01': 250.0}",0.004291845493562232,LOW,,,,,,,0.0,,0.2,,0.1,,0.1,,0.30000000000000004,,0.6,YES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,729e0a0a75015a8908d0989386f4454e,dcd2f80daa0b3d9f09eecd7657921048,0.9487179487179488,HIGH,YES,HIGH,0.5755494505494505,YES,HIGH,0.5934065934065933,YES,MEDIUM,0.2499509419152276,NO,HIGH,0.6876666666666666,YES,"['TIS/Italy Incoming II', 'HGC/HK Incoming II', 'IVY Incoming II', 'CTGL/China Incoming II', 'Orange/France Incoming II', 'Lycatel Incoming II', 'BICS/Belgium Incoming II', 'Dhiraagu/Maldives Incoming II', 'DU/UAE Incoming II', 'Ooredoo/Qatar incoming II', 'CYTA/Cyprus Incoming II', 'Optus/AU Incoming II', 'PTCL/Pakistan Incoming II', 'Etisalat/UAE Incoming II', 'Maxis/ MY Incoming II', 'Platinum Incoming II', 'TM/ Malaysia Incoming II', 'Saif Incoming II', 'PCCW Incoming  II', 'Telstra/Australia Incoming II', 'Skype/LUX Incoming II', 'GTS Incoming II', 'Singtel/ SP Incoming II', 'STC/Saudi Arabia Incoming II']",LOW,0.0192307692307692,NO,234300.0,['Australia - Mobile'],PEO_SILVER,NO,0.0,9752e8fde1a3969e830c928f33e20cd4,,,Web Family Xtra,Web Family Xtra,COPPER,MSAG5200-ISLND-PHG-NODE500241,,,,HIGH,HIGH,MEDIUM,HIGH,SLT Megaline Double Play (PV) Package,DOUBLE_PLAY_PV,"['VOICE_HIGH', 'BB_NO_INFO', 'TV_NO']",Actual,"['SLT PeoTV Service', 'AB Megaline', 'AB Copper Access Bearer', 'BB SLT BroadBand Service', 'SLT Voice Service', 'AB WireLess Access']","['2019-04', '2020-03', '2020-03', '2020-03', '2020-03', '2020-03']","[0.0, 399.0]",[],"['PeoTV', 'Other', 'Other', 'BB', 'Voice', 'Other']",['AB Fiber Access Bearer'],['2020-04'],[],[],"['BB Detailed Reports ', 'Hotline Time Delayed', 'Video on Demand', 'BB Report Subscription Charge', 'Meet Max']","['2017-03', '2019-04', '2019-04', '2021-02', '2021-05']",[40.0],[490.0],['Megaline'],,11/06/2021 12:07:53,Promotion Downgrade,DOUBLE_PLAY_PV -> SINGLE_PLAY,36.0,"{'2018-06': nan, '2018-08': nan, '2018-12': 3000.0, '2019-04': nan, '2019-10': 10700.0, '2019-11': 3000.0, '2020-03': nan, '2018-07': 2250.0, '2020-07': 31500.0, '2020-05': 3000.0, '2017-06': 2250.0, '2019-05': 4500.0, '2017-08': 1500.0, '2019-08': 22500.0, '2019-06': 4900.0, '2016-12': 1500.0, '2020-02': 9000.0, '2019-03': 13500.0, '2020-01': 4500.0, '2018-05': 4500.0, '2016-04': 4500.0, '2019-09': 16125.0, '2017-07': 8250.0, '2016-06': 1500.0, '2019-07': 2250.0, '2020-06': 4500.0, '2016-07': 750.0, '2016-03': 1500.0, '2016-08': 500.0}",0.05007153075822604,LOW,1800.0,,,,,,0.2,,0.0,,0.30000000000000004,,0.30000000000000004,,0.35,,2.55,YES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.25,2.25
8,2f1d8e2ad12e57fce4419845e23ddcbd,af2e001f36d07ee6fbd327a1d641d78b,0.1372318158032443,MEDIUM,NO,MEDIUM,0.1728806907378335,NO,MEDIUM,0.163804945054945,NO,MEDIUM,0.1718995290423861,NO,,,,,,,,,,,,,,LOW,0.1753472222222222,Web Starter,Web Starter,COPPER,C300MTP-NODE8700911,,,,MEDIUM,MEDIUM,,MEDIUM,,TRIPLE_PLAY,"['VOICE_MEDIUM', 'BB_LOW', 'TV_NO_INFO']",Assumed,"['BB SLT BroadBand Service', 'AB Copper Access Bearer', 'SLT Voice Service']","['2018-08', '2018-08', '2018-08']",[740.0],[],"['BB', 'Other', 'Voice']",,,,,,,,,,"MC, MC, MC",,,,1.0,{'2019-10': nan},0.01,LOW,6.0,,,,,,0.1,,0.0,,0.1,,0.1,,0.1,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9fb15a37e248fce31c7d0ed98aaaaaf1,1c0a88f8a358fa2bc743e7f4d5c637c8,0.1230867346938775,MEDIUM,NO,LOW,0.0747890502354788,NO,LOW,0.0504807692307692,NO,LOW,0.0480033359497645,NO,,,,,,,,,,PEO_SILVER,HIGH,0.7125,00c67d66625de3ab6a003af1935c53bc,,,,AB_Copper Access Bearer,,C300MNW-MEE-NODE18887751,M,1964.0,57.0,LOW,LOW,,LOW,SLT Megaline Double Play (PV) Package,DOUBLE_PLAY_PV,"['VOICE_LOW', 'BB_NO_INFO', 'TV_HIGH']",Actual,"['AB Copper Access Bearer', 'SLT PeoTV Service']","['2018-08', '2019-11']",[899.0],[],"['Other', 'PeoTV']",,,,,"['Basic1 TeleLife', 'PEO TV GO OTT A la carte channels']","['2015-09', '2020-08']","['60', 100]",[],[],", ",13/11/2019 17:29:00,Promotion Upgrade,SINGLE_PLAY -> DOUBLE_PLAY_PV,,,,,,800.0,"{'2020-01': 100, '2020-02': 100, '2020-03': 100, '2020-04': 100, '2020-05': 100, '2020-06': 100, '2020-07': 100, '2020-08': 100}",0.15384615384615383,LOW,YES,0.8,YES,0.45,,0.0,,0.2,,0.1,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
