,Unnamed: 0,event_source.hash,ONNET_OUTGOING_Categorical,ONNET_OUTGOING_Scaled,ONNET_OUTGOING_Outlier,ONNET_INCOMING_Categorical,ONNET_INCOMING_Scaled,ONNET_INCOMING_Outlier,OFFNET_OUTGOING_Categorical,OFFNET_OUTGOING_Scaled,OFFNET_OUTGOING_Outlier,OFFNET_INCOMING_Categorical,OFFNET_INCOMING_Scaled,OFFNET_INCOMING_Outlier,IDD_INCOMING_Categorical,IDD_INCOMING_Scaled,IDD_INCOMING_Outlier,IDD_OUTGOING_Categorical,IDD_OUTGOING_Scaled,IDD_OUTGOING_Outlier,Peo_TV_Package,PEO_TV_Categorical,PEO_TV_Scaled,BB_Categorical,BB_Scaled,Location_Identifier,ONNET_Overall_Categorical,OFFNET_Overall_Categorical,IDD_Overall_Categorical,VOICE_Categorical,Play_Type,Play_Usage,Voice_Packages,Other_Packages,Household_Types,Having_Insurance,Cluster
0,0,00221451f705ebe26051158bb14f567a,LOW,0.009321036106750393,NO,LOW,0.01751373626373626,NO,LOW,0.04881279434850864,NO,LOW,0.08583529565672422,NO,NO,0.0,NO,NO,0.0,NO,NO,NO,0.0,NO,0.0,MSAG5200-ISLMX-NODE5391821,LOW,LOW,NO,LOW,SINGLE_PLAY,"['VOICE_LOW', 'BB_NO', 'TV_NO']",NO,NO,NO,NO,0
1,1,002fb47f60400713c854b0f69ff78c0a,LOW,0.05133928571428571,NO,LOW,0.05631868131868133,NO,LOW,0.05342425431711146,NO,LOW,0.07998920722135007,NO,LOW,0.014423076923076926,NO,NO,0.0,NO,NO,NO,0.0,NO,0.0,MSAG5200-ISLND-PHG-NODE500241,LOW,LOW,LOW,LOW,SINGLE_PLAY,"['VOICE_LOW', 'BB_NO', 'TV_NO']",NO,NO,NO,NO,0
2,2,00567a4a3c474aca1ce5cd6570648932,LOW,0.002403846153846154,NO,LOW,0.0013736263736263735,NO,LOW,0.003605769230769232,NO,LOW,0.002403846153846154,NO,NO,0.0,NO,NO,0.0,NO,PEO_ENTERTAINMENT,MEDIUM,0.625,MEDIUM,0.6197916666666666,MSAG5200-ISLIDH-KGW-NODE6194491,LOW,LOW,NO,LOW,TRIPLE_PLAY,"['VOICE_LOW', 'BB_MEDIUM', 'TV_MEDIUM']",NO,NO,NO,NO,1
3,3,00724ae2470df1ed0fe919800d02517d,LOW,0.003139717425431711,NO,LOW,0.002747252747252747,NO,LOW,0.004807692307692308,NO,LOW,0.010817307692307692,NO,NO,0.0,NO,NO,0.0,NO,NO,NO,0.0,LOW,0.03125,MSAG5200-ISLMT-AVR-NODE467161,LOW,LOW,NO,LOW,DOUBLE_PLAY,"['VOICE_LOW', 'BB_LOW', 'TV_NO']",NO,NO,NO,NO,0
4,4,007400db8afa996e788d23986739f3db,LOW,0.025755494505494504,NO,LOW,0.017857142857142853,NO,LOW,0.039197409733124015,NO,LOW,0.08136283359497645,NO,LOW,0.04326923076923077,NO,LOW,0.004807692307692308,NO,NO,NO,0.0,NO,0.0,ZXDSL9806H-ISLKL-PRC-NODE482361,LOW,LOW,LOW,LOW,SINGLE_PLAY,"['VOICE_LOW', 'BB_NO', 'TV_NO']",NO,NO,NO,NO,0
5,5,0074ca4eb00b4faae08701181b27895b,MEDIUM,0.22453885400313967,NO,MEDIUM,0.14423076923076922,NO,LOW,0.03522370486656201,NO,LOW,0.08444531658817372,NO,NO,0.0,NO,NO,0.0,NO,NO,NO,0.0,NO,0.0,MSAG5200-ISLMH-POL-NODE491451,MEDIUM,LOW,NO,MEDIUM,SINGLE_PLAY,"['VOICE_MEDIUM', 'BB_NO', 'TV_NO']",NO,NO,NO,NO,0
6,6,00768613dcde5cd5723a25a7234b9a9f,LOW,0.0221006671899529,NO,LOW,0.014766483516483516,NO,LOW,0.003605769230769232,NO,LOW,0.013360151753008894,NO,NO,0.0,NO,NO,0.0,NO,NO,NO,0.0,NO,0.0,UA5000(IPMB)SL-NODE385341,LOW,LOW,NO,LOW,SINGLE_PLAY,"['VOICE_LOW', 'BB_NO', 'TV_NO']",NO,NO,NO,NO,0
7,7,009f305bf85a71012c0e343233e611ba,MEDIUM,0.2499509419152276,NO,HIGH,0.5934065934065933,YES,HIGH,0.5755494505494505,YES,HIGH,0.9487179487179488,YES,HIGH,0.6794871794871794,YES,LOW,0.014423076923076926,NO,NO,NO,0.0,NO,0.0,MSAG5200-ISLND-PHG-NODE500241,HIGH,HIGH,MEDIUM,HIGH,SINGLE_PLAY,"['VOICE_HIGH', 'BB_NO', 'TV_NO']","['V_Abbreviated Dialing', 'V_Call Transfer Three way', 'V_Call Forwarding', 'V_Call Waiting', 'V_Call Forwarding-Immediate', 'V_Call Forwarding-On Busy', 'V_Call Forwarding-No Answer', 'V_IDD', 'V_SLT Voice Service', 'V_Single VAS Bundle', 'V_SLT CLI', 'V_DQ Contact Details', 'V_Absentee service']",NO,NO,NO,0
8,8,00a8c3e3baed0557c31ab9b68a086ed2,MEDIUM,0.17189952904238615,NO,MEDIUM,0.16380494505494506,NO,MEDIUM,0.17288069073783358,NO,MEDIUM,0.13723181580324434,NO,NO,0.0,NO,NO,0.0,NO,NO,NO,0.0,LOW,0.1753472222222222,C300MTP-NODE8700911,MEDIUM,MEDIUM,NO,MEDIUM,DOUBLE_PLAY,"['VOICE_MEDIUM', 'BB_LOW', 'TV_NO']",NO,NO,NO,NO,0
9,9,00c67d66625de3ab6a003af1935c53bc,LOW,0.04800333594976452,NO,LOW,0.05048076923076924,NO,LOW,0.0747890502354788,NO,MEDIUM,0.12308673469387756,NO,NO,0.0,NO,NO,0.0,NO,PEO_SILVER,HIGH,0.96875,NO,0.0,C300MNW-MEE-NODE18887751,LOW,LOW,NO,LOW,DOUBLE_PLAY,"['VOICE_LOW', 'BB_NO', 'TV_HIGH']",NO,NO,['Kids'],NO,1
