,event_source.hash,CUSTOMER_REF.hash,ACCOUNT_NUM.hash,GENDER,BIRTH_YEAR,AGE
1,174913a52c17beb0dad243cec5940c30,a043dbaaa0025b1f8cc08824dc994a0d,a9c24ac1c87f8677a4dbe304c88054aa,M,1967,54
3,5b6deac8be1e07aabeb41a4158a08e71,2e5e5c967af4b7b4c0cf0b9185d5ad7e,ee3713acf4da68cda726f61d3f1026f7,M,1964,57
4,de4a1fdf1880db54d5176095a99ed2ab,3269bc892961919e511bdbe178fa0ac6,6876df747de66cfb33ecd010dfcd68c7,M,1966,55
5,d3589bf9fa4a1bb5ea95e2636adc6eaa,e8ec476dde4b8000ba740d6b02d94911,7b948edf1d19021b32b2b95c9c255c9a,M,1967,54
6,a3913bd440e45bc3b5e945cb2f4d0561,16e55263d875cca75a3d442bac756bdf,538990c5b6ac11b69180c0b9e212e6bb,M,1936,85
7,8c761ff1c67e080a62c0076179d5611d,3fafefc2cb54bfbbbfd5b7ee377503e0,b8bc2daeaced10aea796f32497125a40,F,1958,63
8,f4c08bc90da90c3ca76c68b88b14cdfb,030728377198661713deeb9b99e99fae,0868c1b648864977a308d1d40eb14b07,M,1964,57
10,7a4377e68390a2bde036e527b58af611,a832e238a48d5cd3324e26dfbee45e5c,095338d3e4949f09bcbb9b548506198f,F,1951,70
12,35a3954b55912e425e87fd844d0af0ed,6617c2c6b7dae2a8c5fa0a94786930f1,2259de9b81a352a02bcddf28bdedde6f,M,1949,72
14,6ba93b77c5effbd67d14d0aaac26f77c,aa77ba73a8c1bb117523c657257dfe7a,9fd9ebb35b50bcb056ed69e675c49ca1,M,1965,56
15,163d6cd0bd786dc1ab3a108364fa1971,23c348cde04f0e261bc50a3691e198df,64acd4e717db67ee3d461dd2f2548731,M,1960,61
17,7296d604eb0e1a026493fc05710da0f0,34feebd7f37e4f1141f14fe4c456aa34,ea49013d4875ecf1c1669bc7d709c8e4,F,1965,56
